Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulpomag (K Mag) (Lbs),Sulpomag (K Mag) (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39449,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.03568384819999999,,20.019999999999996,,221.86380179210397
2,8,39456,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.05199654459999999,,20.019999999999996,,221.86380179210397
3,15,39463,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.0764652889,,20.019999999999996,,221.86380179210397
4,22,39470,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.0856409554,,20.019999999999996,,221.86380179210397
5,29,39477,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.10093433349999999,,20.019999999999996,,221.86380179210397
6,36,39484,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.12132550429999997,,20.019999999999996,,221.86380179210397
7,43,39491,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.13355992649999998,,20.019999999999996,,221.86380179210397
8,50,39498,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.16414598199999997,,20.019999999999996,,221.86380179210397
9,57,39505,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.17026329319999997,,20.019999999999996,,221.86380179210397
10,64,39512,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.20696716039999993,,20.019999999999996,,221.86380179210397
11,71,39519,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.20696716039999993,,20.019999999999996,,221.86380179210397
12,78,39526,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.23143600479999996,,20.019999999999996,,221.86380179210397
13,85,39533,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.24978763809999996,,20.019999999999996,,221.86380179210397
14,92,39540,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.24978763809999996,,20.019999999999996,,221.86380179210397
15,99,39547,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.24978763809999996,,20.019999999999996,,221.86380179210397
16,106,39554,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.24978763809999996,,20.019999999999996,,221.86380179210397
17,113,39561,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.24978763809999996,,20.019999999999996,,221.86380179210397
18,120,39568,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.24978763809999996,,20.019999999999996,,221.86380179210397
19,127,39575,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.24978763809999996,,20.019999999999996,,221.86380179210397
20,134,39582,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.24978763809999996,,20.019999999999996,,221.86380179210397
21,141,39589,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.24978763809999996,,20.019999999999996,,221.86380179210397
22,148,39596,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.24978763809999996,,20.019999999999996,,221.86380179210397
23,155,39603,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.24978763809999996,,20.019999999999996,,221.86380179210397
24,162,39610,,13.73823485427644,,9.697078695652174,,5.7984959673860175,,8.230504288947223,,0.0003149165839167348,,0.24978763809999996,,20.019999999999996,,221.86380179210397
