Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Nitrato de Potasio (Lbs),Nitrato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
2,14,40125,,4.571739869182898,,7.967394886956518,,29.681318607333708,,13.14445935619171,,24.083678716361927,,263.20568195121945,,14.0,,393.8971425465573
4,28,40139,,4.571739869182898,,7.967394886956518,,29.681318607333708,,13.14445935619171,,24.083678716361927,,486.622872195122,,14.0,,400.9571257582646
6,42,40153,,6.4912439928196015,,11.312608695652175,,42.143404179130435,,18.663330652273263,,34.195522769435925,,667.1965112195124,,14.0,,553.8587348987456
8,56,40167,,5.822618165434787,,12.556995652173912,,42.143404179130435,,18.663330652273263,,34.195522769435925,,893.676273170732,,14.0,,562.9823696852944
10,70,40181,,4.760884520135276,,13.801382608695649,,47.30175685065598,,20.94772232411151,,38.38105475641486,,1132.3991102439022,,14.0,,625.0507610745656
12,84,40195,,3.579954732083089,,15.173979130434777,,54.17300477203997,,23.990674701794383,,43.956444768844925,,1316.032015609756,,14.0,,703.2901879645887
14,98,40209,,0.48582463235776757,,15.173979130434777,,49.15508939617996,,21.768476099926836,,39.88486481861163,,1499.6631180487805,,14.0,,646.8410416849741
16,112,40223,,0,,16.987767391304345,,56.061176336139106,,24.826857039585978,,45.4885235121356,,1499.6631180487805,,14.0,,723.3214048860269
18,126,40237,,0,,18.80155565217391,,56.061176336139106,,24.826857039585978,,45.4885235121356,,1499.6631180487805,,14.0,,729.3069061468965
20,140,40251,,0,,18.80155565217391,,62.762325893217366,,27.794480855699515,,50.92589424010209,,1499.6631180487805,,14.0,,799.2183457693784
22,154,40265,,0,,18.80155565217391,,67.72688856403826,,29.99305205501773,,54.95418334386688,,1499.6631180487805,,14.0,,851.0124029616269
24,168,40279,,0,,18.80155565217391,,65.99030167778086,,29.223999438222403,,53.54510171966517,,1499.6631180487805,,14.0,,832.8950205313931
26,182,40293,,0,,18.80155565217391,,65.99030167778086,,29.223999438222403,,53.54510171966517,,1499.6631180487805,,14.0,,832.8950205313931
28,196,40307,,0,,18.80155565217391,,65.99030167778086,,29.223999438222403,,53.54510171966517,,1499.6631180487805,,14.0,,832.8950205313931
30,210,40321,,0,,18.80155565217391,,65.99030167778086,,29.223999438222403,,53.54510171966517,,1499.6631180487805,,14.0,,832.8950205313931
32,224,40335,,0,,18.80155565217391,,65.99030167778086,,29.223999438222403,,53.54510171966517,,1499.6631180487805,,14.0,,832.8950205313931
34,238,40349,,0,,18.80155565217391,,65.99030167778086,,29.223999438222403,,53.54510171966517,,1499.6631180487805,,14.0,,832.8950205313931
36,252,40363,,0,,18.80155565217391,,65.99030167778086,,29.223999438222403,,53.54510171966517,,1499.6631180487805,,14.0,,832.8950205313931
38,266,40377,,0,,18.80155565217391,,65.99030167778086,,29.223999438222403,,53.54510171966517,,1499.6631180487805,,14.0,,832.8950205313931
40,280,40391,,0,,18.80155565217391,,65.99030167778086,,29.223999438222403,,53.54510171966517,,1499.6631180487805,,14.0,,832.8950205313931
42,294,40405,,0,,18.80155565217391,,65.99030167778086,,29.223999438222403,,53.54510171966517,,1499.6631180487805,,14.0,,832.8950205313931
44,308,40419,,0,,18.80155565217391,,65.99030167778086,,29.223999438222403,,53.54510171966517,,1499.6631180487805,,14.0,,832.8950205313931
46,322,40433,,0,,18.80155565217391,,65.99030167778086,,29.223999438222403,,53.54510171966517,,1499.6631180487805,,14.0,,832.8950205313931
48,336,40447,,0,,18.80155565217391,,65.99030167778086,,29.223999438222403,,53.54510171966517,,1499.6631180487805,,14.0,,832.8950205313931
50,350,40461,,0,,18.80155565217391,,65.99030167778086,,29.223999438222403,,53.54510171966517,,1499.6631180487805,,14.0,,832.8950205313931
52,364,40475,,0,,18.80155565217391,,65.99030167778086,,29.223999438222403,,53.54510171966517,,1499.6631180487805,,14.0,,832.8950205313931
