Semana,N,Nitrato de Amonio,P2O5,DAP 18-46-0,K2O,Sulfato de Potasio,MgO,Sulfato de Magnesio,Ca,Sin Calcio,B,Solubor
1,1.154753136574074,2.6229020252000863,0.7055402263374485,1.5337831007335836,1.3548027572016461,2.605389917695473,0.5161823333333333,3.226139583333333,1.6130697916666668,0.00016130697916666667,5.0926,24.841951219512197
2,1.154753136574074,2.6229020252000863,0.7055402263374485,1.5337831007335836,1.3548027572016461,2.605389917695473,0.5161823333333333,3.226139583333333,1.6130697916666668,0.00016130697916666667,5.0926,24.841951219512197
3,1.8476050185185182,4.196643240320138,1.1288643621399177,2.454052961173734,2.1676844115226337,4.168623868312757,0.8258917333333332,5.1618233333333325,2.5809116666666667,0.0002580911666666667,9.1667,44.715609756097564
4,2.5404569004629627,5.7703844554401895,1.5521884979423863,3.374322821613883,2.980566065843621,5.73185781893004,1.1356011333333331,7.097507083333332,3.5487535416666667,0.0003548753541666667,12.2222,59.62048780487805
5,2.5404569004629627,5.7703844554401895,1.5521884979423863,3.374322821613883,2.980566065843621,5.73185781893004,1.1356011333333331,7.097507083333332,3.5487535416666667,0.0003548753541666667,12.2222,59.62048780487805
6,3.9261606643518516,8.917866885680294,2.3988367695473247,5.214862542494184,4.606329374485596,8.858325720164608,1.755019933333333,10.968874583333331,5.484437291666667,0.0005484437291666666,17.3149,84.46292682926831
7,3.9261606643518516,8.917866885680294,2.3988367695473247,5.214862542494184,4.606329374485596,8.858325720164608,1.755019933333333,10.968874583333331,5.484437291666667,0.0005484437291666666,17.3149,84.46292682926831
8,5.311864428240741,12.065349315920397,3.2454850411522633,7.055402263374485,6.232092683127572,11.984793621399177,2.3744387333333328,14.84024208333333,7.4201210416666665,0.0007420121041666666,23.426,114.27317073170731
9,5.311864428240741,12.065349315920397,3.2454850411522633,7.055402263374485,6.232092683127572,11.984793621399177,2.3744387333333328,14.84024208333333,7.4201210416666665,0.0007420121041666666,23.426,114.27317073170731
10,6.697568192129628,15.2128317461605,4.0921333127572,8.895941984254783,7.857855991769545,15.111261522633741,2.993857533333333,18.71160958333333,9.355804791666666,0.0009355804791666665,29.5372,144.0839024390244
11,6.697568192129628,15.2128317461605,4.0921333127572,8.895941984254783,7.857855991769545,15.111261522633741,2.993857533333333,18.71160958333333,9.355804791666666,0.0009355804791666665,29.5372,144.0839024390244
12,6.697568192129628,15.2128317461605,4.0921333127572,8.895941984254783,7.857855991769545,15.111261522633741,2.993857533333333,18.71160958333333,9.355804791666666,0.0009355804791666665,29.5372,144.0839024390244
13,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
14,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
15,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
16,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
17,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
18,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
19,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
20,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
21,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
22,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
23,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
24,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
25,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
26,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
27,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
28,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
29,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
30,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
31,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
32,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
33,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
34,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
35,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
