Semana,N,Urea,P2O5,DAP 18-46-0,K2O,Kcl,MgO,Sulfato de Magnesio,Ca,Sin Calcio,B,Solubor
1,2.45,4.481657326492034,0.9926739428571428,2.1579868322981364,2.6144545914285717,4.357424319047619,0.44746624747228164,2.79666404670176,1.5564554085513975,0.00015564554085513975,5.0926,24.841951219512197
2,3.654,7.099048630839859,0.9926739428571428,2.1579868322981364,3.9292381142857145,6.548730190476191,0.6724926262589203,4.203078914118252,2.3391815388633717,0.00023391815388633716,5.0926,24.841951219512197
3,3.654,7.099048630839859,0.9926739428571428,2.1579868322981364,3.9292381142857145,6.548730190476191,0.6724926262589203,4.203078914118252,2.3391815388633717,0.00023391815388633716,9.1667,44.715609756097564
4,4.8,9.590352978665946,0.9926739428571428,2.1579868322981364,5.213796728571429,8.689661214285715,0.8923459848435673,5.577162405272295,3.1039139650302436,0.00031039139650302435,12.2222,59.62048780487805
5,4.8,9.590352978665946,0.9926739428571428,2.1579868322981364,5.213796728571429,8.689661214285715,0.8923459848435673,5.577162405272295,3.1039139650302436,0.00031039139650302435,12.2222,59.62048780487805
6,4.8,9.590352978665946,0.9926739428571428,2.1579868322981364,5.213796728571429,8.689661214285715,0.8923459848435673,5.577162405272295,3.1039139650302436,0.00031039139650302435,17.3149,84.46292682926831
7,4.8,9.590352978665946,0.9926739428571428,2.1579868322981364,5.213796728571429,8.689661214285715,0.8923459848435673,5.577162405272295,3.1039139650302436,0.00031039139650302435,17.3149,84.46292682926831
8,4.3628,8.63991819605725,0.9926739428571428,2.1579868322981364,5.213796728571429,8.689661214285715,0.8923459848435673,5.577162405272295,3.1039139650302436,0.00031039139650302435,23.426,114.27317073170731
9,4.0,7.851222543883337,0.9926739428571428,2.1579868322981364,5.213796728571429,8.689661214285715,0.8923459848435673,5.577162405272295,3.1039139650302436,0.00031039139650302435,23.426,114.27317073170731
10,3.7566,7.32209210910073,0.9926739428571428,2.1579868322981364,5.213796728571429,8.689661214285715,0.8923459848435673,5.577162405272295,3.1039139650302436,0.00031039139650302435,29.5372,144.0839024390244
11,3.7566,6.899877294085877,1.4890109142857142,3.2369802484472046,5.213796728571429,8.689661214285715,0.8923459848435673,5.577162405272295,3.1039139650302436,0.00031039139650302435,29.5372,144.0839024390244
12,3.7566,6.899877294085877,1.4890109142857142,3.2369802484472046,5.213796728571429,8.689661214285715,0.8923459848435673,5.577162405272295,3.1039139650302436,0.00031039139650302435,29.5372,144.0839024390244
13,3.7566,6.899877294085877,1.4890109142857142,3.2369802484472046,5.213796728571429,8.689661214285715,0.8923459848435673,5.577162405272295,3.1039139650302436,0.00031039139650302435,35.6483,173.89414634146343
14,3.7566,6.899877294085877,1.4890109142857142,3.2369802484472046,5.213796728571429,8.689661214285715,0.8923459848435673,5.577162405272295,3.1039139650302436,0.00031039139650302435,35.6483,173.89414634146343
15,3.6089592,6.578919033216311,1.4890109142857142,3.2369802484472046,4.9333,8.222166666666666,0.8443387182520574,5.277116989075359,2.9369266891000003,0.00029369266891000006,35.6483,173.89414634146343
16,3.3082126,5.925122076694572,1.4890109142857142,3.2369802484472046,4.8871,8.145166666666668,0.8364315468286198,5.2276971676788735,2.9094225817000003,0.00029094225817000006,35.6483,173.89414634146343
17,3.3082126,5.925122076694572,1.4890109142857142,3.2369802484472046,4.8871,8.145166666666668,0.8364315468286198,5.2276971676788735,2.9094225817000003,0.00029094225817000006,35.6483,173.89414634146343
18,3.3082126,5.925122076694572,1.4890109142857142,3.2369802484472046,4.8871,8.145166666666668,0.8364315468286198,5.2276971676788735,2.9094225817000003,0.00029094225817000006,35.6483,173.89414634146343
19,3.3082126,5.925122076694572,1.4890109142857142,3.2369802484472046,4.8871,8.145166666666668,0.8364315468286198,5.2276971676788735,2.9094225817000003,0.00029094225817000006,35.6483,173.89414634146343
20,3.3082126,5.925122076694572,1.4890109142857142,3.2369802484472046,4.8871,8.145166666666668,0.8364315468286198,5.2276971676788735,2.9094225817000003,0.00029094225817000006,35.6483,173.89414634146343
21,3.3082126,5.925122076694572,1.4890109142857142,3.2369802484472046,4.8871,8.145166666666668,0.8364315468286198,5.2276971676788735,2.9094225817000003,0.00029094225817000006,35.6483,173.89414634146343
22,3.3082126,5.925122076694572,1.4890109142857142,3.2369802484472046,4.8871,8.145166666666668,0.8364315468286198,5.2276971676788735,2.9094225817000003,0.00029094225817000006,35.6483,173.89414634146343
23,3.3082126,5.925122076694572,1.4890109142857142,3.2369802484472046,4.8871,8.145166666666668,0.8364315468286198,5.2276971676788735,2.9094225817000003,0.00029094225817000006,35.6483,173.89414634146343
24,3.3082126,5.925122076694572,1.4890109142857142,3.2369802484472046,4.8871,8.145166666666668,0.8364315468286198,5.2276971676788735,2.9094225817000003,0.00029094225817000006,35.6483,173.89414634146343
25,3.3082126,5.925122076694572,1.4890109142857142,3.2369802484472046,4.8871,8.145166666666668,0.8364315468286198,5.2276971676788735,2.9094225817000003,0.00029094225817000006,35.6483,173.89414634146343
26,3.3082126,5.925122076694572,1.4890109142857142,3.2369802484472046,4.8871,8.145166666666668,0.8364315468286198,5.2276971676788735,2.9094225817000003,0.00029094225817000006,35.6483,173.89414634146343
27,3.3082126,5.925122076694572,1.4890109142857142,3.2369802484472046,4.8871,8.145166666666668,0.8364315468286198,5.2276971676788735,2.9094225817000003,0.00029094225817000006,35.6483,173.89414634146343
28,3.3082126,5.925122076694572,1.4890109142857142,3.2369802484472046,4.8871,8.145166666666668,0.8364315468286198,5.2276971676788735,2.9094225817000003,0.00029094225817000006,35.6483,173.89414634146343
29,3.3082126,5.925122076694572,1.4890109142857142,3.2369802484472046,4.8871,8.145166666666668,0.8364315468286198,5.2276971676788735,2.9094225817000003,0.00029094225817000006,35.6483,173.89414634146343
30,3.3082126,5.925122076694572,1.4890109142857142,3.2369802484472046,4.8871,8.145166666666668,0.8364315468286198,5.2276971676788735,2.9094225817000003,0.00029094225817000006,35.6483,173.89414634146343
31,3.3082126,5.925122076694572,1.4890109142857142,3.2369802484472046,4.8871,8.145166666666668,0.8364315468286198,5.2276971676788735,2.9094225817000003,0.00029094225817000006,35.6483,173.89414634146343
32,3.3082126,5.925122076694572,1.4890109142857142,3.2369802484472046,4.8871,8.145166666666668,0.8364315468286198,5.2276971676788735,2.9094225817000003,0.00029094225817000006,35.6483,173.89414634146343
