Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Nitrato de Potasio (Lbs),Admin_Nitrato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,7,40118,,2.285869934591449,,3.98369744347826,,14.84065930366685,,6.572229678095856,,12.041839358180964,,107.11849365853656,,14.0,,213.67486589805915
2,14,40125,,2.285869934591449,,3.98369744347826,,14.84065930366685,,6.572229678095856,,12.041839358180964,,156.08718829268295,,14.0,,215.22227664849817
3,21,40132,,2.285869934591449,,3.98369744347826,,14.84065930366685,,6.572229678095856,,12.041839358180964,,229.5393287804878,,14.0,,217.5433642879128
4,28,40139,,2.285869934591449,,3.98369744347826,,14.84065930366685,,6.572229678095856,,12.041839358180964,,257.08354341463416,,14.0,,218.41376147035183
5,35,40146,,3.2456219964098008,,5.6563043478260875,,21.071702089565218,,9.331665326136633,,17.097761384717963,,302.99237073170735,,14.0,,293.4622214872265
6,42,40153,,3.2456219964098008,,5.6563043478260875,,21.071702089565218,,9.331665326136633,,17.097761384717963,,364.2041404878049,,14.0,,295.39651341151915
7,49,40160,,3.2456219964098008,,5.6563043478260875,,21.071702089565218,,9.331665326136633,,17.097761384717963,,400.9303609756098,,14.0,,296.5570619789338
8,56,40167,,2.5769961690249854,,6.900691304347826,,21.071702089565218,,9.331665326136633,,17.097761384717963,,492.745912195122,,14.0,,301.42530770636074
9,63,40174,,2.3804422600676385,,6.900691304347826,,23.650878425327992,,10.473861162055755,,19.190527378207435,,511.10932292682935,,14.0,,328.2845291999169
10,70,40181,,2.3804422600676385,,6.900691304347826,,23.650878425327992,,10.473861162055755,,19.190527378207435,,621.289787317073,,14.0,,331.7662318746486
11,77,40188,,1.7899773660415443,,7.586989565217388,,27.08650238601999,,11.995337350897191,,21.978222384422455,,621.289787317073,,14.0,,367.9845454148797
12,84,40195,,1.7899773660415443,,7.586989565217388,,27.08650238601999,,11.995337350897191,,21.978222384422455,,694.742228292683,,14.0,,370.305642549709
13,91,40202,,0.2429123161788837,,7.586989565217388,,24.57754469808997,,10.884238049963418,,19.942432409305816,,749.8315590243902,,14.0,,340.920520842487
14,98,40209,,0.2429123161788837,,7.586989565217388,,24.57754469808997,,10.884238049963418,,19.942432409305816,,749.8315590243902,,14.0,,340.920520842487
15,105,40216,,0.0,,7.586989565217388,,28.030588168069553,,12.413428519792989,,22.74426175606779,,749.8315590243902,,14.0,,376.1679518125786
16,112,40223,,0.0,,9.400777826086955,,28.030588168069553,,12.413428519792989,,22.74426175606779,,749.8315590243902,,14.0,,382.1534530734482
17,119,40230,,0.0,,9.400777826086955,,28.030588168069553,,12.413428519792989,,22.74426175606779,,749.8315590243902,,14.0,,382.1534530734482
18,126,40237,,0.0,,9.400777826086955,,28.030588168069553,,12.413428519792989,,22.74426175606779,,749.8315590243902,,14.0,,382.1534530734482
19,133,40244,,0.0,,9.400777826086955,,28.030588168069553,,12.413428519792989,,22.74426175606779,,749.8315590243902,,14.0,,382.1534530734482
20,140,40251,,0.0,,9.400777826086955,,34.73173772514782,,15.38105233590653,,28.1816324840343,,749.8315590243902,,14.0,,452.0648926959302
21,147,40258,,0.0,,9.400777826086955,,34.73173772514782,,15.38105233590653,,28.1816324840343,,749.8315590243902,,14.0,,452.0648926959302
22,154,40265,,0.0,,9.400777826086955,,32.99515083889043,,14.611999719111198,,26.772550859832585,,749.8315590243902,,14.0,,433.94751026569656
23,161,40272,,0.0,,9.400777826086955,,32.99515083889043,,14.611999719111198,,26.772550859832585,,749.8315590243902,,14.0,,433.94751026569656
24,168,40279,,0.0,,9.400777826086955,,32.99515083889043,,14.611999719111198,,26.772550859832585,,749.8315590243902,,14.0,,433.94751026569656
25,175,40286,,0.0,,9.400777826086955,,32.99515083889043,,14.611999719111198,,26.772550859832585,,749.8315590243902,,14.0,,433.94751026569656
26,182,40293,,0.0,,9.400777826086955,,32.99515083889043,,14.611999719111198,,26.772550859832585,,749.8315590243902,,14.0,,433.94751026569656
27,189,40300,,0.0,,9.400777826086955,,32.99515083889043,,14.611999719111198,,26.772550859832585,,749.8315590243902,,14.0,,433.94751026569656
28,196,40307,,0.0,,9.400777826086955,,32.99515083889043,,14.611999719111198,,26.772550859832585,,749.8315590243902,,14.0,,433.94751026569656
29,203,40314,,0.0,,9.400777826086955,,32.99515083889043,,14.611999719111198,,26.772550859832585,,749.8315590243902,,14.0,,433.94751026569656
30,210,40321,,0.0,,9.400777826086955,,32.99515083889043,,14.611999719111198,,26.772550859832585,,749.8315590243902,,14.0,,433.94751026569656
