Columna_0,N,Columna_2,P2O5,Columna_4,K2O,Columna_6,MgO,Columna_8,Ca,Columna_10,B,Columna_12
Porcentaje de Elemento,,33.5,,46.0,,60.0,,16.0,,27.0,,20.5
,,0.335,,0.46,,0.6,,0.16,,0.27,,0.205
1,0.9,0.6253191302184727,0.9,1.9565217391304348,0.99,1.6500000000000001,0.16943938764509292,1.0589961727818307,0.58937373,2.182865666666667,5.0926,24.841951219512197
,0.9,0.6253191302184727,0.9,1.9565217391304348,0.99,1.6500000000000001,0.16943938764509292,1.0589961727818307,0.58937373,2.182865666666667,5.0926,24.841951219512197
,0.9,0.6253191302184727,0.9,1.9565217391304348,0.99,1.6500000000000001,0.16943938764509292,1.0589961727818307,0.58937373,2.182865666666667,5.0926,24.841951219512197
,0.9,0.6253191302184727,0.9,1.9565217391304348,0.99,1.6500000000000001,0.16943938764509292,1.0589961727818307,0.58937373,2.182865666666667,5.0926,24.841951219512197
,0.9,0.6253191302184727,0.9,1.9565217391304348,0.99,1.6500000000000001,0.16943938764509292,1.0589961727818307,0.58937373,2.182865666666667,5.0926,24.841951219512197
,0.9,0.6253191302184727,0.9,1.9565217391304348,0.99,1.6500000000000001,0.16943938764509292,1.0589961727818307,0.58937373,2.182865666666667,5.0926,24.841951219512197
,0.9,0.6253191302184727,0.9,1.9565217391304348,0.99,1.6500000000000001,0.16943938764509292,1.0589961727818307,0.58937373,2.182865666666667,5.0926,24.841951219512197
2,0.9,0.6253191302184727,0.9,1.9565217391304348,0.99,1.6500000000000001,0.16943938764509292,1.0589961727818307,0.58937373,2.182865666666667,5.0926,24.841951219512197
,0.9,0.6253191302184727,0.9,1.9565217391304348,0.99,1.6500000000000001,0.16943938764509292,1.0589961727818307,0.58937373,2.182865666666667,5.0926,24.841951219512197
,0.9,0.6253191302184727,0.9,1.9565217391304348,0.99,1.6500000000000001,0.16943938764509292,1.0589961727818307,0.58937373,2.182865666666667,5.0926,24.841951219512197
