Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39815,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,49.733586341463415,,20.019999999999996,,574.0288361790808
2,8,39822,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,49.733586341463415,,20.019999999999996,,574.0288361790808
3,15,39829,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,89.5206507317073,,20.019999999999996,,575.6203187546905
4,22,39836,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,119.36021658536585,,20.019999999999996,,576.8139013888369
5,29,39843,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,119.36021658536585,,20.019999999999996,,576.8139013888369
6,36,39850,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,169.09477951219515,,20.019999999999996,,578.8032839059101
7,43,39857,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,169.09477951219515,,20.019999999999996,,578.8032839059101
8,50,39864,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,228.774887804878,,20.019999999999996,,581.1904882376173
9,57,39871,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,228.774887804878,,20.019999999999996,,581.1904882376173
10,64,39878,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,288.4559726829268,,20.019999999999996,,583.5777316327394
11,71,39885,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,288.4559726829268,,20.019999999999996,,583.5777316327394
12,78,39892,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,288.4559726829268,,20.019999999999996,,583.5777316327394
13,85,39899,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
14,92,39906,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
15,99,39913,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
16,106,39920,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
