Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulpomag (K Mag) (Lbs),Sulpomag (K Mag) (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39449,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.005097692599999999,,20.019999999999996,,79.74282882744342
2,8,39456,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.005097692599999999,,20.019999999999996,,79.74282882744342
3,15,39463,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.009175866699999998,,20.019999999999996,,79.74282882744342
4,22,39470,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0122344222,,20.019999999999996,,79.74282882744342
5,29,39477,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0122344222,,20.019999999999996,,79.74282882744342
6,36,39484,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0173322149,,20.019999999999996,,79.74282882744342
7,43,39491,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0173322149,,20.019999999999996,,79.74282882744342
8,50,39498,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.023449425999999995,,20.019999999999996,,79.74282882744342
9,57,39505,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.023449425999999995,,20.019999999999996,,79.74282882744342
10,64,39512,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.029566737199999995,,20.019999999999996,,79.74282882744342
11,71,39519,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.029566737199999995,,20.019999999999996,,79.74282882744342
12,78,39526,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.029566737199999995,,20.019999999999996,,79.74282882744342
13,85,39533,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
