Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39336,,3.525555831245539,,1.0670137739130434,,4.1577669466666665,,3.3356509726051495,,5.500513162351615,,49.733586341463415,,20.019999999999996,,117.1799661737031
2,8,39343,,3.525555831245539,,1.0670137739130434,,4.1577669466666665,,3.3356509726051495,,5.500513162351615,,49.733586341463415,,20.019999999999996,,117.1799661737031
3,15,39350,,3.525555831245539,,1.0670137739130434,,4.1577669466666665,,3.3356509726051495,,5.500513162351615,,89.5206507317073,,20.019999999999996,,118.43723740843481
4,22,39357,,3.2199724220307426,,1.635738452173913,,4.1577669466666665,,3.3356509726051495,,5.500513162351615,,119.36021658536585,,20.019999999999996,,120.27909221818393
5,29,39364,,4.599960602901061,,2.3367692173913044,,5.939667066666667,,4.7652156751502135,,7.857875946216593,,119.36021658536585,,20.019999999999996,,148.76079623564954
6,36,39371,,4.599960602901061,,2.3367692173913044,,5.939667066666667,,4.7652156751502135,,7.857875946216593,,169.09477951219515,,20.019999999999996,,150.33240842413733
7,43,39378,,4.599960602901061,,2.3367692173913044,,5.939667066666667,,4.7652156751502135,,7.857875946216593,,169.09477951219515,,20.019999999999996,,150.33240842413733
8,50,39385,,4.192877742420855,,3.094395652173912,,5.939667066666667,,4.7652156751502135,,7.857875946216593,,228.774887804878,,20.019999999999996,,153.41580192743206
9,57,39392,,6.289316613631283,,4.641593478260869,,8.9095006,,7.14782351272532,,11.786813919324889,,228.774887804878,,20.019999999999996,,201.48405966383103
10,64,39399,,6.289316613631283,,4.641593478260869,,8.9095006,,7.14782351272532,,11.786813919324889,,288.4559726829268,,20.019999999999996,,203.36998194597737
11,71,39406,,6.571056865415838,,4.117243565217391,,8.9095006,,7.14782351272532,,11.786813919324889,,288.4559726829268,,20.019999999999996,,202.54119603864444
12,78,39413,,6.571056865415838,,4.117243565217391,,8.9095006,,7.14782351272532,,11.786813919324889,,288.4559726829268,,20.019999999999996,,202.54119603864444
13,85,39420,,7.885268238499005,,4.940692278260869,,10.691400719999999,,8.577388215270386,,14.144176703189867,,348.13608097560973,,20.019999999999996,,233.10228492106606
14,92,39427,,9.323344079218355,,4.940692278260869,,12.150138,,9.747689121796276,,16.074011566946666,,348.13608097560973,,20.019999999999996,,255.51149480683998
15,99,39434,,9.323344079218355,,4.940692278260869,,12.150138,,9.747689121796276,,16.074011566946666,,348.13608097560973,,20.019999999999996,,255.51149480683998
16,106,39441,,9.323344079218355,,4.940692278260869,,12.150138,,9.747689121796276,,16.074011566946666,,348.13608097560973,,20.019999999999996,,255.51149480683998
17,113,39448,,10.359271199131504,,5.4896580869565215,,13.500153333333333,,10.830765690884752,,17.860012852162964,,348.13608097560973,,20.019999999999996,,277.1182053232856
18,120,39455,,10.359271199131504,,5.4896580869565215,,13.500153333333333,,10.830765690884752,,17.860012852162964,,348.13608097560973,,20.019999999999996,,277.1182053232856
19,127,39462,,10.359271199131504,,5.4896580869565215,,13.500153333333333,,10.830765690884752,,17.860012852162964,,348.13608097560973,,20.019999999999996,,277.1182053232856
20,134,39469,,9.640186990231356,,5.4896580869565215,,13.500153333333333,,10.830765690884752,,17.860012852162964,,348.13608097560973,,20.019999999999996,,274.81713585480514
21,141,39476,,9.640186990231356,,5.4896580869565215,,13.500153333333333,,10.830765690884752,,17.860012852162964,,348.13608097560973,,20.019999999999996,,274.81713585480514
22,148,39483,,9.640186990231356,,5.4896580869565215,,13.500153333333333,,10.830765690884752,,17.860012852162964,,348.13608097560973,,20.019999999999996,,274.81713585480514
23,155,39490,,8.921102781331207,,5.4896580869565215,,13.500153333333333,,10.830765690884752,,17.860012852162964,,348.13608097560973,,20.019999999999996,,272.51606638632467
24,162,39497,,8.921102781331207,,5.4896580869565215,,13.500153333333333,,10.830765690884752,,17.860012852162964,,348.13608097560973,,20.019999999999996,,272.51606638632467
25,169,39504,,8.921102781331207,,5.4896580869565215,,13.500153333333333,,10.830765690884752,,17.860012852162964,,348.13608097560973,,20.019999999999996,,272.51606638632467
