Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39601,,0.479571001364088,,2.5803111917582995,,2.3256415654972495,,1.492633646741777,,3.076704925028402,,49.733586341463415,,20.019999999999996,,158.30499363032996
2,8,39608,,0.479571001364088,,2.5803111917582995,,2.3256415654972495,,1.492633646741777,,3.076704925028402,,49.733586341463415,,20.019999999999996,,158.30499363032996
3,15,39615,,0.959142002728176,,5.160622383516599,,4.651283130994499,,2.985267293483554,,6.153409850056804,,89.5206507317073,,20.019999999999996,,260.15612638261115
4,22,39622,,1.4387130040922644,,7.740933575274897,,6.976924696491749,,4.477900940225331,,9.230114775085207,,119.36021658536585,,20.019999999999996,,361.60935919342893
5,29,39629,,1.4387130040922644,,7.740933575274897,,6.976924696491749,,4.477900940225331,,9.230114775085207,,119.36021658536585,,20.019999999999996,,361.60935919342893
6,36,39636,,2.3978550068204414,,12.9015559587915,,11.62820782748625,,7.463168233708887,,15.383524625142012,,169.09477951219515,,20.019999999999996,,564.1180420638451
7,43,39643,,2.3978550068204414,,12.9015559587915,,11.62820782748625,,7.463168233708887,,15.383524625142012,,169.09477951219515,,20.019999999999996,,564.1180420638451
8,50,39650,,4.644378237323365,,10.966322564972774,,13.953849392983498,,8.955801880450664,,18.460229550170414,,228.774887804878,,20.019999999999996,,624.063551034702
9,57,39657,,6.890901467826288,,9.03108917115405,,16.279490958480746,,10.44843552719244,,21.536934475198816,,228.774887804878,,20.019999999999996,,681.6218556738515
10,64,39664,,8.859730458633791,,11.611400362912349,,20.930774089475246,,13.433702820675997,,27.69034432525562,,288.4559726829268,,20.019999999999996,,860.1276305437323
11,71,39671,,10.828559449441306,,14.191711554670647,,25.582057220469746,,16.41897011415955,,33.843754175312434,,288.4559726829268,,20.019999999999996,,1036.2461620184915
12,78,39678,,10.828559449441306,,14.191711554670647,,25.582057220469746,,16.41897011415955,,33.843754175312434,,288.4559726829268,,20.019999999999996,,1036.2461620184915
13,85,39685,,10.828559449441306,,14.191711554670647,,25.582057220469746,,16.41897011415955,,33.843754175312434,,348.13608097560973,,20.019999999999996,,1038.633366350199
14,92,39692,,10.828559449441306,,14.191711554670647,,25.582057220469746,,16.41897011415955,,33.843754175312434,,348.13608097560973,,20.019999999999996,,1038.633366350199
15,99,39699,,10.828559449441306,,14.191711554670647,,25.582057220469746,,16.41897011415955,,33.843754175312434,,348.13608097560973,,20.019999999999996,,1038.633366350199
16,106,39706,,10.828559449441306,,14.191711554670647,,25.582057220469746,,16.41897011415955,,33.843754175312434,,348.13608097560973,,20.019999999999996,,1038.633366350199
17,113,39713,,10.828559449441306,,14.191711554670647,,25.582057220469746,,16.41897011415955,,33.843754175312434,,348.13608097560973,,20.019999999999996,,1038.633366350199
18,120,39720,,10.828559449441306,,14.191711554670647,,25.582057220469746,,16.41897011415955,,33.843754175312434,,348.13608097560973,,20.019999999999996,,1038.633366350199
19,127,39727,,10.828559449441306,,14.191711554670647,,25.582057220469746,,16.41897011415955,,33.843754175312434,,348.13608097560973,,20.019999999999996,,1038.633366350199
20,134,39734,,10.828559449441306,,14.191711554670647,,25.582057220469746,,16.41897011415955,,33.843754175312434,,348.13608097560973,,20.019999999999996,,1038.633366350199
21,141,39741,,10.828559449441306,,14.191711554670647,,25.582057220469746,,16.41897011415955,,33.843754175312434,,348.13608097560973,,20.019999999999996,,1038.633366350199
22,148,39748,,10.828559449441306,,14.191711554670647,,25.582057220469746,,16.41897011415955,,33.843754175312434,,348.13608097560973,,20.019999999999996,,1038.633366350199
23,155,39755,,10.828559449441306,,14.191711554670647,,25.582057220469746,,16.41897011415955,,33.843754175312434,,348.13608097560973,,20.019999999999996,,1038.633366350199
24,162,39762,,10.828559449441306,,14.191711554670647,,25.582057220469746,,16.41897011415955,,33.843754175312434,,348.13608097560973,,20.019999999999996,,1038.633366350199
25,169,39769,,10.828559449441306,,14.191711554670647,,25.582057220469746,,16.41897011415955,,33.843754175312434,,348.13608097560973,,20.019999999999996,,1038.633366350199
