Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sin Magnecio,Admin_Kcl Soluble_Cambios_1,Sin Calcio,Admin_Kcl Soluble_Cambios_2,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,3,39451,,15.018894292919525,,3.724709282235632,,11.412120759409445,,9.375334560999705e-05,,0.0003261092935361735,,87.03377609756097,,20.019999999999996,,195.5915383080755
2,10,39458,,19.310006948039387,,4.788911934302955,,14.672726690669288,,0.0001205400157842819,,0.0004192833774036517,,126.82084048780487,,20.019999999999996,,236.0556458163061
3,17,39465,,24.648506310867393,,6.651266575420772,,20.378787070374013,,0.00016741668858928041,,0.0005823380241717385,,186.50070463414633,,20.019999999999996,,297.6775954905377
4,24,39472,,27.606327068171478,,7.449418564471264,,22.82424151881889,,0.0001875066912199941,,0.000652218587072347,,208.88037902439024,,20.019999999999996,,326.67217054276813
5,31,39479,,30.56947959704046,,9.045722542572248,,27.715150415708653,,0.00022768669648142137,,0.0007919797128735643,,246.18130121951222,,20.019999999999996,,372.4054031915705
6,38,39486,,37.76229832575585,,11.174127846706895,,34.236362278228334,,0.0002812600368299911,,0.0009783278806085205,,295.9158641463415,,20.019999999999996,,446.5129389187118
7,45,39493,,39.36143572917234,,12.23833049877422,,37.49696820948818,,0.00030804670700427595,,0.0010715019644759987,,325.75591829268296,,20.019999999999996,,475.67666624778775
8,52,39500,,47.91826958334024,,14.898837128942528,,45.64848303763778,,0.0003750133824399882,,0.001304437174144694,,400.35605365853655,,20.019999999999996,,567.0498954702655
9,59,39507,,47.107442507160606,,17.736710867788723,,53.16599115693131,,0.000436771538675145,,0.0015192552008391575,,415.27632487804874,,20.019999999999996,,615.8390656264453
10,66,39514,,57.67187196177573,,24.831395214904223,,72.91077151844922,,0.00059897970806387,,0.002083476042036664,,504.797952195122,,20.019999999999996,,795.6134023390259
11,73,39521,,56.56227642791949,,24.831395214904223,,72.91077151844922,,0.00059897970806387,,0.002083476042036664,,504.797952195122,,20.019999999999996,,791.1195404269081
