Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Sulfato de Potasio (Lbs),Sulfato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
2,1,39942,,24.520626656319546,,31.62384803282623,,92.60892585826772,,51.51282725824016,,106.18129215667025,,574.2669424390244,,26.879999999999995,,3292.9104324521913
4,15,39956,,47.238266058497935,,60.92241312206228,,178.40837187401578,,99.23794662984498,,204.55513636064418,,1061.7226302439024,,26.879999999999995,,6272.181785692942
6,29,39970,,72.11949016564573,,93.01131774360655,,272.3791937007875,,151.50831546541227,,312.2979181078537,,1455.7014790243907,,26.879999999999995,,9529.597220204008
8,43,39984,,99.32198516270307,,134.86641072822948,,468.18956961679777,,260.4259600277696,,536.8054214587219,,1949.8391414634143,,26.879999999999995,,15426.04762726081
10,57,39998,,85.52880254076582,,132.3861089217333,,588.5206445228346,,327.358966948934,,674.7717017250359,,2470.6889678048774,,26.879999999999995,,18051.269042695276
12,71,40012,,55.534531216777246,,128.97569393780105,,680.3426971548556,,378.43410351805187,,780.0507998960612,,2871.342579512195,,26.879999999999995,,19889.924664866103
14,85,40026,,27.678279582453577,,147.57795748652237,,720.2916455643043,,400.6553231196457,,825.85449455188,,3271.9922575609767,,26.879999999999995,,21189.614163861042
16,99,40040,,27.678279582453577,,147.57795748652237,,720.2916455643043,,400.6553231196457,,825.85449455188,,3271.9922575609767,,26.879999999999995,,21189.614163861042
18,113,40054,,27.678279582453577,,147.57795748652237,,720.2916455643043,,400.6553231196457,,825.85449455188,,3271.9922575609767,,26.879999999999995,,21189.614163861042
20,127,40068,,27.678279582453577,,147.57795748652237,,720.2916455643043,,400.6553231196457,,825.85449455188,,3271.9922575609767,,26.879999999999995,,21189.614163861042
22,141,40082,,27.678279582453577,,147.57795748652237,,720.2916455643043,,400.6553231196457,,825.85449455188,,3271.9922575609767,,26.879999999999995,,21189.614163861042
