Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sin Magnecio,Sin Magnecio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
2,14,39060,,0,,106.16258586248098,,25.389208758546975,,0.0002281327567719043,,0.0006348250222691784,,0.08768039279999999,,20.019999999999996,,486.70984312524695
4,28,39074,,1.8076454453215982,,123.55745784072117,,41.70950573939315,,0.0003747775134866352,,0.0010428933867792597,,0.16210624429999998,,20.019999999999996,,605.2056312688135
6,42,39088,,96.74724678542272,,95.52280958352304,,114.85282420139026,,0.0010320011016208448,,0.0028717494654803243,,0.22225983779999992,,20.019999999999996,,1055.6913389451634
8,56,39102,,122.73891787315931,,77.30065321148605,,138.91076859514854,,0.0012481718861855919,,0.003473287907688648,,0.2977059085,,20.019999999999996,,1157.9294142282029
10,70,39116,,118.56070752154865,,71.5107248906137,,142.1748036782073,,0.0012775006190649783,,0.0035549009726721175,,0.37723045359999985,,20.019999999999996,,1136.9679179617308
12,84,39130,,111.60870024204809,,61.08885391304345,,142.1748036782073,,0.0012775006190649783,,0.0035549009726721175,,0.43840316519999994,,20.019999999999996,,1081.0245211692973
14,98,39144,,108.45723432618914,,61.08885391304345,,142.1748036782073,,0.0012775006190649783,,0.0035549009726721175,,0.4995752762000001,,20.019999999999996,,1071.2549768301346
16,112,39158,,108.45723432618914,,61.08885391304345,,142.1748036782073,,0.0012775006190649783,,0.0035549009726721175,,0.4995752762000001,,20.019999999999996,,1071.2549768301346
18,126,39172,,108.45723432618914,,61.08885391304345,,142.1748036782073,,0.0012775006190649783,,0.0035549009726721175,,0.4995752762000001,,20.019999999999996,,1071.2549768301346
20,140,39186,,108.45723432618914,,61.08885391304345,,142.1748036782073,,0.0012775006190649783,,0.0035549009726721175,,0.4995752762000001,,20.019999999999996,,1071.2549768301346
22,154,39200,,91.94883808781863,,53.83356239130432,,131.50548140261196,,0.0011816322551956215,,0.0032881280765328564,,0.4995752762000001,,20.019999999999996,,959.8607907324226
24,168,39214,,84.89483959702493,,46.5782708695652,,120.83615912701664,,0.0010857638913262645,,0.0030213551803935958,,0.4995752762000001,,20.019999999999996,,877.7752376521989
26,182,39228,,84.89483959702493,,46.5782708695652,,120.83615912701664,,0.0010857638913262645,,0.0030213551803935958,,0.4995752762000001,,20.019999999999996,,877.7752376521989
28,196,39242,,84.89483959702493,,46.5782708695652,,120.83615912701664,,0.0010857638913262645,,0.0030213551803935958,,0.4995752762000001,,20.019999999999996,,877.7752376521989
30,210,39256,,84.89483959702493,,46.5782708695652,,120.83615912701664,,0.0010857638913262645,,0.0030213551803935958,,0.4995752762000001,,20.019999999999996,,877.7752376521989
