Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),FofatoMonoPotasico (Lbs),FofatoMonoPotasico (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sin Magnecio,Sin Magnecio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
2,1,39449,,83.37310740871578,,33.94781653506136,,39.58824709557633,,0.0003624483679388135,,0.0016809751224388947,,0.08768039279999999,,20.019999999999996,,986.924765894225
4,15,39463,,160.61583927267299,,65.39947008960351,,76.2655936694191,,0.0006982461205880085,,0.0032383491329337523,,0.16210624429999998,,20.019999999999996,,1849.3472990021096
6,29,39477,,240.36456404401935,,96.65143060570409,,127.47407588958244,,0.0011228792575359323,,0.005207726849908732,,0.22225983779999992,,20.019999999999996,,2791.6591245712884
8,43,39491,,292.2635387911334,,108.63301291219635,,252.17645605434797,,0.0019330579623403404,,0.008965200653007443,,0.2977059085,,20.019999999999996,,3760.4384750772315
10,57,39505,,376.0744065327084,,139.78512690907624,,324.4917633052271,,0.0024873907603644068,,0.011536103781443399,,0.37723045359999985,,20.019999999999996,,4822.724626018496
12,71,39519,,440.5443047954584,,163.74829152206075,,380.1189227289804,,0.0029138006049983047,,0.013513721572547977,,0.43840316519999994,,20.019999999999996,,5639.86781905024
14,85,39533,,255.73059644224173,,95.05388629817183,,220.6543990475545,,0.0016914257170477973,,0.00784455057138151,,0.24978763809999996,,20.019999999999996,,3297.390665692578
