Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
2,1,39927,,465.2826572158394,,112.29760347826087,,437.5831646666666,,280.8478161550071,,0.01563030436029076,,1.3182716399999999,,301.0,,8616.339913583719
4,15,39941,,453.57183969220995,,142.2252482608696,,437.5831646666666,,280.8478161550071,,0.01563030436029076,,2.4372617149999996,,301.0,,8799.01565493287
6,29,39955,,631.2300316694008,,245.9327043478261,,625.1188066666668,,401.2111659357243,,0.022329006228986807,,3.341668889999999,,301.0,,12469.787708974316
8,43,39969,,615.6294690985126,,285.8008086956521,,625.1188066666668,,401.2111659357243,,0.022329006228986807,,4.475997925,,301.0,,12713.139151121764
10,57,39983,,900.0433597914357,,488.5033695652174,,937.6782099999997,,601.8167489035862,,0.0334935093434802,,5.6716466799999985,,301.0,,19013.33588990381
12,71,39997,,921.6375208500369,,433.31829130434795,,937.6782099999997,,601.8167489035862,,0.0334935093434802,,6.59137626,,301.0,,18676.490970901923
14,85,40011,,1195.2949212527556,,519.9819495652174,,1201.9760760000001,,771.4473116723168,,0.04293412868381112,,7.5110968100000015,,301.0,,23486.64349325032
16,99,40025,,1284.6248174854666,,519.9819495652174,,1278.7383000000002,,820.7145246603297,,0.045676046155446,,7.5110968100000015,,301.0,,24730.057821418333
18,113,40039,,1427.3609083171846,,577.7577217391304,,1420.8203333333336,,911.9050274003667,,0.05075116239494002,,7.5110968100000015,,301.0,,27384.197579353702
20,127,40053,,1427.3609083171846,,577.7577217391304,,1420.8203333333336,,911.9050274003667,,0.05075116239494002,,7.5110968100000015,,301.0,,27384.197579353702
22,141,40067,,1427.3609083171846,,577.7577217391304,,1420.8203333333336,,911.9050274003667,,0.05075116239494002,,7.5110968100000015,,301.0,,27384.197579353702
24,155,40081,,1427.3609083171846,,577.7577217391304,,1420.8203333333336,,911.9050274003667,,0.05075116239494002,,7.5110968100000015,,301.0,,27384.197579353702
26,169,40095,,1427.3609083171846,,577.7577217391304,,1420.8203333333336,,911.9050274003667,,0.05075116239494002,,7.5110968100000015,,301.0,,27384.197579353702
28,183,40109,,1594.0943553918526,,577.7577217391304,,1564.0963333333332,,1003.8618368861174,,0.05586892667005999,,7.5110968100000015,,301.0,,29705.01922832781
30,197,40123,,1594.0943553918526,,577.7577217391304,,1564.0963333333332,,1003.8618368861174,,0.05586892667005999,,7.5110968100000015,,301.0,,29705.01922832781
32,211,40137,,1442.413233400314,,577.7577217391304,,1564.0963333333332,,1003.8618368861174,,0.05586892667005999,,7.5110968100000015,,301.0,,28939.029562270538
34,225,40151,,1290.732111408775,,577.7577217391304,,1564.0963333333332,,1003.8618368861174,,0.05586892667005999,,7.5110968100000015,,301.0,,28173.039896213264
36,239,40165,,1290.732111408775,,577.7577217391304,,1564.0963333333332,,1003.8618368861174,,0.05586892667005999,,7.5110968100000015,,301.0,,28173.039896213264
38,253,40179,,1290.732111408775,,577.7577217391304,,1564.0963333333332,,1003.8618368861174,,0.05586892667005999,,7.5110968100000015,,301.0,,28173.039896213264
40,267,40193,,1330.4130371709086,,577.7577217391304,,1605.0142733333334,,1030.123619830431,,0.05733049993804279,,7.5110968100000015,,301.0,,28795.761520356416
42,281,40207,,1370.0939629330421,,577.7577217391304,,1645.9322133333337,,1056.3854027747439,,0.05879207320602559,,7.5110968100000015,,301.0,,29418.48314449957
44,295,40221,,1370.0939629330421,,577.7577217391304,,1645.9322133333337,,1056.3854027747439,,0.05879207320602559,,7.5110968100000015,,301.0,,29418.48314449957
46,309,40235,,1370.0939629330421,,577.7577217391304,,1645.9322133333337,,1056.3854027747439,,0.05879207320602559,,7.5110968100000015,,301.0,,29418.48314449957
48,223,40149,,793.0765301983886,,420.71424347826076,,1645.9322133333337,,1056.3854027747439,,0.05879207320602559,,7.5110968100000015,,301.0,,25235.633804841742
50,337,40263,,875.0122579866684,,211.32293913043466,,1645.9322133333337,,1056.3854027747439,,0.05879207320602559,,7.5110968100000015,,301.0,,23957.527491042118
52,351,40277,,875.0122579866684,,211.32293913043466,,1645.9322133333337,,1056.3854027747439,,0.05879207320602559,,7.5110968100000015,,301.0,,23957.527491042118
