Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sin Magnecio,Admin_Kcl Soluble_Cambios_1,Sin Calcio,Admin_Kcl Soluble_Cambios_2,Sin Boro,Admin_Kcl Soluble_Cambios_3,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39047,,0.0,,7.583041847320068,,1.813514911324783,,1.6295196912278884e-05,,4.534464444779846e-05,,0.005097692599999999,,20.019999999999996,,81.23998879466048
2,8,39054,,0.0,,7.583041847320068,,1.813514911324783,,1.6295196912278884e-05,,4.534464444779846e-05,,0.005097692599999999,,20.019999999999996,,81.23998879466048
3,15,39061,,0.0,,7.583041847320068,,1.813514911324783,,1.6295196912278884e-05,,4.534464444779846e-05,,0.009175866699999998,,20.019999999999996,,81.23998879466048
4,22,39068,,0.0,,8.921108922569319,,2.1761449542582745,,1.9553580904055795e-05,,5.4411749581716065e-05,,0.0122344222,,20.019999999999996,,86.88855228895687
5,29,39075,,3.778137495902704,,8.921108922569319,,6.044847095161875,,5.431550251126611e-05,,0.0001511437488381002,,0.0122344222,,20.019999999999996,,111.7543658053275
6,36,39082,,8.391276671005263,,5.52147522939186,,9.067331425519031,,8.147379992579819e-05,,0.00022671714305351866,,0.0173322149,,20.019999999999996,,125.11275278387413
7,43,39089,,8.391276671005263,,5.52147522939186,,9.067331425519031,,8.147379992579819e-05,,0.00022671714305351866,,0.0173322149,,20.019999999999996,,125.11275278387413
8,50,39096,,8.869553441831233,,5.52147522939186,,10.155343119871949,,9.125004421892705e-05,,0.0002539214980480083,,0.023449425999999995,,20.019999999999996,,130.29465053423456
9,57,39103,,8.869553441831233,,5.52147522939186,,10.155343119871949,,9.125004421892705e-05,,0.0002539214980480083,,0.023449425999999995,,20.019999999999996,,130.29465053423456
10,64,39110,,8.081686962866497,,5.52147522939186,,10.155343119871949,,9.125004421892705e-05,,0.0002539214980480083,,0.029566737199999995,,20.019999999999996,,127.85226444944388
11,71,39117,,8.534811787978246,,4.363489565217391,,10.155343119871949,,9.125004421892705e-05,,0.0002539214980480083,,0.029566737199999995,,20.019999999999996,,125.43559871551454
12,78,39124,,7.74694530901351,,4.363489565217391,,10.155343119871949,,9.125004421892705e-05,,0.0002539214980480083,,0.029566737199999995,,20.019999999999996,,122.99321263072389
13,85,39131,,7.74694530901351,,4.363489565217391,,10.155343119871949,,9.125004421892705e-05,,0.0002539214980480083,,0.0356839483,,20.019999999999996,,122.99321263072389
14,92,39138,,7.74694530901351,,4.363489565217391,,10.155343119871949,,9.125004421892705e-05,,0.0002539214980480083,,0.0356839483,,20.019999999999996,,122.99321263072389
15,99,39145,,7.74694530901351,,4.363489565217391,,10.155343119871949,,9.125004421892705e-05,,0.0002539214980480083,,0.0356839483,,20.019999999999996,,122.99321263072389
16,106,39152,,7.74694530901351,,4.363489565217391,,10.155343119871949,,9.125004421892705e-05,,0.0002539214980480083,,0.0356839483,,20.019999999999996,,122.99321263072389
17,113,39159,,7.74694530901351,,4.363489565217391,,10.155343119871949,,9.125004421892705e-05,,0.0002539214980480083,,0.0356839483,,20.019999999999996,,122.99321263072389
18,120,39166,,7.74694530901351,,4.363489565217391,,10.155343119871949,,9.125004421892705e-05,,0.0002539214980480083,,0.0356839483,,20.019999999999996,,122.99321263072389
19,127,39173,,7.74694530901351,,4.363489565217391,,10.155343119871949,,9.125004421892705e-05,,0.0002539214980480083,,0.0356839483,,20.019999999999996,,122.99321263072389
20,134,39180,,7.74694530901351,,4.363489565217391,,10.155343119871949,,9.125004421892705e-05,,0.0002539214980480083,,0.0356839483,,20.019999999999996,,122.99321263072389
21,141,39187,,7.74694530901351,,4.363489565217391,,10.155343119871949,,9.125004421892705e-05,,0.0002539214980480083,,0.0356839483,,20.019999999999996,,122.99321263072389
22,148,39194,,6.063917114073209,,3.3270193478260865,,8.631154223358331,,7.755456366616174e-05,,0.00021581108431382827,,0.0356839483,,20.019999999999996,,109.17323126087135
23,155,39201,,6.063917114073209,,3.3270193478260865,,8.631154223358331,,7.755456366616174e-05,,0.00021581108431382827,,0.0356839483,,20.019999999999996,,109.17323126087135
24,162,39208,,6.063917114073209,,3.3270193478260865,,8.631154223358331,,7.755456366616174e-05,,0.00021581108431382827,,0.0356839483,,20.019999999999996,,109.17323126087135
25,169,39215,,6.063917114073209,,3.3270193478260865,,8.631154223358331,,7.755456366616174e-05,,0.00021581108431382827,,0.0356839483,,20.019999999999996,,109.17323126087135
26,176,39222,,6.063917114073209,,3.3270193478260865,,8.631154223358331,,7.755456366616174e-05,,0.00021581108431382827,,0.0356839483,,20.019999999999996,,109.17323126087135
27,183,39229,,6.063917114073209,,3.3270193478260865,,8.631154223358331,,7.755456366616174e-05,,0.00021581108431382827,,0.0356839483,,20.019999999999996,,109.17323126087135
28,190,39236,,6.063917114073209,,3.3270193478260865,,8.631154223358331,,7.755456366616174e-05,,0.00021581108431382827,,0.0356839483,,20.019999999999996,,109.17323126087135
29,197,39243,,6.063917114073209,,3.3270193478260865,,8.631154223358331,,7.755456366616174e-05,,0.00021581108431382827,,0.0356839483,,20.019999999999996,,109.17323126087135
30,204,39250,,6.063917114073209,,3.3270193478260865,,8.631154223358331,,7.755456366616174e-05,,0.00021581108431382827,,0.0356839483,,20.019999999999996,,109.17323126087135
