Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación K:Mg (1:0.5) (K2O/1.17)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
1.0,1.0,1,0.8075066965625001,1.1178704624,1.23328295475,0.26352199887820515,0.2590930577205882,5.0926,2.201652619047619,0.24969166666666673,0.17644423452442554
,2.0,1,0.8075066965625001,1.1178704624,1.23328295475,0.26352199887820515,0.2590930577205882,5.0926,2.201652619047619,0.24969166666666673,0.17644423452442554
,3.0,1,0.8075066965625001,1.1178704624,1.23328295475,0.26352199887820515,0.2590930577205882,5.0926,2.201652619047619,0.24969166666666673,0.17644423452442554
,4.0,1,0.8075066965625001,1.1178704624,1.23328295475,0.26352199887820515,0.2590930577205882,5.0926,2.201652619047619,0.24969166666666673,0.17644423452442554
,5.0,1,0.8075066965625001,1.1178704624,1.23328295475,0.26352199887820515,0.2590930577205882,5.0926,2.201652619047619,0.24969166666666673,0.17644423452442554
,6.0,1,0.8075066965625001,1.1178704624,1.23328295475,0.26352199887820515,0.2590930577205882,5.0926,2.201652619047619,0.24969166666666673,0.17644423452442554
,7.0,1,0.8075066965625001,1.1178704624,1.23328295475,0.26352199887820515,0.2590930577205882,5.0926,2.201652619047619,0.24969166666666673,0.17644423452442554
,8.0,2,0.8075066965625001,1.1178704624,1.23328295475,0.26352199887820515,0.2590930577205882,5.0926,2.201652619047619,0.24969166666666673,0.17644423452442554
,9.0,2,0.8075066965625001,1.1178704624,1.23328295475,0.26352199887820515,0.2590930577205882,5.0926,2.201652619047619,0.24969166666666673,0.17644423452442554
,10.0,2,0.8075066965625001,1.1178704624,1.23328295475,0.26352199887820515,0.2590930577205882,5.0926,2.201652619047619,0.24969166666666673,0.17644423452442554
,11.0,2,0.8075066965625001,1.1178704624,1.23328295475,0.26352199887820515,0.2590930577205882,9.1667,2.201652619047619,0.24969166666666673,0.17644423452442554
,12.0,2,0.8075066965625001,1.1178704624,1.23328295475,0.26352199887820515,0.2590930577205882,9.1667,2.201652619047619,0.24969166666666673,0.17644423452442554
,13.0,2,0.8075066965625001,1.1178704624,1.23328295475,0.26352199887820515,0.2590930577205882,9.1667,2.201652619047619,0.24969166666666673,0.17644423452442554
,14.0,2,0.8075066965625001,1.1178704624,1.23328295475,0.26352199887820515,0.2590930577205882,9.1667,2.201652619047619,0.24969166666666673,0.17644423452442554
1.0,15.0,3,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,9.1667,2.2016526190476196,0.2496916666666667,0.17644423452442554
2.0,16.0,3,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,9.1667,2.2016526190476196,0.2496916666666667,0.17644423452442554
,17.0,3,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,9.1667,2.2016526190476196,0.2496916666666667,0.17644423452442554
,18.0,3,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,12.2222,2.2016526190476196,0.2496916666666667,0.17644423452442554
,19.0,3,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,12.2222,2.2016526190476196,0.2496916666666667,0.17644423452442554
,20.0,3,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,12.2222,2.2016526190476196,0.2496916666666667,0.17644423452442554
,21.0,3,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,12.2222,2.2016526190476196,0.2496916666666667,0.17644423452442554
,22.0,4,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,12.2222,2.2016526190476196,0.2496916666666667,0.17644423452442554
,23.0,4,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,12.2222,2.2016526190476196,0.2496916666666667,0.17644423452442554
,24.0,4,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,12.2222,2.2016526190476196,0.2496916666666667,0.17644423452442554
2.0,25.0,4,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,12.2222,2.2016526190476196,0.2496916666666667,0.17644423452442554
3.0,26.0,4,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,12.2222,2.2016526190476196,0.2496916666666667,0.17644423452442554
,27.0,4,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,12.2222,2.2016526190476196,0.2496916666666667,0.17644423452442554
,28.0,4,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,12.2222,2.2016526190476196,0.2496916666666667,0.17644423452442554
,29.0,5,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,12.2222,2.2016526190476196,0.2496916666666667,0.17644423452442554
3.0,30.0,5,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,12.2222,2.2016526190476196,0.2496916666666667,0.17644423452442554
4.0,31.0,5,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,12.2222,2.2016526190476196,0.2496916666666667,0.17644423452442554
