Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
2,1,39815,,15.038702887475198,,8.58786927925389,,13.177455223717425,,8.457499787224663,,0.0004706936931582013,,427.70923317073175,,20.019999999999996,,382.7755451510638
4,15,39829,,28.97161879793016,,16.544277582092057,,25.38597991627915,,16.293124590094568,,0.0009067775559371226,,790.7621673170731,,20.019999999999996,,684.143310707017
6,29,39843,,44.23147908080941,,25.258439056629086,,38.757221246227715,,24.874999374190182,,0.0013843932151711802,,1084.1943307317076,,20.019999999999996,,1010.0448785946639
8,43,39857,,61.481755922325064,,35.10923028871444,,53.87253753225651,,34.576249130124346,,0.0019243065690879397,,1452.2239439024388,,20.019999999999996,,1379.9082942139971
10,57,39871,,78.73203276384073,,44.96002152079978,,68.98785381828533,,44.27749888605853,,0.002464219923004701,,1840.148554146341,,20.019999999999996,,1750.5675097162577
12,71,39885,,92.00147648808355,,52.53755323778851,,80.61502019215365,,51.73999869831559,,0.002879537887556055,,2138.5520253658533,,20.019999999999996,,2035.6899801746572
14,85,39899,,105.27092021232643,,60.11508495477722,,92.24218656602194,,59.20249851057263,,0.0032948558521074083,,2436.952566829269,,20.019999999999996,,2320.8123334428124
16,99,39913,,105.27092021232643,,60.11508495477722,,92.24218656602194,,59.20249851057263,,0.0032948558521074083,,2436.952566829269,,20.019999999999996,,2320.8123334428124
18,113,39927,,105.27092021232643,,60.11508495477722,,92.24218656602194,,59.20249851057263,,0.0032948558521074083,,2436.952566829269,,20.019999999999996,,2320.8123334428124
20,127,39941,,105.27092021232643,,60.11508495477722,,92.24218656602194,,59.20249851057263,,0.0032948558521074083,,2436.952566829269,,20.019999999999996,,2320.8123334428124
22,141,39955,,105.27092021232643,,60.11508495477722,,92.24218656602194,,59.20249851057263,,0.0032948558521074083,,2436.952566829269,,20.019999999999996,,2320.8123334428124
24,155,39969,,92.39902903059617,,54.103576459299504,,95.32130764946913,,61.17872726384681,,0.003404840887142131,,2436.952566829269,,20.019999999999996,,2264.0082758530616
26,169,39983,,79.52713784886596,,48.092067963821776,,98.40042873291634,,63.15495601712101,,0.0035148259221768536,,2436.952566829269,,20.019999999999996,,2207.2042182633118
28,183,39997,,79.52713784886596,,48.092067963821776,,98.40042873291634,,63.15495601712101,,0.0035148259221768536,,2436.952566829269,,20.019999999999996,,2207.2042182633118
30,197,40011,,79.52713784886596,,48.092067963821776,,98.40042873291634,,63.15495601712101,,0.0035148259221768536,,2436.952566829269,,20.019999999999996,,2207.2042182633118
32,211,40025,,79.52713784886596,,48.092067963821776,,98.40042873291634,,63.15495601712101,,0.0035148259221768536,,2436.952566829269,,20.019999999999996,,2207.2042182633118
34,225,40039,,79.52713784886596,,48.092067963821776,,98.40042873291634,,63.15495601712101,,0.0035148259221768536,,2436.952566829269,,20.019999999999996,,2207.2042182633118
36,239,40053,,79.52713784886596,,48.092067963821776,,98.40042873291634,,63.15495601712101,,0.0035148259221768536,,2436.952566829269,,20.019999999999996,,2207.2042182633118
38,253,40067,,79.52713784886596,,48.092067963821776,,98.40042873291634,,63.15495601712101,,0.0035148259221768536,,2436.952566829269,,20.019999999999996,,2207.2042182633118
40,267,40081,,79.52713784886596,,48.092067963821776,,98.40042873291634,,63.15495601712101,,0.0035148259221768536,,2436.952566829269,,20.019999999999996,,2207.2042182633118
