Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,MAP 12-61-0 (Lbs),Admin_MAP 12-61-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39815,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,174.06755219512195,,20.019999999999996,,832.6292242830216
2,8,39822,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,253.64168097560975,,20.019999999999996,,835.812189434241
3,15,39829,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,373.00140926829266,,20.019999999999996,,840.5865785659482
4,22,39836,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,417.7607580487805,,20.019999999999996,,842.3769525171679
5,29,39843,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,492.36260243902444,,20.019999999999996,,845.3610262927775
6,36,39850,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,591.831728292683,,20.019999999999996,,849.3397913269239
7,43,39857,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,651.5118365853659,,20.019999999999996,,851.7269956586313
8,50,39864,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,800.7121073170731,,20.019999999999996,,857.6950064878995
9,57,39871,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,830.5526497560975,,20.019999999999996,,858.8886281854604
10,64,39878,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1009.595904390244,,20.019999999999996,,866.0503583708264
11,71,39885,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1009.595904390244,,20.019999999999996,,866.0503583708264
12,78,39892,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1128.9561209756096,,20.019999999999996,,870.824767034241
13,85,39899,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
14,92,39906,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
15,99,39913,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
16,106,39920,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
17,113,39927,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
18,120,39934,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
19,127,39941,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
20,134,39948,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
21,141,39955,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
22,148,39962,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
23,155,39969,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
24,162,39976,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
25,169,39983,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
26,176,39990,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
27,183,39997,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
28,190,40004,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
29,197,40011,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
30,204,40018,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
31,211,40025,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
32,218,40032,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
33,225,40039,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
34,232,40046,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
35,239,40053,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
36,246,40060,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
37,253,40067,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
38,260,40074,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
39,267,40081,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
40,274,40088,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
41,281,40095,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
42,288,40102,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
43,295,40109,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
44,302,40116,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
45,309,40123,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
46,316,40130,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
47,323,40137,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
48,330,40144,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
49,337,40151,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
50,344,40158,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
51,351,40165,,8.288350867930218,,10.937812131147542,,14.005418765046041,,8.98889992144884,,18.528453193641255,,1218.4762834146343,,20.019999999999996,,874.405573531802
