Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
2,1,39815,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,427.70923317073175,,20.019999999999996,,3685.0488184047845
4,15,39829,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,790.7621673170731,,20.019999999999996,,3699.5709357706382
6,29,39843,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,1084.1943307317076,,20.019999999999996,,3711.3082223072233
8,43,39857,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,1452.2239439024388,,20.019999999999996,,3726.0294068340527
10,57,39871,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,1840.148554146341,,20.019999999999996,,3741.546391243809
12,71,39885,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2138.5520253658533,,20.019999999999996,,3753.4825300925895
14,85,39899,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
16,99,39913,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
18,113,39927,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
20,127,39941,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
22,141,39955,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
24,155,39969,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
26,169,39983,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
28,183,39997,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
30,197,40011,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
32,211,40025,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
34,225,40039,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
36,239,40053,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
38,253,40067,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
40,267,40081,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
42,281,40095,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
44,295,40109,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
46,309,40123,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
48,223,40037,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
50,337,40151,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
52,351,40165,,50.465529525805074,,14.055432695652165,,109.47363093333335,,70.26191283571552,,144.8280184058856,,2436.952566829269,,20.019999999999996,,3765.418551751126
