Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),FofatoMonoPotasico (Lbs),FofatoMonoPotasico (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Preventivos (Dosis),Preventivos (Unidades),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39449,,6.086444504965027,,3.5805,,4.497569999999999,,4.1888240615661045,,8.63425238231111,,24.866793170731707,,20.019999999999996,0.0,0.0,325.5486666885283
2,8,39456,,6.086444504965027,,3.5805,,4.497569999999999,,4.1888240615661045,,8.63425238231111,,24.866793170731707,,20.019999999999996,0.0,0.0,325.5486666885283
3,15,39463,,6.086444504965027,,3.5805,,4.497569999999999,,4.1888240615661045,,8.63425238231111,,44.76032536585365,,20.019999999999996,0.0,0.0,326.3444079763332
4,22,39470,,6.086444504965027,,3.5805,,4.497569999999999,,4.1888240615661045,,8.63425238231111,,59.680108292682924,,20.019999999999996,0.0,0.0,326.9411992934063
5,29,39477,0,6.086444504965027,,3.5805,,4.497569999999999,,4.1888240615661045,,8.63425238231111,,59.680108292682924,,20.019999999999996,0.0,0.0,326.9411992934063
6,36,39484,,11.822953228485568,,3.5805,,10.648852392156861,,8.13681467428997,,16.772084588256817,,84.54738975609757,,20.019999999999996,0.0,0.0,538.5437922890005
7,43,39491,,9.12182612906304,,3.3712524999999998,,10.767425975490196,,8.13681467428997,,16.772084588256817,,84.54738975609757,,20.019999999999996,0.0,0.0,519.1644707225809
8,50,39498,,9.12182612906304,,3.3712524999999998,,10.767425975490196,,8.13681467428997,,16.772084588256817,,114.387443902439,,20.019999999999996,0.0,0.0,520.3580728884344
9,57,39505,0,9.12182612906304,,3.3712524999999998,,10.767425975490196,,8.13681467428997,,16.772084588256817,,114.387443902439,,20.019999999999996,0.0,0.0,520.3580728884344
10,64,39512,,5.330366400294623,,3.3712524999999998,,5.497935356062666,,4.754772008542389,,9.800817828274745,,144.2279863414634,,20.019999999999996,0.0,0.0,348.0954573250343
11,71,39519,,6.066327346254669,,3.3712524999999998,,6.520797150314459,,5.411260933025665,,11.15401170246705,,144.2279863414634,,20.019999999999996,0.0,0.0,381.7650794731019
12,78,39526,,6.066327346254669,,3.3712524999999998,,6.520797150314459,,5.411260933025665,,11.15401170246705,,144.2279863414634,,20.019999999999996,0.0,0.0,381.7650794731019
13,85,39533,0,1.5754718538633774,,2.9746062499999995,,6.745563358647792,,5.411260933025665,,11.15401170246705,,174.06804048780486,,20.019999999999996,0.0,0.0,350.1255677611295
14,92,39540,,1.5754718538633774,,2.9746062499999995,,6.745563358647792,,5.411260933025665,,11.15401170246705,,174.06804048780486,,20.019999999999996,0.0,0.0,350.1255677611295
15,99,39547,,1.5754718538633774,,2.9746062499999995,,6.745563358647792,,5.411260933025665,,11.15401170246705,,174.06804048780486,,20.019999999999996,0.0,0.0,350.1255677611295
16,106,39554,,1.5754718538633774,,2.9746062499999995,,6.745563358647792,,5.411260933025665,,11.15401170246705,,174.06804048780486,,20.019999999999996,0.0,0.0,350.1255677611295
17,113,39561,0,1.5754718538633774,,2.9746062499999995,,6.745563358647792,,5.411260933025665,,11.15401170246705,,174.06804048780486,,20.019999999999996,0.0,0.0,350.1255677611295
18,120,39568,,1.5754718538633774,,2.9746062499999995,,6.745563358647792,,5.411260933025665,,11.15401170246705,,174.06804048780486,,20.019999999999996,0.0,0.0,350.1255677611295
19,127,39575,,1.5754718538633774,,2.9746062499999995,,6.745563358647792,,5.411260933025665,,11.15401170246705,,174.06804048780486,,20.019999999999996,0.0,0.0,350.1255677611295
20,134,39582,,1.5754718538633774,,2.9746062499999995,,6.745563358647792,,5.411260933025665,,11.15401170246705,,174.06804048780486,,20.019999999999996,0.0,0.0,350.1255677611295
