Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,CaO,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O,Columna_12,Columna_13,Kilos/Ha,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21,Columna_22,Columna_23,Columna_24,Columna_25
,36.0,6,0.65,0.05,0.75,0.1283631724584037,0.44649525,17.3149,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,37.0,6,0.65,0.05,0.75,0.1283631724584037,0.44649525,17.3149,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,38.0,6,0.65,0.05,0.75,0.1283631724584037,0.44649525,17.3149,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,39.0,6,0.65,0.05,0.75,0.1283631724584037,0.44649525,17.3149,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,40.0,6,0.65,0.05,0.75,0.1283631724584037,0.44649525,17.3149,2.9141874666666667,0.4,0.5,,40,1,14,2,1,Atzimba 576 qq/ha,,,0.65,0.05,0.75,0.1,0.05
,41.0,6,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,17.3149,2.6599070447761193,0.4,0.5,,22,2,23,3,2,Floresta 878 qq/ha,,,5.3,0.35,6.7,1.1,0.7
,42.0,6,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,17.3149,2.6599070447761193,0.4,0.5,,26,2,30,4,2,"Tollocan 1,052 qq/ha",,,5.3,0.35,6.7,1.1,0.7
,43.0,7,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,17.3149,2.6599070447761193,0.4,0.5,,,,,,,,,,5.3,0.35,6.7,1.1,0.7
,44.0,7,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,17.3149,2.6599070447761193,0.4,0.5,,,,,,,,,,5.3,0.35,6.7,1.1,0.7
,45.0,7,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,17.3149,2.6599070447761193,0.4,0.5,,,,,,,,,,5.3,0.35,6.7,1.1,0.7
,46.0,7,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,17.3149,2.6599070447761193,0.4,0.5,,,,,,,,,,5.3,0.35,6.7,1.1,0.7
,47.0,7,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,17.3149,2.6599070447761193,0.4,0.5,,,,,,,,,,5.3,0.35,6.7,1.1,0.7
,48.0,7,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,23.426,2.6599070447761193,0.4,0.5,,,,,,,,,,5.3,0.35,6.7,1.1,0.7
,49.0,7,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,23.426,2.6599070447761193,0.4,0.5,,,,,,,,,,5.3,0.35,6.7,1.1,0.7
