Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Sin Boro,Admin_Sulfato de Magnesio_Cambios_2,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
2,1,39892,,16.230790367994395,,3.9173582608695647,,15.264528999999996,,9.797016842616525,,0.00054524317535898,,0.045986219999999994,,10.499999999999998,,300.56999698547855
4,15,39906,,15.82227347763523,,4.961345869565218,,15.264528999999996,,9.797016842616525,,0.00054524317535898,,0.08502075749999997,,10.499999999999998,,306.9424065674256
6,29,39920,,22.019652267537232,,8.579047826086956,,21.806470000000004,,13.995738346595033,,0.0007789188219414001,,0.11656984499999995,,10.499999999999998,,434.9925944991039
8,43,39934,,21.475446596459737,,9.969795652173909,,21.806470000000004,,13.995738346595033,,0.0007789188219414001,,0.1561394625,,10.499999999999998,,443.48159829494523
10,57,39948,,31.396861388073336,,17.0408152173913,,32.709704999999985,,20.99360751989254,,0.0011683782329120998,,0.19784813999999992,,10.499999999999998,,663.2559031361793
12,71,39962,,32.15014607616408,,15.11575434782609,,32.709704999999985,,20.99360751989254,,0.0011683782329120998,,0.22993172999999997,,10.499999999999998,,651.5054989849507
14,85,39976,,41.69633446230542,,18.1389052173913,,41.929398,,26.910952732755234,,0.0014977021633887598,,0.262015005,,10.499999999999998,,819.3015172064066
16,99,39990,,44.81249363321395,,18.1389052173913,,44.607150000000004,,28.629576441639408,,0.001593350447283,,0.262015005,,10.499999999999998,,862.6764356308721
18,113,40004,,49.79165959245992,,20.15433913043478,,49.563500000000005,,31.810640490710462,,0.0017703893858700005,,0.262015005,,10.499999999999998,,955.2627062565247
20,127,40018,,49.79165959245992,,20.15433913043478,,49.563500000000005,,31.810640490710462,,0.0017703893858700005,,0.262015005,,10.499999999999998,,955.2627062565247
22,141,40032,,49.79165959245992,,20.15433913043478,,49.563500000000005,,31.810640490710462,,0.0017703893858700005,,0.262015005,,10.499999999999998,,955.2627062565247
24,155,40046,,49.79165959245992,,20.15433913043478,,49.563500000000005,,31.810640490710462,,0.0017703893858700005,,0.262015005,,10.499999999999998,,955.2627062565247
26,169,40060,,49.79165959245992,,20.15433913043478,,49.563500000000005,,31.810640490710462,,0.0017703893858700005,,0.262015005,,10.499999999999998,,955.2627062565247
28,183,40074,,55.19249384155632,,20.15433913043478,,54.56149999999999,,35.01843617044595,,0.0019489160466299995,,0.262015005,,10.499999999999998,,1034.1235846067996
30,197,40088,,55.60794262994834,,20.15433913043478,,54.56149999999999,,35.01843617044595,,0.0019489160466299995,,0.262015005,,10.499999999999998,,1036.2216009881793
32,211,40102,,49.25850031402348,,20.15433913043478,,54.56149999999999,,35.01843617044595,,0.0019489160466299995,,0.262015005,,10.499999999999998,,1004.1569172927587
34,225,40116,,49.25850031402348,,20.15433913043478,,54.56149999999999,,35.01843617044595,,0.0019489160466299995,,0.262015005,,10.499999999999998,,1004.1569172927587
36,239,40130,,49.25850031402348,,20.15433913043478,,54.56149999999999,,35.01843617044595,,0.0019489160466299995,,0.262015005,,10.499999999999998,,1004.1569172927587
38,253,40144,,49.25850031402348,,20.15433913043478,,54.56149999999999,,35.01843617044595,,0.0019489160466299995,,0.262015005,,10.499999999999998,,1004.1569172927587
40,267,40158,,42.95819228454271,,20.15433913043478,,55.98887,,35.93454487780573,,0.001999901160629399,,0.262015005,,10.499999999999998,,987.072906477987
42,281,40172,,36.65788425506197,,20.15433913043478,,57.41624,,36.85065358516548,,0.0020508862746287998,,0.262015005,,10.499999999999998,,969.9888956632154
44,295,40186,,36.65788425506197,,20.15433913043478,,57.41624,,36.85065358516548,,0.0020508862746287998,,0.262015005,,10.499999999999998,,969.9888956632154
46,309,40200,,36.65788425506197,,20.15433913043478,,57.41624,,36.85065358516548,,0.0020508862746287998,,0.262015005,,10.499999999999998,,969.9888956632154
48,223,40114,,27.665460355757737,,14.67607826086956,,57.41624,,36.85065358516548,,0.0020508862746287998,,0.262015005,,10.499999999999998,,880.3128071456421
50,337,40228,,30.52368341813959,,7.371730434782604,,57.41624,,36.85065358516548,,0.0020508862746287998,,0.262015005,,10.499999999999998,,835.7277031758878
52,351,40242,,30.52368341813959,,7.371730434782604,,57.41624,,36.85065358516548,,0.0020508862746287998,,0.262015005,,10.499999999999998,,835.7277031758878
