Semana,DDT,FECHA,Seleccioné su opción (Preventivos),Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Preventivos (Dosis),Unidades,Admin_Costo / Aplicación
1,1,39815,,6.524582876330665,,9.533461538461538,,3.04074497308477,,5.418876898407297,,11.169710181628137,,34.77873170731707,,28.0,0.0,0.0,480.43055134721305
2,8,39822,,6.524582876330665,,9.533461538461538,,3.04074497308477,,5.418876898407297,,11.169710181628137,,34.77873170731707,,28.0,0.0,0.0,480.43055134721305
3,15,39829,,8.4377214987475,,12.110289335496153,,5.802062477204975,,8.128315347610947,,16.75456527244221,,62.601853658536584,,28.0,0.0,0.0,645.9494504168538
4,22,39836,,8.4377214987475,,12.110289335496153,,5.802062477204975,,8.128315347610947,,16.75456527244221,,83.46868292682927,,28.0,0.0,0.0,646.7841235875854
5,29,39843,0,8.4377214987475,,12.110289335496153,,5.802062477204975,,8.128315347610947,,16.75456527244221,,83.46868292682927,,28.0,0.0,0.0,646.7841235875854
6,36,39850,,8.4377214987475,,12.110289335496153,,5.802062477204975,,8.128315347610947,,16.75456527244221,,118.24809756097562,,28.0,0.0,0.0,648.1753001729513
7,43,39857,,10.350860121164333,,7.274526336316344,,12.763848099180022,,10.837753796814594,,22.339420363256274,,118.24809756097562,,28.0,0.0,0.0,719.3308821481658
8,50,39864,,10.350860121164333,,7.274526336316344,,12.763848099180022,,10.837753796814594,,22.339420363256274,,159.98243902439023,,28.0,0.0,0.0,721.0002558067023
9,57,39871,0,8.551989700166342,,7.274526336316344,,12.763848099180022,,10.837753796814594,,22.339420363256274,,159.98243902439023,,28.0,0.0,0.0,709.8472591965148
10,64,39878,,8.551989700166342,,7.274526336316344,,12.763848099180022,,10.837753796814594,,22.339420363256274,,201.71746341463415,,28.0,0.0,0.0,711.5166601721245
11,71,39885,,3.7156866436277642,,5.950538461538461,,9.292587972447668,,8.128315347610947,,16.75456527244221,,201.71746341463415,,28.0,0.0,0.0,544.7477927109676
12,78,39892,,2.027406823835677,,5.950538461538461,,5.071068050007847,,5.418876898407297,,11.169710181628137,,201.71746341463415,,28.0,0.0,0.0,414.15243678234447
13,85,39899,0,2.027406823835677,,5.950538461538461,,5.071068050007847,,5.418876898407297,,11.169710181628137,,243.4518048780488,,28.0,0.0,0.0,415.82181044088105
