Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39449,,2.9880597014925367,,0.433125,,1.0013079999999999,,0.8001810381411938,,4.4533275496709994e-05,,24.866793170731707,,20.019999999999996,,89.51592249059678
2,8,39456,,2.9880597014925367,,0.433125,,1.0013079999999999,,0.8001810381411938,,4.4533275496709994e-05,,24.866793170731707,,20.019999999999996,,89.51592249059678
3,15,39463,,2.9880597014925367,,0.433125,,1.0013079999999999,,0.8001810381411938,,4.4533275496709994e-05,,44.76032536585365,,20.019999999999996,,90.31166377840165
4,22,39470,,2.9880597014925367,,0.433125,,1.0013079999999999,,0.8001810381411938,,4.4533275496709994e-05,,59.680108292682924,,20.019999999999996,,90.90845509547484
5,29,39477,,2.9880597014925367,,0.433125,,1.0013079999999999,,0.8001810381411938,,4.4533275496709994e-05,,59.680108292682924,,20.019999999999996,,90.90845509547484
6,36,39484,,2.9880597014925367,,0.433125,,1.0013079999999999,,0.8001810381411938,,4.4533275496709994e-05,,84.54738975609757,,20.019999999999996,,91.90314635401141
7,43,39491,,2.9880597014925367,,0.433125,,1.0013079999999999,,0.8001810381411938,,4.4533275496709994e-05,,84.54738975609757,,20.019999999999996,,91.90314635401141
8,50,39498,,2.9880597014925367,,0.433125,,1.0013079999999999,,0.8001810381411938,,4.4533275496709994e-05,,114.387443902439,,20.019999999999996,,93.09674851986507
9,57,39505,,2.9880597014925367,,0.433125,,1.0013079999999999,,0.8001810381411938,,4.4533275496709994e-05,,114.387443902439,,20.019999999999996,,93.09674851986507
10,64,39512,,2.9880597014925367,,0.433125,,1.0013079999999999,,0.8001810381411938,,4.4533275496709994e-05,,144.2279863414634,,20.019999999999996,,94.29037021742604
11,71,39519,,2.9880597014925367,,0.433125,,1.0013079999999999,,0.8001810381411938,,4.4533275496709994e-05,,144.2279863414634,,20.019999999999996,,94.29037021742604
12,78,39526,,2.9880597014925367,,0.433125,,1.0013079999999999,,0.8001810381411938,,4.4533275496709994e-05,,144.2279863414634,,20.019999999999996,,94.29037021742604
13,85,39533,,2.9880597014925367,,0.433125,,1.0013079999999999,,0.8001810381411938,,4.4533275496709994e-05,,174.06804048780486,,20.019999999999996,,95.4839723832797
14,92,39540,,2.9880597014925367,,0.433125,,1.0013079999999999,,0.8001810381411938,,4.4533275496709994e-05,,174.06804048780486,,20.019999999999996,,95.4839723832797
15,99,39547,,2.9880597014925367,,0.433125,,1.0013079999999999,,0.8001810381411938,,4.4533275496709994e-05,,174.06804048780486,,20.019999999999996,,95.4839723832797
16,106,39554,,2.9880597014925367,,0.433125,,1.1569634999999998,,0.900083207094189,,5.009323080762e-05,,174.06804048780486,,20.019999999999996,,97.30571281002268
17,113,39561,,2.9880597014925367,,0.433125,,1.1569634999999998,,0.900083207094189,,5.009323080762e-05,,174.06804048780486,,20.019999999999996,,97.30571281002268
18,120,39568,,2.9880597014925367,,0.433125,,1.1569634999999998,,0.900083207094189,,5.009323080762e-05,,174.06804048780486,,20.019999999999996,,97.30571281002268
