Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sin Magnecio,Sin Magnecio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39047,,0.0,,15.166083694640136,,3.627029822649566,,3.259039382455777e-05,,9.068928889559692e-05,,0.010195385199999999,,20.019999999999996,,112.42997758932097
2,8,39054,,0.0,,15.166083694640136,,3.627029822649566,,3.259039382455777e-05,,9.068928889559692e-05,,0.010195385199999999,,20.019999999999996,,112.42997758932097
3,15,39061,,0.0,,16.504150769889385,,3.9896598655830577,,3.584877781633468e-05,,9.975639402951451e-05,,0.018351733399999997,,20.019999999999996,,118.07854108361735
4,22,39068,,0.0,,17.842217845138638,,4.352289908516549,,3.910716180811159e-05,,0.00010882349916343213,,0.0244688444,,20.019999999999996,,123.72710457791376
5,29,39075,,7.556274991805408,,17.842217845138638,,12.08969419032375,,0.00010863100502253222,,0.0003022874976762004,,0.0244688444,,20.019999999999996,,173.458731610655
6,36,39082,,16.782553342010527,,11.04295045878372,,18.134662851038062,,0.00016294759985159638,,0.0004534342861070373,,0.0346644298,,20.019999999999996,,200.17550556774827
7,43,39089,,16.782553342010527,,11.04295045878372,,18.134662851038062,,0.00016294759985159638,,0.0004534342861070373,,0.0346644298,,20.019999999999996,,200.17550556774827
8,50,39096,,17.739106883662465,,11.04295045878372,,20.310686239743898,,0.0001825000884378541,,0.0005078429960960166,,0.04689885199999999,,20.019999999999996,,210.53930106846914
9,57,39103,,17.739106883662465,,11.04295045878372,,20.310686239743898,,0.0001825000884378541,,0.0005078429960960166,,0.04689885199999999,,20.019999999999996,,210.53930106846914
10,64,39110,,16.163373925732994,,11.04295045878372,,20.310686239743898,,0.0001825000884378541,,0.0005078429960960166,,0.05913347439999999,,20.019999999999996,,205.65452889888778
11,71,39117,,17.06962357595649,,8.726979130434781,,20.310686239743898,,0.0001825000884378541,,0.0005078429960960166,,0.05913347439999999,,20.019999999999996,,200.8211974310291
12,78,39124,,15.49389061802702,,8.726979130434781,,20.310686239743898,,0.0001825000884378541,,0.0005078429960960166,,0.05913347439999999,,20.019999999999996,,195.93642526144777
13,85,39131,,15.49389061802702,,8.726979130434781,,20.310686239743898,,0.0001825000884378541,,0.0005078429960960166,,0.0713678966,,20.019999999999996,,195.93642526144777
14,92,39138,,15.49389061802702,,8.726979130434781,,20.310686239743898,,0.0001825000884378541,,0.0005078429960960166,,0.0713678966,,20.019999999999996,,195.93642526144777
15,99,39145,,15.49389061802702,,8.726979130434781,,20.310686239743898,,0.0001825000884378541,,0.0005078429960960166,,0.0713678966,,20.019999999999996,,195.93642526144777
16,106,39152,,15.49389061802702,,8.726979130434781,,20.310686239743898,,0.0001825000884378541,,0.0005078429960960166,,0.0713678966,,20.019999999999996,,195.93642526144777
17,113,39159,,15.49389061802702,,8.726979130434781,,20.310686239743898,,0.0001825000884378541,,0.0005078429960960166,,0.0713678966,,20.019999999999996,,195.93642526144777
18,120,39166,,15.49389061802702,,8.726979130434781,,20.310686239743898,,0.0001825000884378541,,0.0005078429960960166,,0.0713678966,,20.019999999999996,,195.93642526144777
19,127,39173,,15.49389061802702,,8.726979130434781,,20.310686239743898,,0.0001825000884378541,,0.0005078429960960166,,0.0713678966,,20.019999999999996,,195.93642526144777
20,134,39180,,15.49389061802702,,8.726979130434781,,20.310686239743898,,0.0001825000884378541,,0.0005078429960960166,,0.0713678966,,20.019999999999996,,195.93642526144777
21,141,39187,,14.706024139062285,,8.726979130434781,,20.310686239743898,,0.0001825000884378541,,0.0005078429960960166,,0.0713678966,,20.019999999999996,,193.49403917665708
22,148,39194,,12.127834228146417,,6.654038695652173,,17.262308446716663,,0.00015510912733232349,,0.00043162216862765654,,0.0713678966,,20.019999999999996,,168.2964625217427
23,155,39201,,12.127834228146417,,6.654038695652173,,17.262308446716663,,0.00015510912733232349,,0.00043162216862765654,,0.0713678966,,20.019999999999996,,168.2964625217427
24,162,39208,,12.127834228146417,,6.654038695652173,,17.262308446716663,,0.00015510912733232349,,0.00043162216862765654,,0.0713678966,,20.019999999999996,,168.2964625217427
25,169,39215,,12.127834228146417,,6.654038695652173,,17.262308446716663,,0.00015510912733232349,,0.00043162216862765654,,0.0713678966,,20.019999999999996,,168.2964625217427
26,176,39222,,12.127834228146417,,6.654038695652173,,17.262308446716663,,0.00015510912733232349,,0.00043162216862765654,,0.0713678966,,20.019999999999996,,168.2964625217427
27,183,39229,,12.127834228146417,,6.654038695652173,,17.262308446716663,,0.00015510912733232349,,0.00043162216862765654,,0.0713678966,,20.019999999999996,,168.2964625217427
28,190,39236,,12.127834228146417,,6.654038695652173,,17.262308446716663,,0.00015510912733232349,,0.00043162216862765654,,0.0713678966,,20.019999999999996,,168.2964625217427
29,197,39243,,12.127834228146417,,6.654038695652173,,17.262308446716663,,0.00015510912733232349,,0.00043162216862765654,,0.0713678966,,20.019999999999996,,168.2964625217427
30,204,39250,,12.127834228146417,,6.654038695652173,,17.262308446716663,,0.00015510912733232349,,0.00043162216862765654,,0.0713678966,,20.019999999999996,,168.2964625217427
