Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
2,1,39606,,81.14600664302456,,30.24202746782607,,76.41942464823335,,49.04719892646581,,0.002729672809053529,,427.70923317073175,,20.019999999999996,,1873.1892668708451
4,15,39620,,116.94263707780716,,30.24202746782607,,106.77540857316669,,68.53015092496956,,0.0038139770195782545,,790.7621673170731,,20.019999999999996,,2481.73706233317
6,29,39634,,134.39920664302454,,30.24202746782607,,121.77691225700003,,78.15835394748594,,0.004349825030593381,,1084.1943307317076,,20.019999999999996,,2785.514983154032
8,43,39648,,118.87326142563326,,30.24202746782607,,121.77691225700003,,78.15835394748594,,0.004349825030593381,,1452.2239439024388,,20.019999999999996,,2699.317523767818
10,57,39662,,106.31941577345938,,30.24202746782607,,121.77691225700003,,78.15835394748594,,0.004349825030593381,,1840.148554146341,,20.019999999999996,,2633.234511438444
12,71,39676,,96.69488039931949,,45.36304120173911,,121.77691225700003,,78.15835394748594,,0.004349825030593381,,2138.5520253658533,,20.019999999999996,,2764.0633351622714
14,85,39690,,96.69488039931949,,45.36304120173911,,121.77691225700003,,78.15835394748594,,0.004349825030593381,,2436.952566829269,,20.019999999999996,,2775.999356820808
16,99,39704,,87.61581605714557,,45.36304120173911,,114.68590466666666,,73.6072327963769,,0.0040965369340495595,,2436.952566829269,,20.019999999999996,,2632.576432425697
18,113,39718,,83.03466078279773,,45.36304120173911,,114.14636566666668,,73.26094810785173,,0.0040772648059943795,,2436.952566829269,,20.019999999999996,,2596.376429554562
20,127,39732,,83.03466078279773,,45.36304120173911,,114.14636566666668,,73.26094810785173,,0.0040772648059943795,,2436.952566829269,,20.019999999999996,,2596.376429554562
22,141,39746,,83.03466078279773,,45.36304120173911,,114.14636566666668,,73.26094810785173,,0.0040772648059943795,,2436.952566829269,,20.019999999999996,,2596.376429554562
24,155,39760,,83.03466078279773,,45.36304120173911,,114.14636566666668,,73.26094810785173,,0.0040772648059943795,,2436.952566829269,,20.019999999999996,,2596.376429554562
26,169,39774,,83.03466078279773,,45.36304120173911,,114.14636566666668,,73.26094810785173,,0.0040772648059943795,,2436.952566829269,,20.019999999999996,,2596.376429554562
28,183,39788,,83.03466078279773,,45.36304120173911,,114.14636566666668,,73.26094810785173,,0.0040772648059943795,,2436.952566829269,,20.019999999999996,,2596.376429554562
30,197,39802,,83.03466078279773,,45.36304120173911,,114.14636566666668,,73.26094810785173,,0.0040772648059943795,,2436.952566829269,,20.019999999999996,,2596.376429554562
32,211,39816,,83.03466078279773,,45.36304120173911,,114.14636566666668,,73.26094810785173,,0.0040772648059943795,,2436.952566829269,,20.019999999999996,,2596.376429554562
