Semana,N,Nitrato de Amonio,P2O5,FofatoMonoPotasico,K2O,Kcl Soluble,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
1,0.8650714459697101,1.0619319098398132,0.5194096638135227,0.9988647381029283,1.4902902012248471,1.9177936504497526,0.2550645041505257,1.5941531509407854,0.8872099946245846,3.2859629430540167,5.0926,24.841951219512197
2,0.8650714459697101,1.0619319098398132,0.5194096638135227,0.9988647381029283,1.4902902012248471,1.9177936504497526,0.2550645041505257,1.5941531509407854,0.8872099946245846,3.2859629430540167,5.0926,24.841951219512197
3,1.384114313551536,1.6990910557437013,0.8310554621016365,1.5981835809646856,2.3844643219597548,3.0684698407196027,0.40810320664084093,2.550645041505256,1.419535991399335,5.257540708886426,9.1667,44.715609756097564
4,1.903157181133362,2.3362502016475903,1.1427012603897502,2.1975024238264425,3.2786384426946626,4.219146030989454,0.5611419091311561,3.507136932069726,1.9518619881740855,7.229118474718835,12.2222,59.62048780487805
5,1.903157181133362,2.3362502016475903,1.1427012603897502,2.1975024238264425,3.2786384426946626,4.219146030989454,0.5611419091311561,3.507136932069726,1.9518619881740855,7.229118474718835,12.2222,59.62048780487805
6,2.9412429162970137,3.610568493455365,1.7659928569659775,3.3961401095499566,5.066986684164479,6.5204984115291555,0.867219314111787,5.420120713198669,3.016513981723587,11.172274006383654,17.3149,84.46292682926831
7,2.9412429162970137,3.610568493455365,1.7659928569659775,3.3961401095499566,5.066986684164479,6.5204984115291555,0.867219314111787,5.420120713198669,3.016513981723587,11.172274006383654,17.3149,84.46292682926831
8,3.979328651460666,4.884886785263142,2.3892844535422046,4.594777795273471,6.855334925634295,8.821850792068858,1.1732967190924177,7.3331044943276105,4.081165975273088,15.115429538048474,23.426,114.27317073170731
9,3.979328651460666,4.884886785263142,2.3892844535422046,4.594777795273471,6.855334925634295,8.821850792068858,1.1732967190924177,7.3331044943276105,4.081165975273088,15.115429538048474,23.426,114.27317073170731
10,5.017414386624318,6.159205077070919,3.012576050118432,5.793415480996985,8.643683167104111,11.12320317260856,1.4793741240730482,9.246088275456552,5.145817968822589,19.058585069713292,29.5372,144.0839024390244
11,5.017414386624318,6.159205077070919,3.012576050118432,5.793415480996985,8.643683167104111,11.12320317260856,1.4793741240730482,9.246088275456552,5.145817968822589,19.058585069713292,29.5372,144.0839024390244
