Semana,DDT,FECHA,Admin_col_3_Cambios,Columna_4,Admin_col_5_Cambios,Columna_6,Admin_col_7_Cambios,Columna_8,Admin_col_9_Cambios,Columna_10,Admin_col_11_Cambios,Columna_12,Admin_col_13_Cambios,Columna_14,Admin_col_15_Cambios,Columna_16,Admin_col_17_Cambios,Admin_Costo / Aplicación
2,1,40280,,4.317609427156408,,3.190357861007939,,3.4324339951086946,,3.0025945741994597,,6.18912586787025,,56.08075609756098,,2.6249999999999996,,248.51515337594026
4,15,40294,,8.295412523575234,,6.0522965304415335,,6.788939401562497,,5.93876900204019,,12.241342594057212,,103.68385060975609,,2.6249999999999996,,475.0638667878615
6,29,40308,,12.900245496449225,,8.757845108649246,,10.69099120516304,,9.35217173328927,,19.27725057942522,,142.15834756097564,,2.6249999999999996,,719.6139147631031
8,43,40322,,19.2815775387126,,9.25829340057206,,15.064477911684776,,13.1779721635521,,27.163217140382542,,190.41397865853656,,2.6249999999999996,,928.0527543308259
10,57,40336,,22.906574696146244,,9.108158912995217,,19.84636911503623,,17.36103310574526,,35.78559023952394,,241.27821951219505,,2.6249999999999996,,1114.8740909145993
12,71,40350,,27.569225964088872,,9.108158912995217,,23.382461254528973,,20.45430484441245,,42.1616252522567,,280.4045487804878,,2.6249999999999996,,1268.592798655962
14,85,40364,,31.862602217660548,,6.738805327868853,,25.99483953804344,,22.73953825924717,,46.87208378815342,,319.5304939024391,,2.6249999999999996,,1319.1160634338087
16,99,40378,,31.862602217660548,,6.738805327868853,,25.99483953804344,,22.73953825924717,,46.87208378815342,,319.5304939024391,,2.6249999999999996,,1319.1160634338087
18,113,40392,,31.862602217660548,,6.738805327868853,,25.99483953804344,,22.73953825924717,,46.87208378815342,,319.5304939024391,,2.6249999999999996,,1319.1160634338087
20,127,40406,,31.862602217660548,,6.738805327868853,,25.99483953804344,,22.73953825924717,,46.87208378815342,,319.5304939024391,,2.6249999999999996,,1319.1160634338087
22,141,40420,,31.862602217660548,,6.738805327868853,,25.99483953804344,,22.73953825924717,,46.87208378815342,,319.5304939024391,,2.6249999999999996,,1319.1160634338087
24,155,40434,,15.931301108830274,,3.3694026639344257,,12.997419769021718,,11.369769129623586,,23.436041894076705,,159.76524695121952,,2.6249999999999996,,663.2330317169043
