Semana,DDT,FECHA,Admin_col_3_Cambios,Columna_4,Admin_col_5_Cambios,Columna_6,Admin_col_7_Cambios,Columna_8,Admin_col_9_Cambios,Columna_10,Admin_col_11_Cambios,Columna_12,Admin_col_13_Cambios,Columna_14,Admin_col_15_Cambios,Columna_16,Admin_col_17_Cambios,Admin_Costo / Aplicación
1,1,40280,,0.5079540502536951,,0.37533621894211056,,0.40381576413043474,,0.35324642049405414,,0.7281324550435587,,6.52101219512195,,2.6249999999999996,,35.719302032750505
2,8,40287,,0.5079540502536951,,0.37533621894211056,,0.40381576413043474,,0.35324642049405414,,0.7281324550435587,,6.52101219512195,,2.6249999999999996,,35.719302032750505
3,15,40294,,0.8889195879439666,,0.6568383831486935,,0.7066775872282608,,0.6181812358645946,,1.2742317963262277,,11.737847560975608,,2.6249999999999996,,57.00932160609388
4,22,40301,,1.2864428419781755,,0.9383405473552764,,1.0816493682065218,,0.946195769180502,,1.950354790295247,,15.650378048780487,,2.6249999999999996,,80.8631118406569
5,29,40308,,1.232918137622972,,0.8757845108649245,,1.0310303091032607,,0.9019156716080154,,1.8590820291730554,,15.650378048780487,,2.6249999999999996,,76.95288181918413
6,36,40315,,2.067846373566673,,1.4012552173838788,,1.7130965135869562,,1.4985675774410105,,3.0889362946259995,,22.17151829268293,,2.6249999999999996,,121.40133309533579
7,43,40322,,2.16302372693659,,1.4012552173838788,,1.7765445326086953,,1.554070080309196,,3.2033413425751105,,22.17151829268293,,2.6249999999999996,,124.20281874339159
8,50,40329,,3.0751478243138832,,1.3011655589993167,,2.3606925733695645,,2.065065991728692,,4.256636396432171,,29.996707317073163,,2.6249999999999996,,147.62800419807903
9,57,40336,,2.6466934831775446,,1.3011655589993167,,2.3606925733695645,,2.065065991728692,,4.256636396432171,,29.996707317073163,,2.6249999999999996,,144.97158728303373
10,64,40343,,3.7416235616534044,,1.3011655589993167,,3.1910728487318836,,2.791458782639795,,5.753920262556858,,37.8220243902439,,2.6249999999999996,,181.01483226637455
11,71,40350,,3.7416235616534044,,1.3011655589993167,,3.1910728487318836,,2.791458782639795,,5.753920262556858,,37.8220243902439,,2.6249999999999996,,181.01483226637455
12,78,40357,,3.7416235616534044,,1.3011655589993167,,3.1910728487318836,,2.791458782639795,,5.753920262556858,,37.8220243902439,,2.6249999999999996,,181.01483226637455
13,85,40364,,4.55180031680865,,0.9626864754098359,,3.7135485054347757,,3.248505465606739,,6.696011969736202,,45.647213414634145,,2.6249999999999996,,194.74515191911556
14,92,40371,,4.55180031680865,,0.9626864754098359,,3.7135485054347757,,3.248505465606739,,6.696011969736202,,45.647213414634145,,2.6249999999999996,,194.74515191911556
15,99,40378,,4.55180031680865,,0.9626864754098359,,3.7135485054347757,,3.248505465606739,,6.696011969736202,,45.647213414634145,,2.6249999999999996,,194.74515191911556
16,106,40385,,4.55180031680865,,0.9626864754098359,,3.7135485054347757,,3.248505465606739,,6.696011969736202,,45.647213414634145,,2.6249999999999996,,194.74515191911556
17,113,40392,,4.55180031680865,,0.9626864754098359,,3.7135485054347757,,3.248505465606739,,6.696011969736202,,45.647213414634145,,2.6249999999999996,,194.74515191911556
18,120,40399,,4.55180031680865,,0.9626864754098359,,3.7135485054347757,,3.248505465606739,,6.696011969736202,,45.647213414634145,,2.6249999999999996,,194.74515191911556
19,127,40406,,4.55180031680865,,0.9626864754098359,,3.7135485054347757,,3.248505465606739,,6.696011969736202,,45.647213414634145,,2.6249999999999996,,194.74515191911556
20,134,40413,,4.55180031680865,,0.9626864754098359,,3.7135485054347757,,3.248505465606739,,6.696011969736202,,45.647213414634145,,2.6249999999999996,,194.74515191911556
21,141,40420,,4.55180031680865,,0.9626864754098359,,3.7135485054347757,,3.248505465606739,,6.696011969736202,,45.647213414634145,,2.6249999999999996,,194.74515191911556
22,148,40427,,4.55180031680865,,0.9626864754098359,,3.7135485054347757,,3.248505465606739,,6.696011969736202,,45.647213414634145,,2.6249999999999996,,194.74515191911556
23,155,40434,,4.55180031680865,,0.9626864754098359,,3.7135485054347757,,3.248505465606739,,6.696011969736202,,45.647213414634145,,2.6249999999999996,,194.74515191911556
