Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulpomag (K Mag) (Lbs),Admin_Sulpomag (K Mag)_Cambios,Sin Calcio,Admin_Sulpomag (K Mag)_Cambios_1,Sin Boro,Admin_Sulpomag (K Mag)_Cambios_2,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,3,39451,Furadan 48 SC,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.017841924099999996,,20.019999999999996,3.788785,1590.0645558960518
2,10,39458,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.025998272299999996,,20.019999999999996,,138.95990089605198
3,17,39465,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.03823264445,,20.019999999999996,,138.95990089605198
4,24,39472,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.0428204777,,20.019999999999996,,138.95990089605198
5,31,39479,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.05046716674999999,,20.019999999999996,,138.95990089605198
6,38,39486,MetaZam,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.060662752149999985,,20.019999999999996,1.001,519.3399008960519
7,45,39493,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.06677996324999999,,20.019999999999996,,138.95990089605198
8,52,39500,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.08207299099999998,,20.019999999999996,,138.95990089605198
9,59,39507,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.08513164659999999,,20.019999999999996,,138.95990089605198
10,66,39514,Acido Fosforoso,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.10348358019999997,,20.019999999999996,5.004999999999999,539.3599008960518
11,73,39521,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.10348358019999997,,20.019999999999996,,138.95990089605198
12,80,39528,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.11571800239999998,,20.019999999999996,,138.95990089605198
13,87,39535,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
