Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),",@ Melaza (Lts)",",@ Melaza (Cambios)",Admin_Costo / Aplicación (Costo / Aplicación)
2,14,38533,,45.841763449939975,,33.675174749117545,,65.84872896268334,,39.826036249999994,,36.58262720149074,,427.70923317073164,,20.019999999999996,,1174.8974257794412
4,28,38547,,85.00398102165735,,92.95527536475507,,131.69745792536668,,79.65207249999999,,73.16525440298147,,790.7621673170731,,20.019999999999996,,2606.523097256632
6,42,38561,,85.00398102165735,,92.95527536475507,,131.69745792536668,,79.65207249999999,,73.16525440298147,,1084.1943307317072,,20.019999999999996,,2610.1323128666318
8,56,38575,,87.98019129558728,,67.28788627158958,,131.69745792536668,,79.65207249999999,,73.16525440298147,,1452.2239439024386,,20.019999999999996,,2315.8766598398292
10,70,38589,,90.95640156951721,,41.620497178424095,,131.69745792536668,,79.65207249999999,,73.16525440298147,,1840.148554146341,,20.019999999999996,,2021.8657152770263
12,84,38603,,78.20905114216023,,41.620497178424095,,115.2086162802575,,69.67935974999999,,64.00478682236526,,2138.5520253658533,,20.019999999999996,,1837.1793406380896
14,98,38617,,65.46170071480329,,41.620497178424095,,98.71977463514833,,59.70664699999998,,54.84431924174906,,2436.9525668292686,,20.019999999999996,,1652.492929963153
16,112,38631,,65.46170071480329,,41.620497178424095,,98.71977463514833,,59.70664699999998,,54.84431924174906,,2436.9525668292686,,20.019999999999996,,1652.492929963153
18,126,38645,,32.73085035740164,,20.810248589212048,,49.35988731757416,,29.85332349999999,,27.42215962087453,,1218.4762834146343,,20.019999999999996,,840.7609649815765
