Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39449,,7.510775480602623,,7.8943908521739115,,14.091981728424596,,8.14001166398898,,16.778674412875663,,0.03568384819999999,,20.019999999999996,,404.12799567526156
2,8,39456,,7.937617365839056,,8.343033829565215,,14.89283752064108,,8.602613419756663,,17.73221656530138,,0.05199654459999999,,20.019999999999996,,423.9091364130906
3,15,39463,,8.257748779766382,,8.679516062608693,,15.493479364803441,,8.949564736582424,,18.44737317962067,,0.0764652889,,20.019999999999996,,438.74499196646246
4,22,39470,,8.257748779766382,,8.679516062608693,,15.493479364803441,,8.949564736582424,,18.44737317962067,,0.0856409554,,20.019999999999996,,438.74499196646246
5,29,39477,,8.257748779766382,,8.679516062608693,,15.493479364803441,,8.949564736582424,,18.44737317962067,,0.10093433349999999,,20.019999999999996,,438.74499196646246
6,36,39484,,8.928988746037563,,8.679516062608693,,16.29833543570232,,9.41447719043086,,19.40567827986071,,0.12132550429999997,,20.019999999999996,,457.35169715949013
7,43,39491,,8.79532656094861,,9.86521536,,16.90197748887648,,9.763161530817186,,20.12440710504073,,0.13355992649999998,,20.019999999999996,,474.6549992940583
8,50,39498,,8.317507441104352,,10.754489833043479,,16.90197748887648,,9.763161530817186,,20.12440710504073,,0.16414598199999997,,20.019999999999996,,477.16620422390645
9,57,39505,,8.317507441104352,,10.754489833043479,,16.90197748887648,,9.763161530817186,,20.12440710504073,,0.17026329319999997,,20.019999999999996,,477.16620422390645
10,64,39512,,8.317507441104352,,10.754489833043479,,16.90197748887648,,9.763161530817186,,20.12440710504073,,0.20696716039999993,,20.019999999999996,,477.16620422390645
11,71,39519,,10.243152115715324,,10.754489833043479,,19.210938344357757,,11.096896463030497,,22.87358058346293,,0.20696716039999993,,20.019999999999996,,530.5448833363098
12,78,39526,,11.687385621673553,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.23143600479999996,,20.019999999999996,,570.5788926706123
13,85,39533,,11.687385621673553,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,570.5788926706123
14,92,39540,,11.687385621673553,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,570.5788926706123
15,99,39547,,11.687385621673553,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,570.5788926706123
16,106,39554,,11.687385621673553,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,570.5788926706123
17,113,39561,,11.687385621673553,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,570.5788926706123
18,120,39568,,11.687385621673553,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,570.5788926706123
19,127,39575,,11.687385621673553,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,570.5788926706123
20,134,39582,,11.687385621673553,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,570.5788926706123
21,141,39589,,11.687385621673553,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,570.5788926706123
22,148,39596,,11.687385621673553,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,570.5788926706123
23,155,39603,,11.687385621673553,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,570.5788926706123
24,162,39610,,11.687385621673553,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,570.5788926706123
25,169,39617,,9.45636868470184,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,561.543274075877
26,176,39624,,9.45636868470184,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,561.543274075877
27,183,39631,,7.065993395089294,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,551.8622541529461
28,190,39638,,6.109843279244277,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,547.9898461837738
29,197,39645,,6.109843279244277,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,547.9898461837738
30,204,39652,,6.109843279244277,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,547.9898461837738
31,211,39659,,6.109843279244277,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,547.9898461837738
32,218,39666,,6.109843279244277,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,547.9898461837738
33,225,39673,,6.109843279244277,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,547.9898461837738
34,232,39680,,6.109843279244277,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,547.9898461837738
35,239,39687,,6.109843279244277,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,547.9898461837738
36,246,39694,,6.109843279244277,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,547.9898461837738
37,253,39701,,6.109843279244277,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,547.9898461837738
38,260,39708,,6.109843279244277,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,547.9898461837738
39,267,39715,,6.109843279244277,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,547.9898461837738
40,274,39722,,6.109843279244277,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,547.9898461837738
41,281,39729,,6.109843279244277,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,547.9898461837738
42,288,39736,,6.109843279244277,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,547.9898461837738
43,295,39743,,6.109843279244277,,10.754489833043479,,20.942658985968713,,12.097197662190478,,24.93546069227959,,0.24978763809999996,,20.019999999999996,,547.9898461837738
44,302,39750,,9.781265469374578,,8.798295593043477,,25.558658613034208,,14.76355726507669,,30.431519112243627,,0.24978763809999996,,20.019999999999996,,644.1998285032137
45,309,39757,,12.534832111972303,,7.331149913043477,,29.020658333333326,,16.763326967241348,,34.55356292721665,,0.24978763809999996,,20.019999999999996,,716.3573152427937
46,316,39764,,12.534832111972303,,7.331149913043477,,29.020658333333326,,16.763326967241348,,34.55356292721665,,0.24978763809999996,,20.019999999999996,,716.3573152427937
47,323,39771,,12.534832111972303,,7.331149913043477,,29.020658333333326,,16.763326967241348,,34.55356292721665,,0.24978763809999996,,20.019999999999996,,716.3573152427937
48,330,39778,,12.534832111972303,,7.331149913043477,,29.020658333333326,,16.763326967241348,,34.55356292721665,,0.24978763809999996,,20.019999999999996,,716.3573152427937
49,337,39785,,12.534832111972303,,7.331149913043477,,29.020658333333326,,16.763326967241348,,34.55356292721665,,0.24978763809999996,,20.019999999999996,,716.3573152427937
50,344,39792,,12.534832111972303,,7.331149913043477,,29.020658333333326,,16.763326967241348,,34.55356292721665,,0.24978763809999996,,20.019999999999996,,716.3573152427937
51,351,39799,,12.534832111972303,,7.331149913043477,,29.020658333333326,,16.763326967241348,,34.55356292721665,,0.24978763809999996,,20.019999999999996,,716.3573152427937
52,358,39806,,12.534832111972303,,7.331149913043477,,29.020658333333326,,16.763326967241348,,34.55356292721665,,0.24978763809999996,,20.019999999999996,,716.3573152427937
