Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
2,1,39449,,17.43309900469431,,16.397763086592906,,31.48326768324331,,26.170255787104303,,53.94368205835194,,427.70923317073175,,20.019999999999996,,1288.6126037562128
4,15,39463,,30.826821410739953,,28.996044482389905,,55.67163187890585,,46.276671818660034,,95.38821827391499,,790.7621673170731,,20.019999999999996,,2236.9547061104954
6,29,39477,,45.49613642688516,,42.79416220159613,,82.16364980748862,,68.29798461512586,,140.77985317667458,,1084.1943307317076,,20.019999999999996,,3271.447214301074
8,43,39491,,62.07884035817974,,58.39203440591624,,112.11114833545174,,93.1916425589568,,192.0921361102289,,1452.2239439024388,,20.019999999999996,,4442.326475480244
10,57,39505,,78.66154428947436,,73.98990661023632,,142.05864686341485,,118.08530050278772,,243.4044190437832,,1840.148554146341,,20.019999999999996,,5614.001536542341
12,71,39519,,91.41747039047019,,85.98826984432868,,165.09518419261727,,137.2342681518884,,282.875405915748,,2138.5520253658533,,20.019999999999996,,6515.290042046766
14,85,39533,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
16,99,39547,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
18,113,39561,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
20,127,39575,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
22,141,39589,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
24,155,39603,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
26,169,39617,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
28,183,39631,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
30,197,39645,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
32,211,39659,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
34,225,39673,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
36,239,39687,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
38,253,39701,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
40,267,39715,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
42,281,39729,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
44,295,39743,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
46,309,39757,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
48,223,39671,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
50,337,39785,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
52,351,39799,,104.17339649146602,,97.98663307842102,,188.1317215218197,,156.38323580098904,,322.34639278771283,,2436.952566829269,,20.019999999999996,,7416.578430360948
