Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Preventivos (Dosis),Preventivos (Unidades),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39817,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,87.03377609756097,,20.019999999999996,962.5084633133911
2,10,39824,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,126.82084048780487,,20.019999999999996,964.0999458890008
3,17,39831,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,186.50070463414633,,20.019999999999996,966.4871404548546
4,24,39838,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,208.88037902439024,,20.019999999999996,967.3823274304643
5,31,39845,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,246.18130121951222,,20.019999999999996,968.874364318269
6,38,39852,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,295.9158641463415,,20.019999999999996,970.8637468353422
7,45,39859,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,325.75591829268296,,20.019999999999996,972.0573490011959
8,52,39866,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,400.35605365853655,,20.019999999999996,975.04135441583
9,59,39873,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,415.27632487804874,,20.019999999999996,975.6381652646105
10,66,39880,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,504.797952195122,,20.019999999999996,979.2190303572936
11,73,39887,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,504.797952195122,,20.019999999999996,979.2190303572936
12,80,39894,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,564.4780604878048,,20.019999999999996,981.6062346890008
13,87,39901,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
14,94,39908,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
15,101,39915,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
16,108,39922,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
17,115,39929,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
18,122,39936,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
19,129,39943,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
20,136,39950,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
21,143,39957,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
22,150,39964,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
23,157,39971,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
24,164,39978,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
25,171,39985,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
26,178,39992,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
27,185,39999,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
28,192,40006,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
29,199,40013,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
30,206,40020,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
31,213,40027,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
32,220,40034,,0.0,0,12.616382381451272,,3.5138581739130426,,27.368407733333335,,17.565478208928877,,36.2070046014714,,609.2381417073171,,20.019999999999996,983.3966379377814
