Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,MAP 12-61-0 (Lbs),Admin_MAP 12-61-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,3,38522,,4.051229354325342,,13.83710553601606,,7.013780874387787,,4.148526892589856,,1.946325751260583,,87.03377609756097,,20.019999999999996,,261.5277816958511
2,10,38529,,4.586451727932356,,15.685414306373287,,7.945230343275224,,4.6994627202087,,2.204803185865617,,126.82084048780486,,20.019999999999996,,292.8712553411165
3,17,38536,,5.125004699377843,,17.523771665547688,,8.877352338855,,5.250796335428717,,2.4634672467772263,,186.50070463414636,,20.019999999999996,,324.35538346750593
4,24,38543,,5.671245735933425,,19.372080435904916,,9.818889708127498,,5.807698977065097,,2.724744075980871,,208.88037902439024,,20.019999999999996,,355.5948809461912
5,31,38550,,6.207202687070345,,21.220389206262144,,10.751011703707274,,6.359032592285112,,2.9834081368924807,,246.18130121951214,,20.019999999999996,,386.91511735781796
6,38,38557,,6.753616791646492,,23.068034549207187,,11.692549072979771,,6.9159352339214895,,3.2446849660961252,,295.91586414634145,,20.019999999999996,,418.4836553474209
7,45,38564,,7.2912621175415,,24.90705533579378,,12.623998541867211,,7.466871061540336,,3.5031624007011604,,325.7559182926829,,20.019999999999996,,449.60083611353144
8,52,38571,,8.037308242231079,,26.755364106151003,,13.748463171455507,,8.13197193069464,,3.81520158529294,,400.3560536585365,,20.019999999999996,,483.47975504049833
9,59,38578,,8.573438261388569,,28.60300944909605,,14.680585167035284,,8.683305545914658,,4.073865646204552,,415.2763248780487,,20.019999999999996,,514.5172848270427
10,66,38585,,9.108660634995589,,30.45131821945327,,15.612034635922724,,9.234241373533504,,4.3323430808095855,,504.7979521951218,,20.019999999999996,,546.4724935963079
11,73,38592,,9.710387274012849,,32.28967557862767,,16.601993927043523,,9.819784722454038,,4.607057004086561,,504.7979521951218,,20.019999999999996,,577.8539985147717
12,80,38599,,10.245609647619865,,34.13798434898491,,17.53344339593096,,10.370720550072884,,4.865534438691596,,564.4780604878049,,20.019999999999996,,609.4421566000372
13,87,38606,,10.781566598756788,,35.98629311934213,,18.465565391510737,,10.9220541652929,,5.124198499603203,,609.2381417073171,,20.019999999999996,,640.854140667664
14,94,38613,,11.327807635312366,,37.834601889699364,,19.407102760783236,,11.478956806929277,,5.385475328806848,,609.2381417073171,,20.019999999999996,,671.8183681513493
15,101,38620,,11.866360606757853,,39.672959248873774,,20.33922475636301,,12.030290422149294,,5.6441393897184575,,609.2381417073171,,20.019999999999996,,702.5684339487389
16,108,38627,,12.402317557894774,,41.52126801923099,,21.271346751942787,,12.58162403736931,,5.902803450630066,,609.2381417073171,,20.019999999999996,,733.4298690173654
17,115,38634,,12.948731662470923,,43.36891336217604,,22.212884121215286,,13.138526679005686,,6.164080279833711,,609.2381417073171,,20.019999999999996,,764.3866718829682
18,122,38641,,28.667468462843974,,15.656886927649175,,29.985275104559776,,17.735757985714,,8.320920504909802,,609.2381417073171,,20.019999999999996,,539.1080885900624
19,129,38648,,28.667468462843974,,15.656886927649175,,29.985275104559776,,17.735757985714,,8.320920504909802,,609.2381417073171,,20.019999999999996,,539.1080885900624
20,136,38655,,28.667468462843974,,15.656886927649175,,29.985275104559776,,17.735757985714,,8.320920504909802,,609.2381417073171,,20.019999999999996,,539.1080885900624
21,143,38662,,28.667468462843974,,15.656886927649175,,29.985275104559776,,17.735757985714,,8.320920504909802,,609.2381417073171,,20.019999999999996,,539.1080885900624
22,150,38669,,24.610627280020548,,15.656886927649175,,44.996302702702685,,26.614514364275667,,12.486483999178374,,609.2381417073171,,20.019999999999996,,639.5872173269419
23,157,38676,,24.610627280020548,,15.656886927649175,,44.996302702702685,,26.614514364275667,,12.486483999178374,,609.2381417073171,,20.019999999999996,,639.5872173269419
24,164,38683,,24.610627280020548,,15.656886927649175,,44.996302702702685,,26.614514364275667,,12.486483999178374,,609.2381417073171,,20.019999999999996,,639.5872173269419
25,171,38690,,24.610627280020548,,15.656886927649175,,44.996302702702685,,26.614514364275667,,12.486483999178374,,609.2381417073171,,20.019999999999996,,639.5872173269419
26,178,38697,,24.610627280020548,,15.656886927649175,,44.996302702702685,,26.614514364275667,,12.486483999178374,,609.2381417073171,,20.019999999999996,,639.5872173269419
27,185,38704,,24.610627280020548,,15.656886927649175,,44.996302702702685,,26.614514364275667,,12.486483999178374,,609.2381417073171,,20.019999999999996,,639.5872173269419
28,192,38711,,24.610627280020548,,15.656886927649175,,44.996302702702685,,26.614514364275667,,12.486483999178374,,609.2381417073171,,20.019999999999996,,639.5872173269419
29,199,38718,,24.610627280020548,,15.656886927649175,,44.996302702702685,,26.614514364275667,,12.486483999178374,,609.2381417073171,,20.019999999999996,,639.5872173269419
30,206,38725,,24.610627280020548,,15.656886927649175,,44.996302702702685,,26.614514364275667,,12.486483999178374,,609.2381417073171,,20.019999999999996,,639.5872173269419
31,213,38732,,24.610627280020548,,15.656886927649175,,44.996302702702685,,26.614514364275667,,12.486483999178374,,609.2381417073171,,20.019999999999996,,639.5872173269419
32,220,38739,,24.610627280020548,,15.656886927649175,,44.996302702702685,,26.614514364275667,,12.486483999178374,,609.2381417073171,,20.019999999999996,,639.5872173269419
33,227,38746,,24.610627280020548,,15.656886927649175,,44.996302702702685,,26.614514364275667,,12.486483999178374,,609.2381417073171,,20.019999999999996,,639.5872173269419
34,234,38753,,24.610627280020548,,15.656886927649175,,44.996302702702685,,26.614514364275667,,12.486483999178374,,609.2381417073171,,20.019999999999996,,639.5872173269419
35,241,38760,,30.835628538701506,,20.66111989778722,,56.8047074189189,,33.598976154733855,,15.763318932018311,,609.2381417073171,,20.019999999999996,,807.8703455392156
36,248,38767,,30.835628538701506,,20.66111989778722,,56.8047074189189,,33.598976154733855,,15.763318932018311,,609.2381417073171,,20.019999999999996,,807.8703455392156
37,255,38774,,30.835628538701506,,20.66111989778722,,56.8047074189189,,33.598976154733855,,15.763318932018311,,609.2381417073171,,20.019999999999996,,807.8703455392156
38,262,38781,,30.835628538701506,,20.66111989778722,,56.8047074189189,,33.598976154733855,,15.763318932018311,,609.2381417073171,,20.019999999999996,,807.8703455392156
39,269,38788,,29.596266144408762,,20.66111989778722,,70.05913915,,41.43873725750508,,19.441426682822584,,609.2381417073171,,20.019999999999996,,903.85388225256
40,276,38795,,29.596266144408762,,20.66111989778722,,70.05913915,,41.43873725750508,,19.441426682822584,,609.2381417073171,,20.019999999999996,,903.85388225256
41,283,38802,,29.596266144408762,,20.66111989778722,,70.05913915,,41.43873725750508,,19.441426682822584,,609.2381417073171,,20.019999999999996,,903.85388225256
