Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39240,,2.7571881579086446,,1.3124505143749996,,1.581451726020833,,0.6715500088869623,,1.8456515651651852,,24.866793170731707,,20.019999999999996,,92.55252836198659
2,8,39247,,2.7571881579086446,,1.3124505143749996,,1.581451726020833,,0.6715500088869623,,1.8456515651651852,,24.866793170731707,,20.019999999999996,,92.55252836198659
3,15,39254,,2.7571881579086446,,1.3124505143749996,,1.581451726020833,,0.6715500088869623,,1.8456515651651852,,44.76032536585365,,20.019999999999996,,93.18116397935245
4,22,39261,,4.135930602733347,,1.9648328699999997,,2.3759872803333333,,1.0077963764981843,,2.7697728166730844,,59.680108292682924,,20.019999999999996,,114.48993708477465
5,29,39268,,4.135930602733347,,1.9648328699999997,,2.3759872803333333,,1.0077963764981843,,2.7697728166730844,,59.680108292682924,,20.019999999999996,,114.48993708477465
6,36,39275,,12.407678270716534,,5.8945216943096845,,7.127837535502903,,3.023357005985052,,8.30923016351072,,84.54738975609757,,20.019999999999996,,240.38270198768686
7,43,39282,,12.407678270716534,,5.8945216943096845,,7.127837535502903,,3.023357005985052,,8.30923016351072,,84.54738975609757,,20.019999999999996,,240.38270198768686
8,50,39289,,12.407678270716534,,5.8945216943096845,,7.127837535502903,,3.023357005985052,,8.30923016351072,,114.387443902439,,20.019999999999996,,241.32564769871124
9,57,39296,,12.407678270716534,,5.8945216943096845,,7.127837535502903,,3.023357005985052,,8.30923016351072,,114.387443902439,,20.019999999999996,,241.32564769871124
10,64,39303,,20.679463784527563,,7.89920282384947,,12.970562559171507,,5.038928343308419,,13.848716939184532,,144.2279863414634,,20.019999999999996,,349.3451118207139
11,71,39310,,20.679463784527563,,7.89920282384947,,12.970562559171507,,5.038928343308419,,13.848716939184532,,144.2279863414634,,20.019999999999996,,349.3451118207139
12,78,39317,,17.496862311720587,,7.89920282384947,,12.970562559171507,,5.038928343308419,,13.848716939184532,,144.2279863414634,,20.019999999999996,,339.16078710773155
13,85,39324,,13.61238469978029,,7.89920282384947,,12.970562559171507,,5.038928343308419,,13.848716939184532,,174.06804048780486,,20.019999999999996,,327.673404460547
14,92,39331,,10.295211138586257,,7.89920282384947,,12.970562559171507,,5.038928343308419,,13.848716939184532,,174.06804048780486,,20.019999999999996,,317.05844906472606
15,99,39338,,7.38206657589969,,7.89920282384947,,12.970562559171507,,5.038928343308419,,13.848716939184532,,174.06804048780486,,20.019999999999996,,307.73638646412905
16,106,39345,,7.38206657589969,,7.89920282384947,,12.970562559171507,,5.038928343308419,,13.848716939184532,,174.06804048780486,,20.019999999999996,,307.73638646412905
17,113,39352,,7.38206657589969,,7.89920282384947,,12.970562559171507,,5.038928343308419,,13.848716939184532,,174.06804048780486,,20.019999999999996,,307.73638646412905
18,120,39359,,7.38206657589969,,7.89920282384947,,12.970562559171507,,5.038928343308419,,13.848716939184532,,174.06804048780486,,20.019999999999996,,307.73638646412905
