Columna_0,N,Columna_2,P2O5,Columna_4,K2O,Columna_6,MgO,Columna_8,Ca,Columna_10,B,Columna_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,17.3149,84.46292682926831,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,17.3149,84.46292682926831,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,17.3149,84.46292682926831,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,17.3149,84.46292682926831,,,,,,,,,
7,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,17.3149,84.46292682926831,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,17.3149,84.46292682926831,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,17.3149,84.46292682926831,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,17.3149,84.46292682926831,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,17.3149,84.46292682926831,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,23.426,114.27317073170731,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,23.426,114.27317073170731,,,,,,,,,
8,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,23.426,114.27317073170731,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,23.426,114.27317073170731,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,23.426,114.27317073170731,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,23.426,114.27317073170731,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,23.426,114.27317073170731,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,23.426,114.27317073170731,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,23.426,114.27317073170731,,,,,,,,,
9,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,23.426,114.27317073170731,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,23.426,114.27317073170731,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,23.426,114.27317073170731,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,23.426,114.27317073170731,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,23.426,114.27317073170731,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,23.426,114.27317073170731,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,29.5372,144.0839024390244,,,,,,,,,
10,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,29.5372,144.0839024390244,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,29.5372,144.0839024390244,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,29.5372,144.0839024390244,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,29.5372,144.0839024390244,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,29.5372,144.0839024390244,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,29.5372,144.0839024390244,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,29.5372,144.0839024390244,,,,,,,,,
11,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,29.5372,144.0839024390244,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,29.5372,144.0839024390244,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,29.5372,144.0839024390244,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,29.5372,144.0839024390244,,,,,,,,,
