Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,MAP 12-61-0 (Lbs),Admin_MAP 12-61-0_Cambios,Sulfato de Potasio (Lbs),Admin_Sulfato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación,Columna_19
1,3,37791,,3.631362023336425,,4.005414850129197,,9.394518466666662,,6.532013551377119,,10.771338731506434,,87.03377609756097,,20.019999999999996,,205.93400794817197,
2,10,37798,,5.187660033337749,,5.722021214470284,,13.420740666666662,,9.331447930538742,,15.38762675929491,,126.82084048780486,,20.019999999999996,,281.829025164399,
3,17,37805,,7.91118155084007,,8.726082352067182,,20.46662951666666,,14.230458094071583,,23.466130807924742,,186.50070463414636,,20.019999999999996,,414.33096433904024,
4,24,37812,,9.078405058341056,,10.013537125322994,,23.48629616666666,,16.3300338784428,,26.9283468287661,,208.88037902439024,,20.019999999999996,,471.0164715358934,
5,31,37819,,11.412852073343048,,12.588446671834623,,29.525629466666654,,20.52918544718523,,33.8527788704488,,246.18130121951214,,20.019999999999996,,584.1517996495022,
6,38,37826,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,295.91586414634145,,20.019999999999996,,734.9989038009805,
7,45,37833,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,325.7559182926829,,20.019999999999996,,735.9418495120049,
8,52,37840,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,400.3560536585365,,20.019999999999996,,738.2992137895659,
9,59,37847,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,415.2763248780487,,20.019999999999996,,738.7706943601024,
10,66,37854,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,504.7979521951218,,20.019999999999996,,741.5995777833219,
11,73,37861,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,504.7979521951218,,20.019999999999996,,741.5995777833219,
12,80,37868,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,564.4780604878049,,20.019999999999996,,743.4854692053708,
13,87,37875,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,609.2381417073171,,20.019999999999996,,744.8998877719074,
14,94,37882,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,609.2381417073171,,20.019999999999996,,744.8998877719074,
15,101,37889,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,609.2381417073171,,20.019999999999996,,744.8998877719074,
16,108,37896,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,609.2381417073171,,20.019999999999996,,744.8998877719074,
17,115,37903,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,609.2381417073171,,20.019999999999996,,744.8998877719074,
18,122,37910,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,609.2381417073171,,20.019999999999996,,744.8998877719074,
19,129,37917,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,609.2381417073171,,20.019999999999996,,744.8998877719074,
20,136,37924,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,609.2381417073171,,20.019999999999996,,744.8998877719074,
21,143,37931,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,609.2381417073171,,20.019999999999996,,744.8998877719074,
22,150,37938,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,609.2381417073171,,20.019999999999996,,744.8998877719074,
23,157,37945,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,609.2381417073171,,20.019999999999996,,744.8998877719074,
24,164,37952,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,609.2381417073171,,20.019999999999996,,744.8998877719074,
25,171,37959,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,609.2381417073171,,20.019999999999996,,744.8998877719074,
26,178,37966,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,609.2381417073171,,20.019999999999996,,744.8998877719074,
27,185,37973,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,609.2381417073171,,20.019999999999996,,744.8998877719074,
28,192,37980,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,609.2381417073171,,20.019999999999996,,744.8998877719074,
29,199,37987,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,609.2381417073171,,20.019999999999996,,744.8998877719074,
30,206,37994,,14.5254480933457,,16.02165940051679,,37.57807386666665,,26.128054205508477,,43.08535492602574,,609.2381417073171,,20.019999999999996,,744.8998877719074,OJO
31,213,38001,,0.0,,10.681106267011195,,58.45478157037034,,34.91862543391542,,59.99702484217548,,609.2381417073171,,20.019999999999996,,830.9975964987369,
32,220,38008,,0.0,,10.681106267011195,,58.45478157037034,,36.38372063864991,,59.99702484217548,,609.2381417073171,,20.019999999999996,,836.4184487562544,
33,227,38015,,0.0,,10.681106267011195,,58.45478157037034,,36.38372063864991,,59.99702484217548,,609.2381417073171,,20.019999999999996,,836.4184487562544,
34,234,38022,,0.0,,10.681106267011195,,58.45478157037034,,36.38372063864991,,59.99702484217548,,609.2381417073171,,20.019999999999996,,836.4184487562544,
35,241,38029,,0.0,,10.681106267011195,,58.45478157037034,,36.38372063864991,,59.99702484217548,,609.2381417073171,,20.019999999999996,,836.4184487562544,
