Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.3),Relación Ca:Mg (1:0.5) CaO/(Mg/1.14175),Relación K:Ca (1:1) CaO/(K2O/2.29)
1.0,1.0,1,2.1976979715354332,1.46580966155,2.819269115,0.4547,0.70481727875,5.0926,2.5490551181102368,0.25966552682218846,0.25
,2.0,1,2.1976979715354332,1.46580966155,2.819269115,0.4547,0.70481727875,5.0926,2.5490551181102368,0.25966552682218846,0.25
,3.0,1,2.1976979715354332,1.46580966155,2.819269115,0.4547,0.70481727875,5.0926,2.5490551181102368,0.25966552682218846,0.25
,4.0,1,2.1976979715354332,1.46580966155,2.819269115,0.4547,0.70481727875,5.0926,2.5490551181102368,0.25966552682218846,0.25
,5.0,1,2.1976979715354332,1.46580966155,2.819269115,0.4547,0.70481727875,5.0926,2.5490551181102368,0.25966552682218846,0.25
,6.0,1,2.1976979715354332,1.46580966155,2.819269115,0.4547,0.70481727875,5.0926,2.5490551181102368,0.25966552682218846,0.25
,7.0,1,2.1976979715354332,1.46580966155,2.819269115,0.4547,0.70481727875,5.0926,2.5490551181102368,0.25966552682218846,0.25
,8.0,2,2.1976979715354332,1.46580966155,2.819269115,0.4547,0.70481727875,5.0926,2.5490551181102368,0.25966552682218846,0.25
,9.0,2,2.1976979715354332,1.46580966155,2.819269115,0.4547,0.70481727875,5.0926,2.5490551181102368,0.25966552682218846,0.25
,10.0,2,2.1976979715354332,1.46580966155,2.819269115,0.4547,0.70481727875,5.0926,2.5490551181102368,0.25966552682218846,0.25
,11.0,2,2.1976979715354332,1.46580966155,2.819269115,0.4547,0.70481727875,9.1667,2.5490551181102368,0.25966552682218846,0.25
,12.0,2,2.1976979715354332,1.46580966155,2.819269115,0.4547,0.70481727875,9.1667,2.5490551181102368,0.25966552682218846,0.25
,13.0,2,2.1976979715354332,1.46580966155,2.819269115,0.4547,0.70481727875,9.1667,2.5490551181102368,0.25966552682218846,0.25
,14.0,2,2.1976979715354332,1.46580966155,2.819269115,0.4547,0.70481727875,9.1667,2.5490551181102368,0.25966552682218846,0.25
1.0,15.0,3,4.3953959430708665,4.0461479929,5.63853823,0.9094,1.4096345575,9.1667,2.5490551181102368,0.25966552682218846,0.25
