Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulpomag (K Mag) (Lbs),Admin_Sulpomag (K Mag)_Cambios,Sin Calcio,Admin_Sulpomag (K Mag)_Cambios_1,Sin Boro,Admin_Sulpomag (K Mag)_Cambios_2,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
2,1,39449,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.08768039279999999,,20.019999999999996,,387.67160358420796
4,15,39463,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.16210624429999998,,20.019999999999996,,387.67160358420796
6,29,39477,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.22225983779999992,,20.019999999999996,,387.67160358420796
8,43,39491,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.2977059085,,20.019999999999996,,387.67160358420796
10,57,39505,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.37723045359999985,,20.019999999999996,,387.67160358420796
12,71,39519,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.43840316519999994,,20.019999999999996,,387.67160358420796
14,85,39533,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
16,99,39547,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
18,113,39561,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
20,127,39575,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
22,141,39589,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
24,155,39603,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
26,169,39617,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
28,183,39631,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
30,197,39645,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
32,211,39659,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
34,225,39673,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
36,239,39687,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
38,253,39701,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
40,267,39715,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
42,281,39729,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
44,295,39743,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
46,309,39757,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
48,223,39671,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
50,337,39785,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
52,351,39799,,27.47646970855288,,19.39415739130435,,11.596991934772033,,16.461008577894447,,0.0006298331678334695,,0.4995752762000001,,20.019999999999996,,387.67160358420796
