Para Apio de cosecha de hoja semanal,Para Apio de cosecha de hoja semanal_1,Para Apio de cosecha de hoja semanal_2,Para Apio de cosecha de hoja semanal_3,Para Apio de cosecha de hoja semanal_4,Para Apio de cosecha de hoja semanal_5,Para Apio de cosecha de hoja semanal_6,Para Apio de cosecha de hoja semanal_7,Para Apio de cosecha de hoja semanal_8,Para Apio de cosecha de hoja semanal_9,Para Apio de cosecha de hoja semanal_10,Para Apio de cosecha de hoja semanal_11,Para Apio de cosecha de hoja semanal_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18
1,7,39126,,4.248086067821688,,8.454314814814815,,16.312833428113155,,11.255072897072296,,18.559698578182562,,174.06755219512195,,20.019999999999996,,276.0664066291244
2,14,39133,,5.70457271964627,,11.352937037037035,,21.90580488918052,,15.113955033211367,,24.92302380498801,,253.64168097560975,,20.019999999999996,,354.18639092021937
3,21,39140,,8.253424360339285,,16.425525925925925,,31.69350494604841,,21.86699877145474,,36.05884295189755,,373.00140926829266,,20.019999999999996,,490.26768152212327
4,28,39147,,9.345789349207719,,18.599492592592593,,35.88823354184894,,24.761160373559044,,40.831336872001636,,417.7607580487805,,20.019999999999996,,548.3861583098103
5,35,39154,,6.6093344138002,,22.947425925925923,,44.27769073344998,,30.54948357776766,,50.376324712209815,,492.36260243902444,,20.019999999999996,,648.4039476029272
6,42,39161,,6.421287087248779,,28.744670370370365,,55.46363365558471,,38.2672478500458,,63.10297516582072,,591.831728292683,,20.019999999999996,,792.834789606524
7,49,39168,,7.068811835542776,,31.643292592592584,,61.05660511665209,,42.12612998618488,,69.46630039262617,,651.5118365853659,,20.019999999999996,,867.7374447589065
8,56,39175,,8.687623706277769,,38.88984814814815,,75.03903376932051,,51.77333532653256,,85.3746134596398,,800.7121073170731,,20.019999999999996,,1054.9940826398627
9,63,39182,,9.011386080424767,,40.339159259259254,,77.83551949985419,,53.70277639460209,,88.55627607304251,,830.5526497560975,,20.019999999999996,,1092.4454256461024
10,70,39189,,10.95396032530676,,49.035025925925915,,94.61443388305625,,65.2794228030193,,107.64625175345884,,1009.595904390244,,20.019999999999996,,1317.153483683542
