Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Nitrato de Potasio (Lbs),Admin_Nitrato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,3,40114,,1.1429349672957245,,1.99184872173913,,7.420329651833425,,3.286114839047928,,6.020919679090482,,53.55924682926828,,14.0,,124.33743294902958
2,10,40121,,1.1429349672957245,,1.99184872173913,,7.420329651833425,,3.286114839047928,,6.020919679090482,,78.04359414634148,,14.0,,125.11113832424908
3,17,40128,,1.1429349672957245,,1.99184872173913,,7.420329651833425,,3.286114839047928,,6.020919679090482,,114.7696643902439,,14.0,,126.2716821439564
4,24,40135,,1.1429349672957245,,1.99184872173913,,7.420329651833425,,3.286114839047928,,6.020919679090482,,128.54177170731708,,14.0,,126.70688073517591
5,31,40142,,1.6228109982049004,,2.8281521739130437,,10.535851044782609,,4.665832663068317,,8.548880692358981,,151.49618536585368,,14.0,,164.23111074361324
6,38,40149,,1.6228109982049004,,2.8281521739130437,,10.535851044782609,,4.665832663068317,,8.548880692358981,,182.10207024390246,,14.0,,165.19825670575958
7,45,40156,,1.6228109982049004,,2.8281521739130437,,10.535851044782609,,4.665832663068317,,8.548880692358981,,200.4651804878049,,14.0,,165.7785309894669
8,52,40163,,1.2884980845124927,,3.450345652173913,,10.535851044782609,,4.665832663068317,,8.548880692358981,,246.372956097561,,14.0,,168.21265385318037
9,59,40170,,1.1902211300338192,,3.450345652173913,,11.825439212663996,,5.2369305810278775,,9.595263689103717,,255.55466146341467,,14.0,,181.64226459995845
10,66,40177,,1.1902211300338192,,3.450345652173913,,11.825439212663996,,5.2369305810278775,,9.595263689103717,,310.6448936585365,,14.0,,183.3831159373243
