Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 12-53-0 Soluble (Lbs),Admin_DAP 12-53-0 Soluble_Cambios,Sulfato de Potasio (Lbs),Admin_Sulfato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Usando O Calcio (Lbs),Admin_Usando O Calcio_Cambios,Ácido Bórico (Gramos),Admin_Ácido Bórico_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
2,14,38533,,9.961508833684299,,5.530953107906582,,18.326225309296863,,10.472255165692008,,0.00033660820175438605,,197.01484480431847,,8.097165991902834,,671.4390398439803
4,28,38547,,17.61486318151492,,9.780343910322614,,32.54504188423815,,18.518012183235868,,0.0005952218201754387,,364.24718848403063,,8.097165991902834,,1181.3004999424859
6,42,38561,,25.997108419615113,,14.434438598683034,,48.03199284984114,,27.330031773879146,,0.000878465307017544,,499.4102564102563,,8.097165991902834,,1734.490740334246
8,56,38575,,35.4726899931197,,19.695589115960026,,65.53898089791407,,37.29144522417154,,0.0011986535964912282,,668.9349977507871,,8.097165991902834,,2361.3086197796288
10,70,38589,,44.94827156662427,,24.956739633237017,,83.04596894598701,,47.25285867446394,,0.0015188418859649125,,847.6239316239315,,8.097165991902834,,2988.9329481678815
12,84,38603,,52.2371804693201,,29.003778492680855,,96.51288282912006,,54.91548440545808,,0.0017651405701754387,,985.076923076923,,8.097165991902834,,3471.7208900368337
14,98,38617,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
16,112,38631,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
18,126,38645,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
20,140,38659,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
22,154,38673,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
24,168,38687,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
26,182,38701,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
28,196,38715,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
30,210,38729,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
32,224,38743,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
34,238,38757,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
36,252,38771,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
38,266,38785,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
40,280,38799,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
42,294,38813,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
44,308,38827,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
46,322,38841,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
48,336,38855,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
50,350,38869,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
52,364,38883,,59.52608937201593,,33.050817352124696,,109.97979671225305,,62.578110136452246,,0.002011439254385965,,1122.5285650022493,,8.097165991902834,,3954.5087131473515
