Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulpomag (K Mag) (Lbs),Sulpomag (K Mag) (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39449,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.010195385199999999,,20.019999999999996,,103.42965765488684
2,8,39456,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.010195385199999999,,20.019999999999996,,103.42965765488684
3,15,39463,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.018351733399999997,,20.019999999999996,,103.42965765488684
4,22,39470,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.0244688444,,20.019999999999996,,103.42965765488684
5,29,39477,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.0244688444,,20.019999999999996,,103.42965765488684
6,36,39484,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.0346644298,,20.019999999999996,,103.42965765488684
7,43,39491,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.0346644298,,20.019999999999996,,103.42965765488684
8,50,39498,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.04689885199999999,,20.019999999999996,,103.42965765488684
9,57,39505,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.04689885199999999,,20.019999999999996,,103.42965765488684
10,64,39512,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.05913347439999999,,20.019999999999996,,103.42965765488684
11,71,39519,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.05913347439999999,,20.019999999999996,,103.42965765488684
12,78,39526,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.05913347439999999,,20.019999999999996,,103.42965765488684
13,85,39533,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.0713678966,,20.019999999999996,,103.42965765488684
14,92,39540,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.0713678966,,20.019999999999996,,103.42965765488684
15,99,39547,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.0713678966,,20.019999999999996,,103.42965765488684
16,106,39554,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.0713678966,,20.019999999999996,,103.42965765488684
17,113,39561,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.0713678966,,20.019999999999996,,103.42965765488684
18,120,39568,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.0713678966,,20.019999999999996,,103.42965765488684
19,127,39575,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.0713678966,,20.019999999999996,,103.42965765488684
20,134,39582,,3.9252099583646975,,2.770593913043478,,1.656713133538862,,2.351572653984921,,8.997616683335279e-05,,0.0713678966,,20.019999999999996,,103.42965765488684
