Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación),Columna_19
1,3,43834,,53.25112995694137,,24.801229508196723,,36.349741802958135,,23.32984087935781,,48.08885052962146,,608.6278048780488,,140.0,,1671.0133130422194,
2,10,43841,,53.25112995694137,,24.801229508196723,,36.349741802958135,,23.32984087935781,,48.08885052962146,,886.8590243902439,,140.0,,1682.142561822707,
3,17,43848,,53.25112995694137,,24.801229508196723,,36.349741802958135,,23.32984087935781,,48.08885052962146,,1304.2007317073171,,140.0,,1698.83623011539,
4,24,43855,,53.25112995694137,,24.801229508196723,,36.349741802958135,,23.32984087935781,,48.08885052962146,,1460.7019512195122,,140.0,,1705.0962788958777,
5,31,43862,,53.25112995694137,,24.801229508196723,,36.349741802958135,,23.32984087935781,,48.08885052962146,,1721.5475609756102,,140.0,,1715.5301032861216,
6,38,43869,,53.25112995694137,,24.801229508196723,,36.349741802958135,,23.32984087935781,,48.08885052962146,,2069.3417073170735,,140.0,,1729.4418691397802,
7,45,43876,,53.25112995694137,,24.801229508196723,,36.349741802958135,,23.32984087935781,,48.08885052962146,,2278.013414634147,,140.0,,1737.7887374324632,
8,52,43883,,53.25112995694137,,24.801229508196723,,36.349741802958135,,23.32984087935781,,48.08885052962146,,2799.692682926829,,140.0,,1758.6559081641703,
9,59,43890,,53.25112995694137,,24.801229508196723,,36.349741802958135,,23.32984087935781,,48.08885052962146,,2904.030243902439,,140.0,,1762.829410603195,
10,66,43897,,53.25112995694137,,24.801229508196723,,36.349741802958135,,23.32984087935781,,48.08885052962146,,3530.055609756098,,140.0,,1787.8704252373411,
11,73,43904,,53.25112995694137,,24.801229508196723,,36.349741802958135,,23.32984087935781,,48.08885052962146,,3530.055609756098,,140.0,,1787.8704252373411,
12,80,43911,,53.25112995694137,,24.801229508196723,,36.349741802958135,,23.32984087935781,,48.08885052962146,,3947.3990243902435,,140.0,,1804.564161822707,
13,87,43918,,53.25112995694137,,24.801229508196723,,36.349741802958135,,23.32984087935781,,48.08885052962146,,4260.406585365854,,140.0,,1817.0844642617315,
14,94,43925,,53.25112995694137,,24.801229508196723,,36.349741802958135,,23.32984087935781,,48.08885052962146,,4260.406585365854,,140.0,,1817.0844642617315,
15,101,43932,,53.25112995694137,,24.801229508196723,,36.349741802958135,,23.32984087935781,,48.08885052962146,,4260.406585365854,,140.0,,1817.0844642617315,
16,108,43939,,53.25112995694137,,24.801229508196723,,36.349741802958135,,23.32984087935781,,48.08885052962146,,4260.406585365854,,140.0,,1817.0844642617315,
17,115,43946,,53.25112995694137,,24.801229508196723,,36.349741802958135,,23.32984087935781,,48.08885052962146,,4260.406585365854,,140.0,,1817.0844642617315,
18,122,43953,,48.420167926960495,,24.801229508196723,,47.18693190570342,,30.285321389973802,,62.425899134725995,,4260.406585365854,,140.0,,2017.51816011529,OJO Inicia la Floracion
19,129,43960,,44.79694640447484,,24.801229508196723,,55.314824482762376,,35.501931772935805,,73.1786855885544,,4260.406585365854,,140.0,,2167.843432005459,
