Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39584,,5.9761194029850735,,0.86625,,2.0023742770370365,,1.6002069346504775,,8.905791674103768e-05,,24.866793170731707,,20.019999999999996,,123.34301949803744
2,8,39591,,5.9761194029850735,,0.86625,,2.0023742770370365,,1.6002069346504775,,8.905791674103768e-05,,24.866793170731707,,20.019999999999996,,123.34301949803744
3,15,39598,,5.9761194029850735,,0.86625,,2.0023742770370365,,1.6002069346504775,,8.905791674103768e-05,,44.76032536585365,,20.019999999999996,,124.13876078584231
4,22,39605,,5.9761194029850735,,0.86625,,2.0023742770370365,,1.6002069346504775,,8.905791674103768e-05,,59.680108292682924,,20.019999999999996,,124.73555210291549
5,29,39612,BaZam,5.9761194029850735,,0.86625,,2.0023742770370365,,1.6002069346504775,,8.905791674103768e-05,,59.680108292682924,,20.019999999999996,1.001,505.11555210291544
6,36,39619,,5.9761194029850735,,0.86625,,2.0023742770370365,,1.6002069346504775,,8.905791674103768e-05,,84.54738975609757,,20.019999999999996,,125.73024336145207
7,43,39626,,5.9761194029850735,,0.86625,,2.0023742770370365,,1.6002069346504775,,8.905791674103768e-05,,84.54738975609757,,20.019999999999996,,125.73024336145207
8,50,39633,,5.9761194029850735,,0.86625,,2.0023742770370365,,1.6002069346504775,,8.905791674103768e-05,,114.387443902439,,20.019999999999996,,126.92384552730573
9,57,39640,TricoZam,5.9761194029850735,,0.86625,,2.3140304366666666,,1.8002328014817872,,0.0001001901563336674,,114.387443902439,,20.019999999999996,1.001,510.82670355094547
10,64,39647,,5.9761194029850735,,0.86625,,2.3140304366666666,,1.8002328014817872,,0.0001001901563336674,,144.2279863414634,,20.019999999999996,,131.64032524850654
11,71,39654,,5.9761194029850735,,0.86625,,2.3140304366666666,,1.8002328014817872,,0.0001001901563336674,,144.2279863414634,,20.019999999999996,,131.64032524850654
12,78,39661,,5.9761194029850735,,0.6737499999999998,,2.4231137699999996,,1.8002328014817872,,0.0001001901563336674,,144.2279863414634,,20.019999999999996,,128.55005858183983
13,85,39668,BaZam,5.9761194029850735,,0.6737499999999998,,2.4231137699999996,,1.8002328014817872,,0.0001001901563336674,,174.06804048780486,,20.019999999999996,1.001,510.12366074769346
14,92,39675,,5.9761194029850735,,0.6737499999999998,,2.4231137699999996,,1.8002328014817872,,0.0001001901563336674,,174.06804048780486,,20.019999999999996,,129.74366074769353
15,99,39682,,5.9761194029850735,,0.6737499999999998,,2.4231137699999996,,1.8002328014817872,,0.0001001901563336674,,174.06804048780486,,20.019999999999996,,129.74366074769353
16,106,39689,,5.9761194029850735,,0.6737499999999998,,3.237441154838709,,2.3228810341700483,,0.00012927762107569986,,174.06804048780486,,20.019999999999996,,138.94854784172017
17,113,39696,TricoZam,5.9761194029850735,,0.6737499999999998,,3.237441154838709,,2.3228810341700483,,0.00012927762107569986,,174.06804048780486,,20.019999999999996,1.001,519.3285478417201
18,120,39703,,5.9761194029850735,,0.6737499999999998,,3.237441154838709,,2.3228810341700483,,0.00012927762107569986,,174.06804048780486,,20.019999999999996,,138.94854784172017
