Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,MAP 12-61-0 (Lbs),Admin_MAP 12-61-0_Cambios,Sulfato de Potasio (Lbs),Admin_Sulfato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39942,,1.442389803312915,,1.8602263548721307,,5.447583874015748,,3.0301663093082443,,6.245958362157075,,33.38758243902439,,26.879999999999995,,264.52160651842155
2,8,39949,,1.442389803312915,,1.8602263548721307,,5.447583874015748,,3.0301663093082443,,6.245958362157075,,33.38758243902439,,26.879999999999995,,264.52160651842155
3,15,39956,,2.5241821557976,,3.255396121026229,,9.533271779527558,,5.302791041289427,,10.930427133774879,,60.09777951219512,,26.879999999999995,,406.5315918169938
4,22,39963,,3.605974508282286,,4.650565887180328,,13.618959685039371,,7.575415773270611,,15.614895905392688,,80.12993560975609,,26.879999999999995,,548.2744554765418
5,29,39970,,3.605974508282286,,4.650565887180328,,13.618959685039371,,7.575415773270611,,15.614895905392688,,80.12993560975609,,26.879999999999995,,548.2744554765418
6,36,39977,,5.76955921325166,,7.440905419488523,,21.79033549606299,,12.120665237232977,,24.9838334486283,,113.5181736585366,,26.879999999999995,,831.4931398297839
7,43,39984,,5.76955921325166,,7.440905419488523,,21.79033549606299,,12.120665237232977,,24.9838334486283,,113.5181736585366,,26.879999999999995,,831.4931398297839
8,50,39991,,7.455755229358918,,10.231244951796718,,36.61986937532808,,20.369451301460973,,41.986720101166995,,153.58314146341462,,26.879999999999995,,1264.8368550178043
9,57,39998,,7.455755229358918,,10.231244951796718,,36.61986937532808,,20.369451301460973,,41.986720101166995,,153.58314146341462,,26.879999999999995,,1264.8368550178043
10,64,40005,,4.762645133607624,,8.681056322736612,,47.4545084136483,,26.396115405529592,,54.409237288123855,,193.64876487804878,,26.879999999999995,,1453.4629189477234
11,71,40012,,4.762645133607624,,8.681056322736612,,47.4545084136483,,26.396115405529592,,54.409237288123855,,193.64876487804878,,26.879999999999995,,1453.4629189477234
12,78,40019,,4.762645133607624,,8.681056322736612,,47.4545084136483,,26.396115405529592,,54.409237288123855,,193.64876487804878,,26.879999999999995,,1453.4629189477234
13,85,40026,,1.977019970175256,,10.541282677608741,,51.44940325459318,,28.618237365688973,,58.9896067537057,,233.71373268292683,,26.879999999999995,,1583.4318688472174
14,92,40033,,1.977019970175256,,10.541282677608741,,51.44940325459318,,28.618237365688973,,58.9896067537057,,233.71373268292683,,26.879999999999995,,1583.4318688472174
15,99,40040,,1.977019970175256,,10.541282677608741,,51.44940325459318,,28.618237365688973,,58.9896067537057,,233.71373268292683,,26.879999999999995,,1583.4318688472174
16,106,40047,,1.977019970175256,,10.541282677608741,,51.44940325459318,,28.618237365688973,,58.9896067537057,,233.71373268292683,,26.879999999999995,,1583.4318688472174
17,113,40054,,1.977019970175256,,10.541282677608741,,51.44940325459318,,28.618237365688973,,58.9896067537057,,233.71373268292683,,26.879999999999995,,1583.4318688472174
18,120,40061,,1.977019970175256,,10.541282677608741,,51.44940325459318,,28.618237365688973,,58.9896067537057,,233.71373268292683,,26.879999999999995,,1583.4318688472174
19,127,40068,,1.977019970175256,,10.541282677608741,,51.44940325459318,,28.618237365688973,,58.9896067537057,,233.71373268292683,,26.879999999999995,,1583.4318688472174
20,134,40075,,1.977019970175256,,10.541282677608741,,51.44940325459318,,28.618237365688973,,58.9896067537057,,233.71373268292683,,26.879999999999995,,1583.4318688472174
21,141,40082,,1.977019970175256,,10.541282677608741,,51.44940325459318,,28.618237365688973,,58.9896067537057,,233.71373268292683,,26.879999999999995,,1583.4318688472174
22,148,40089,,1.977019970175256,,10.541282677608741,,51.44940325459318,,28.618237365688973,,58.9896067537057,,233.71373268292683,,26.879999999999995,,1583.4318688472174
