Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39606,,8.97227796763705,,4.320289638260869,,8.723563486733333,,5.598921421496923,,0.00031160237279198973,,49.733586341463415,,20.019999999999996,,272.05103684391884
2,8,39613,,14.212295358941397,,4.320289638260869,,13.110557841333334,,8.414563986064739,,0.00046830414408044696,,49.733586341463415,,20.019999999999996,,358.332477933117
3,15,39620,,14.212295358941397,,4.320289638260869,,13.110557841333334,,8.414563986064739,,0.00046830414408044696,,89.5206507317073,,20.019999999999996,,359.92396050872674
4,22,39627,,19.19988666328922,,4.320289638260869,,17.396701751000002,,11.165479135355135,,0.0006214035757990547,,119.36021658536585,,20.019999999999996,,444.5577243669523
5,29,39634,,19.19988666328922,,4.320289638260869,,17.396701751000002,,11.165479135355135,,0.0006214035757990547,,119.36021658536585,,20.019999999999996,,444.5577243669523
6,36,39641,,19.19988666328922,,4.320289638260869,,17.396701751000002,,11.165479135355135,,0.0006214035757990547,,169.09477951219515,,20.019999999999996,,446.5471068840255
7,43,39648,,18.24850144589792,,4.320289638260869,,17.396701751000002,,11.165479135355135,,0.0006214035757990547,,169.09477951219515,,20.019999999999996,,440.363102970982
8,50,39655,,17.297116228506614,,4.320289638260869,,17.396701751000002,,11.165479135355135,,0.0006214035757990547,,228.774887804878,,20.019999999999996,,436.56630338964584
9,57,39662,,15.71814753285444,,4.320289638260869,,17.396701751000002,,11.165479135355135,,0.0006214035757990547,,228.774887804878,,20.019999999999996,,426.3030068679067
10,64,39669,,14.65882840241966,,4.320289638260869,,17.396701751000002,,11.165479135355135,,0.0006214035757990547,,288.4559726829268,,20.019999999999996,,421.8046759152026
11,71,39676,,13.813554342759923,,6.480434457391302,,17.396701751000002,,11.165479135355135,,0.0006214035757990547,,288.4559726829268,,20.019999999999996,,442.23213235697955
12,78,39683,,13.813554342759923,,6.480434457391302,,17.396701751000002,,11.165479135355135,,0.0006214035757990547,,288.4559726829268,,20.019999999999996,,442.23213235697955
13,85,39690,,13.813554342759923,,6.480434457391302,,17.396701751000002,,11.165479135355135,,0.0006214035757990547,,348.13608097560973,,20.019999999999996,,444.6193366886869
14,92,39697,,13.813554342759923,,6.480434457391302,,17.396701751000002,,11.165479135355135,,0.0006214035757990547,,348.13608097560973,,20.019999999999996,,444.6193366886869
15,99,39704,,13.170995904499055,,6.480434457391302,,16.460777666666665,,10.564788212128867,,0.0005879727231578201,,348.13608097560973,,20.019999999999996,,429.3017764709761
