Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Sin Boro,Admin_Sulfato de Magnesio_Cambios_2,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39927,,232.64132860791977,,56.148801739130434,,218.7915823333333,,140.4239080775035,,0.00781515218014538,,0.53650541,,301.0,,4729.569956791861
2,8,39934,,232.64132860791977,,56.148801739130434,,218.7915823333333,,140.4239080775035,,0.00781515218014538,,0.78176623,,301.0,,4729.569956791861
3,15,39941,,232.64132860791977,,56.148801739130434,,218.7915823333333,,140.4239080775035,,0.00781515218014538,,1.1496529450000001,,301.0,,4729.569956791861
4,22,39948,,220.93051108429023,,86.07644652173913,,218.7915823333333,,140.4239080775035,,0.00781515218014538,,1.28760877,,301.0,,4912.24569814101
5,29,39955,,315.61501583470044,,122.96635217391305,,312.5594033333334,,200.60558296786215,,0.011164503114493402,,1.5175441749999998,,301.0,,6656.293854487159
6,36,39962,,315.61501583470044,,122.96635217391305,,312.5594033333334,,200.60558296786215,,0.011164503114493402,,1.8241247149999997,,301.0,,6656.293854487159
7,43,39969,,315.61501583470044,,122.96635217391305,,312.5594033333334,,200.60558296786215,,0.011164503114493402,,2.008068825,,301.0,,6656.293854487159
8,50,39976,,300.014453263812,,162.8344565217391,,312.5594033333334,,200.60558296786215,,0.011164503114493402,,2.4679290999999997,,301.0,,6899.645296634606
9,57,39983,,450.021679895718,,244.2516847826087,,468.8391049999999,,300.9083744517932,,0.0167467546717401,,2.5599026599999997,,301.0,,9928.067944951907
10,64,39990,,450.021679895718,,244.2516847826087,,468.8391049999999,,300.9083744517932,,0.0167467546717401,,3.1117440199999993,,301.0,,9928.067944951907
11,71,39997,,460.81876042501847,,216.6591456521739,,468.8391049999999,,300.9083744517932,,0.0167467546717401,,3.1117440199999993,,301.0,,9759.645485450961
12,78,40004,,460.81876042501847,,216.6591456521739,,468.8391049999999,,300.9083744517932,,0.0167467546717401,,3.4796322399999995,,301.0,,9759.645485450961
13,85,40011,,552.9825125100222,,259.9909747826087,,562.6069259999999,,361.0900493421519,,0.02009610560608812,,3.7555484049999994,,301.0,,11543.014582541155
14,92,40018,,642.3124087427333,,259.9909747826087,,639.3691500000001,,410.35726233016493,,0.022838023077723,,3.7555484049999994,,301.0,,12786.428910709166
15,99,40025,,642.3124087427333,,259.9909747826087,,639.3691500000001,,410.35726233016493,,0.022838023077723,,3.7555484049999994,,301.0,,12786.428910709166
16,106,40032,,642.3124087427333,,259.9909747826087,,639.3691500000001,,410.35726233016493,,0.022838023077723,,3.7555484049999994,,301.0,,12786.428910709166
17,113,40039,,713.6804541585924,,288.8788608695652,,710.4101666666667,,455.9525137001834,,0.025375581197470007,,3.7555484049999994,,301.0,,14113.49878967685
18,120,40046,,713.6804541585924,,288.8788608695652,,710.4101666666667,,455.9525137001834,,0.025375581197470007,,3.7555484049999994,,301.0,,14113.49878967685
19,127,40053,,713.6804541585924,,288.8788608695652,,710.4101666666667,,455.9525137001834,,0.025375581197470007,,3.7555484049999994,,301.0,,14113.49878967685
