Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Sin Boro,Admin_Nitrato de Calcio_Cambios_1,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39852,,18.836573068909225,,67.33726999999999,,36.23202916666666,,23.25429104219373,,47.933122728231474,,0.07136769639999999,,40.03999999999999,,1995.5044200157122
2,8,39859,,18.836573068909225,,67.33726999999999,,36.23202916666666,,23.25429104219373,,47.933122728231474,,0.10399308919999999,,40.03999999999999,,1995.5044200157122
3,15,39866,,90.43507050984299,,67.33726999999999,,83.3833,,53.516724590254064,,110.31184408688888,,0.1529305778,,40.03999999999999,,3686.85415297012
4,22,39873,,90.43507050984299,,67.33726999999999,,83.3833,,53.516724590254064,,110.31184408688888,,0.1712819108,,40.03999999999999,,3686.85415297012
5,29,39880,,94.44158280970652,,46.31017695652173,,89.8357776983333,,57.65802712812985,,118.84814228847928,,0.20186866699999997,,40.03999999999999,,3630.0768507105613
6,36,39887,,104.91157348323185,,46.31017695652173,,103.6565596733333,,66.52842422896451,,137.1323304458811,,0.24265100859999994,,40.03999999999999,,4060.6348745017767
7,43,39894,,82.00900323189018,,46.31017695652173,,110.76399333999998,,71.09008789641948,,146.53510191804924,,0.26711985299999996,,40.03999999999999,,4106.673961881471
8,50,39901,,64.83207554338394,,46.31017695652173,,116.09456858999998,,74.51133564701071,,153.58718052217537,,0.32829196399999994,,40.03999999999999,,4141.203277416242
9,57,39908,,64.83207554338394,,46.31017695652173,,116.09456858999998,,74.51133564701071,,153.58718052217537,,0.34052658639999994,,40.03999999999999,,4141.203277416242
10,64,39915,,64.83207554338394,,46.31017695652173,,116.09456858999998,,74.51133564701071,,153.58718052217537,,0.41393432079999987,,40.03999999999999,,4141.203277416242
11,71,39922,,64.83207554338394,,46.31017695652173,,116.09456858999998,,74.51133564701071,,153.58718052217537,,0.41393432079999987,,40.03999999999999,,4141.203277416242
12,78,39929,,64.83207554338394,,46.31017695652173,,116.09456858999998,,74.51133564701071,,153.58718052217537,,0.4628720095999999,,40.03999999999999,,4141.203277416242
13,85,39936,,64.83207554338394,,46.31017695652173,,116.09456858999998,,74.51133564701071,,153.58718052217537,,0.4995752761999999,,40.03999999999999,,4141.203277416242
