Semana,N,Nitrato de Amonio,P2O5,MAP 12-61-0,K2O,Nitrato de Potasio,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
1,1.449758220863807,1.9350630485855054,0.8722098802083332,1.429852262636612,1.5725312296296294,1.538345768115942,0.2153121039201854,1.3457006495011588,0.7489362394733748,2.7738379239754622,5.0926,24.841951219512197
2,1.449758220863807,1.9350630485855054,0.8722098802083332,1.429852262636612,1.5725312296296294,1.538345768115942,0.2153121039201854,1.3457006495011588,0.7489362394733748,2.7738379239754622,5.0926,24.841951219512197
3,2.537076886511662,3.3863603350246354,1.5263672903645833,2.502241459614071,2.7519296518518517,2.6921050942028986,0.37679618186032443,2.3549761366270276,1.310638419078406,4.854216366957059,9.1667,44.715609756097564
4,3.758013821363555,4.900734636107336,2.180524700520833,3.5746306565915296,4.212137222222222,4.120569021739131,0.5767288497862109,3.6045553111638178,2.0060792128751115,7.429923010648561,12.2222,59.62048780487805
5,3.582146179477083,4.696831000468466,2.035156387152777,3.336321946152094,4.0150175,3.9277345108695654,0.5497390760277429,3.4358692251733927,1.9121986585780002,7.082217253992593,12.2222,59.62048780487805
6,5.731433887163333,7.514929600749548,3.256250219444443,5.338115113843349,6.424028,6.284375217391305,0.8795825216443888,5.49739076027743,3.0595178537248007,11.331547606388149,17.3149,84.46292682926831
7,6.172313416945127,8.240090388329868,3.256250219444443,5.338115113843349,6.918183999999999,6.767788695652174,0.9472427156170339,5.920266972606462,3.2948653809344,12.203205114571851,17.3149,84.46292682926831
8,8.201840244609901,11.71484885452908,3.0236609180555556,4.956821177140255,9.192961555555554,8.99311456521739,1.2587068901965364,7.8669180637283525,4.378254579187377,16.215757700693988,23.426,114.27317073170731
9,7.65505089496924,10.082641840676363,3.0236609180555556,4.956821177140255,9.192961555555554,8.99311456521739,1.2587068901965364,7.8669180637283525,4.378254579187377,16.215757700693988,23.426,114.27317073170731
10,10.347736652439112,14.253804044393924,3.0236609180555556,4.956821177140255,12.426611728395061,12.156467995169082,1.701460591323304,10.63412869577065,5.918317984344198,21.919696238311843,29.5372,144.0839024390244
11,10.347736652439112,14.253804044393924,3.0236609180555556,4.956821177140255,12.426611728395061,12.156467995169082,1.701460591323304,10.63412869577065,5.918317984344198,21.919696238311843,29.5372,144.0839024390244
12,10.347736652439112,14.253804044393924,3.0236609180555556,4.956821177140255,12.426611728395061,12.156467995169082,1.701460591323304,10.63412869577065,5.918317984344198,21.919696238311843,29.5372,144.0839024390244
13,12.04197578741223,17.340191683080572,2.2371,3.667377049180328,14.4612259259259,14.146851449275339,1.9800414266555366,12.375258916597103,6.887326597442952,25.508617027566487,35.6483,173.89414634146343
14,12.04197578741223,17.340191683080572,2.2371,3.667377049180328,14.4612259259259,14.146851449275339,1.9800414266555366,12.375258916597103,6.887326597442952,25.508617027566487,35.6483,173.89414634146343
15,12.04197578741223,17.340191683080572,2.2371,3.667377049180328,14.4612259259259,14.146851449275339,1.9800414266555366,12.375258916597103,6.887326597442952,25.508617027566487,35.6483,173.89414634146343
16,12.04197578741223,17.340191683080572,2.2371,3.667377049180328,14.4612259259259,14.146851449275339,1.9800414266555366,12.375258916597103,6.887326597442952,25.508617027566487,35.6483,173.89414634146343
17,12.04197578741223,17.340191683080572,2.2371,3.667377049180328,14.4612259259259,14.146851449275339,1.9800414266555366,12.375258916597103,6.887326597442952,25.508617027566487,35.6483,173.89414634146343
18,12.04197578741223,17.340191683080572,2.2371,3.667377049180328,14.4612259259259,14.146851449275339,1.9800414266555366,12.375258916597103,6.887326597442952,25.508617027566487,35.6483,173.89414634146343
19,12.04197578741223,17.340191683080572,2.2371,3.667377049180328,14.4612259259259,14.146851449275339,1.9800414266555366,12.375258916597103,6.887326597442952,25.508617027566487,35.6483,173.89414634146343
20,12.04197578741223,17.340191683080572,2.2371,3.667377049180328,14.4612259259259,14.146851449275339,1.9800414266555366,12.375258916597103,6.887326597442952,25.508617027566487,35.6483,173.89414634146343
21,12.04197578741223,17.340191683080572,2.2371,3.667377049180328,14.4612259259259,14.146851449275339,1.9800414266555366,12.375258916597103,6.887326597442952,25.508617027566487,35.6483,173.89414634146343
22,12.04197578741223,17.340191683080572,2.2371,3.667377049180328,14.4612259259259,14.146851449275339,1.9800414266555366,12.375258916597103,6.887326597442952,25.508617027566487,35.6483,173.89414634146343
23,12.04197578741223,17.340191683080572,2.2371,3.667377049180328,14.4612259259259,14.146851449275339,1.9800414266555366,12.375258916597103,6.887326597442952,25.508617027566487,35.6483,173.89414634146343
