Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
2,1,39606,,76.30157859992418,,28.914442078260855,,75.7522973509302,,48.61902604488864,,0.0027058432755022333,,427.70923317073175,,20.019999999999996,,1817.8281974877527
4,15,39620,,111.73251046651504,,28.914442078260855,,106.37188669597491,,68.27116418340603,,0.0037995633714632796,,790.7621673170731,,20.019999999999996,,2427.136823885007
6,29,39634,,129.61751683299266,,28.914442078260855,,121.8331663376161,,78.194458708744,,0.004351834404976438,,1084.1943307317076,,20.019999999999996,,2739.17260466118
8,43,39648,,124.75779739391744,,28.914442078260855,,121.8331663376161,,78.194458708744,,0.004351834404976438,,1452.2239439024388,,20.019999999999996,,2722.30561283402
10,57,39662,,107.36276025421387,,36.143052597826085,,119.30824983547467,,76.57392724670679,,0.004261645346988217,,1840.148554146341,,20.019999999999996,,2681.442412154092
12,71,39676,,94.82744255358557,,43.3716631173913,,116.7833333333333,,74.95339578466955,,0.004171456288999999,,2138.5520253658533,,20.019999999999996,,2668.586542267177
14,85,39690,,94.82744255358557,,43.3716631173913,,116.7833333333333,,74.95339578466955,,0.004171456288999999,,2436.952566829269,,20.019999999999996,,2680.5225639257133
16,99,39704,,94.82744255358557,,43.3716631173913,,116.7833333333333,,74.95339578466955,,0.004171456288999999,,2436.952566829269,,20.019999999999996,,2680.5225639257133
18,113,39718,,94.82744255358557,,43.3716631173913,,116.7833333333333,,74.95339578466955,,0.004171456288999999,,2436.952566829269,,20.019999999999996,,2680.5225639257133
20,127,39732,,94.82744255358557,,43.3716631173913,,116.7833333333333,,74.95339578466955,,0.004171456288999999,,2436.952566829269,,20.019999999999996,,2680.5225639257133
22,141,39746,,94.82744255358557,,43.3716631173913,,116.7833333333333,,74.95339578466955,,0.004171456288999999,,2436.952566829269,,20.019999999999996,,2680.5225639257133
24,155,39760,,94.82744255358557,,43.3716631173913,,116.7833333333333,,74.95339578466955,,0.004171456288999999,,2436.952566829269,,20.019999999999996,,2680.5225639257133
26,169,39774,,94.82744255358557,,43.3716631173913,,116.7833333333333,,74.95339578466955,,0.004171456288999999,,2436.952566829269,,20.019999999999996,,2680.5225639257133
28,183,39788,,47.41372127679279,,21.68583155869565,,58.39166666666667,,37.476697892334776,,0.0020857281445000003,,1218.4762834146343,,20.019999999999996,,1368.2892819628569
