Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Urea (Lbs),Urea (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Preventivos (Dosis),Preventivos (Unidades),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39815,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,24.866793170731707,,20.019999999999996,0.0,0.0,166.99503204043162
2,8,39822,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,24.866793170731707,,20.019999999999996,0.0,0.0,166.99503204043162
3,15,39829,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,44.76032536585365,,20.019999999999996,0.0,0.0,167.79077332823647
4,22,39836,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,59.680108292682924,,20.019999999999996,0.0,0.0,168.38756464530968
5,29,39843,0,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,59.680108292682924,,20.019999999999996,0.0,0.0,168.38756464530968
6,36,39850,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,84.54738975609757,,20.019999999999996,0.0,0.0,169.38225590384624
7,43,39857,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,84.54738975609757,,20.019999999999996,0.0,0.0,169.38225590384624
8,50,39864,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,114.387443902439,,20.019999999999996,0.0,0.0,170.5758580696999
9,57,39871,0,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,114.387443902439,,20.019999999999996,0.0,0.0,170.5758580696999
10,64,39878,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,144.2279863414634,,20.019999999999996,0.0,0.0,171.76947976726086
11,71,39885,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,144.2279863414634,,20.019999999999996,0.0,0.0,171.76947976726086
12,78,39892,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,144.2279863414634,,20.019999999999996,0.0,0.0,171.76947976726086
13,85,39899,0,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
14,92,39906,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
15,99,39913,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
16,106,39920,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
17,113,39927,0,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
18,120,39934,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
19,127,39941,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
20,134,39948,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
21,141,39955,0,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
22,148,39962,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
23,155,39969,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
24,162,39976,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
25,169,39983,0,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
26,176,39990,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
27,183,39997,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
28,190,40004,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
29,197,40011,0,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
30,204,40018,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
31,211,40025,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
32,218,40032,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
33,225,40039,0,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
34,232,40046,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
35,239,40053,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
36,246,40060,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
37,253,40067,0,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
38,260,40074,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
39,267,40081,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
40,274,40088,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
41,281,40095,0,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
42,288,40102,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
43,295,40109,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
44,302,40116,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
45,309,40123,0,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
46,316,40130,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
47,323,40137,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
48,330,40144,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
49,337,40151,0,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
50,344,40158,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
51,351,40165,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,20.019999999999996,0.0,0.0,172.96308193311455
52,358,40172,,1.184050123990031,,1.5625445901639343,,2.0007741092922915,,1.2841285602069774,,2.646921884805893,,174.06804048780486,,,0.0,0.0,116.90708193311455
