Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39449,,1.0729679258003746,,1.12777012173913,,2.0131402469178,,1.1628588091412833,,2.3969534875536658,,0.005097692599999999,,20.019999999999996,,105.78057081075164
2,8,39456,,1.0729679258003746,,1.12777012173913,,2.0131402469178,,1.1628588091412833,,2.3969534875536658,,0.005097692599999999,,20.019999999999996,,105.78057081075164
3,15,39463,,1.1796783971094833,,1.2399308660869561,,2.2133541949719198,,1.2785092480832034,,2.635339025660096,,0.009175866699999998,,20.019999999999996,,110.72585599520892
4,22,39470,,1.1796783971094833,,1.2399308660869561,,2.2133541949719198,,1.2785092480832034,,2.635339025660096,,0.0122344222,,20.019999999999996,,110.72585599520892
5,29,39477,,1.1796783971094833,,1.2399308660869561,,2.2133541949719198,,1.2785092480832034,,2.635339025660096,,0.0122344222,,20.019999999999996,,110.72585599520892
6,36,39484,,1.1796783971094833,,1.2399308660869561,,2.2133541949719198,,1.2785092480832034,,2.635339025660096,,0.0173322149,,20.019999999999996,,110.72585599520892
7,43,39491,,1.3474883886772788,,1.2399308660869561,,2.4145682126966395,,1.3947373615453122,,2.8749153007201045,,0.0173322149,,20.019999999999996,,115.3775322934658
8,50,39498,,1.188215348729193,,1.5363556904347826,,2.4145682126966395,,1.3947373615453122,,2.8749153007201045,,0.023449425999999995,,20.019999999999996,,116.21460060341519
9,57,39505,,1.188215348729193,,1.5363556904347826,,2.4145682126966395,,1.3947373615453122,,2.8749153007201045,,0.023449425999999995,,20.019999999999996,,116.21460060341519
10,64,39512,,1.188215348729193,,1.5363556904347826,,2.4145682126966395,,1.3947373615453122,,2.8749153007201045,,0.029566737199999995,,20.019999999999996,,116.21460060341519
11,71,39519,,1.188215348729193,,1.5363556904347826,,2.4145682126966395,,1.3947373615453122,,2.8749153007201045,,0.029566737199999995,,20.019999999999996,,116.21460060341519
