Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39606,,4.486138983818525,,2.1601448191304344,,4.361781743366667,,2.7994607107484617,,0.00015580118639599487,,24.866793170731707,,20.019999999999996,,164.0535184219594
2,8,39613,,7.106147679470698,,2.1601448191304344,,6.555278920666667,,4.207281993032369,,0.00023415207204022348,,24.866793170731707,,20.019999999999996,,207.1942389665585
3,15,39620,,7.106147679470698,,2.1601448191304344,,6.555278920666667,,4.207281993032369,,0.00023415207204022348,,44.76032536585365,,20.019999999999996,,207.98998025436336
4,22,39627,,9.59994333164461,,2.1601448191304344,,8.698350875500001,,5.582739567677567,,0.00031070178789952734,,59.680108292682924,,20.019999999999996,,250.30686218347614
5,29,39634,,9.59994333164461,,2.1601448191304344,,8.698350875500001,,5.582739567677567,,0.00031070178789952734,,59.680108292682924,,20.019999999999996,,250.30686218347614
6,36,39641,,9.59994333164461,,2.1601448191304344,,8.698350875500001,,5.582739567677567,,0.00031070178789952734,,84.54738975609757,,20.019999999999996,,251.30155344201273
7,43,39648,,9.59994333164461,,2.1601448191304344,,8.698350875500001,,5.582739567677567,,0.00031070178789952734,,84.54738975609757,,20.019999999999996,,251.30155344201273
8,50,39655,,8.648558114253307,,2.1601448191304344,,8.698350875500001,,5.582739567677567,,0.00031070178789952734,,114.387443902439,,20.019999999999996,,246.3111516948229
9,57,39662,,7.85907376642722,,2.1601448191304344,,8.698350875500001,,5.582739567677567,,0.00031070178789952734,,114.387443902439,,20.019999999999996,,241.17950343395333
10,64,39669,,7.32941420120983,,2.1601448191304344,,8.698350875500001,,5.582739567677567,,0.00031070178789952734,,144.2279863414634,,20.019999999999996,,238.9303379576013
11,71,39676,,6.906777171379962,,3.240217228695651,,8.698350875500001,,5.582739567677567,,0.00031070178789952734,,144.2279863414634,,20.019999999999996,,249.14406617848977
12,78,39683,,6.906777171379962,,3.240217228695651,,8.698350875500001,,5.582739567677567,,0.00031070178789952734,,144.2279863414634,,20.019999999999996,,249.14406617848977
13,85,39690,,6.906777171379962,,3.240217228695651,,8.698350875500001,,5.582739567677567,,0.00031070178789952734,,174.06804048780486,,20.019999999999996,,250.33766834434343
14,92,39697,,6.906777171379962,,3.240217228695651,,8.698350875500001,,5.582739567677567,,0.00031070178789952734,,174.06804048780486,,20.019999999999996,,250.33766834434343
15,99,39704,,6.585497952249527,,3.240217228695651,,8.230388833333333,,5.282394106064434,,0.00029398636157891003,,174.06804048780486,,20.019999999999996,,242.67888823548805
16,106,39711,,5.931047198771266,,3.240217228695651,,8.153311833333333,,5.232924864846551,,0.00029123320042817005,,174.06804048780486,,20.019999999999996,,237.50745925389725
17,113,39718,,5.931047198771266,,3.240217228695651,,8.153311833333333,,5.232924864846551,,0.00029123320042817005,,174.06804048780486,,20.019999999999996,,237.50745925389725
18,120,39725,,5.931047198771266,,3.240217228695651,,8.153311833333333,,5.232924864846551,,0.00029123320042817005,,174.06804048780486,,20.019999999999996,,237.50745925389725
19,127,39732,,5.931047198771266,,3.240217228695651,,8.153311833333333,,5.232924864846551,,0.00029123320042817005,,174.06804048780486,,20.019999999999996,,237.50745925389725
20,134,39739,,5.931047198771266,,3.240217228695651,,8.153311833333333,,5.232924864846551,,0.00029123320042817005,,174.06804048780486,,20.019999999999996,,237.50745925389725
21,141,39746,,5.931047198771266,,3.240217228695651,,8.153311833333333,,5.232924864846551,,0.00029123320042817005,,174.06804048780486,,20.019999999999996,,237.50745925389725
22,148,39753,,5.931047198771266,,3.240217228695651,,8.153311833333333,,5.232924864846551,,0.00029123320042817005,,174.06804048780486,,20.019999999999996,,237.50745925389725
23,155,39760,,5.931047198771266,,3.240217228695651,,8.153311833333333,,5.232924864846551,,0.00029123320042817005,,174.06804048780486,,20.019999999999996,,237.50745925389725
