Semana,N,Nitrato de Amonio,P2O5,FofatoMonoPotasico,K2O,Kcl Soluble,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
1,1.2085255,2.7544337241844605,0.681792475,1.3111393749999998,1.3937104999999999,1.5798718541666665,0.10734066076115283,0.6708791297572051,0.49782809450009996,1.8438077574077776,5.0926,24.841951219512197
2,1.2085255,2.7544337241844605,0.681792475,1.3111393749999998,1.3937104999999999,1.5798718541666665,0.10734066076115283,0.6708791297572051,0.49782809450009996,1.8438077574077776,5.0926,24.841951219512197
3,1.2085255,2.7544337241844605,0.681792475,1.3111393749999998,1.3937104999999999,1.5798718541666665,0.10734066076115283,0.6708791297572051,0.49782809450009996,1.8438077574077776,9.1667,44.715609756097564
4,1.8130384999999998,4.131798803929418,1.0206924,1.96287,2.091544,2.373613666666667,0.1610863339058037,1.006789586911273,0.7470915689328,2.7670058108622224,12.2222,59.62048780487805
5,1.8130384999999998,4.131798803929418,1.0206924,1.96287,2.091544,2.373613666666667,0.1610863339058037,1.006789586911273,0.7470915689328,2.7670058108622224,12.2222,59.62048780487805
6,5.439063832202,12.395282987728807,3.0620891918491875,5.888633061248437,6.274565332035,7.12071681868422,0.4832538670905179,3.0203366693157365,2.2412508932546404,8.300929234276445,17.3149,84.46292682926831
7,5.439063832202,12.395282987728807,3.0620891918491875,5.888633061248437,6.274565332035,7.12071681868422,0.4832538670905179,3.0203366693157365,2.2412508932546404,8.300929234276445,17.3149,84.46292682926831
8,5.439063832202,12.395282987728807,3.0620891918491875,5.888633061248437,6.274565332035,7.12071681868422,0.4832538670905179,3.0203366693157365,2.2412508932546404,8.300929234276445,23.426,114.27317073170731
9,5.439063832202,12.395282987728807,3.0620891918491875,5.888633061248437,6.274565332035,7.12071681868422,0.4832538670905179,3.0203366693157365,2.2412508932546404,8.300929234276445,23.426,114.27317073170731
10,9.065106387003334,20.658804979548016,4.10348198641531,7.891311512337134,10.457608886725,12.95760495421729,0.8054231118175297,5.03389444885956,3.7354181554244,13.834882057127407,29.5372,144.0839024390244
11,9.065106387003334,20.658804979548016,4.10348198641531,7.891311512337134,10.457608886725,12.95760495421729,0.8054231118175297,5.03389444885956,3.7354181554244,13.834882057127407,29.5372,144.0839024390244
12,8.0,17.479382928791797,4.10348198641531,7.891311512337134,10.457608886725,12.95760495421729,0.8054231118175297,5.03389444885956,3.7354181554244,13.834882057127407,29.5372,144.0839024390244
13,6.7,13.598785913866424,4.10348198641531,7.891311512337134,10.457608886725,12.95760495421729,0.8054231118175297,5.03389444885956,3.7354181554244,13.834882057127407,35.6483,173.89414634146343
14,5.589856999999999,10.284926212373884,4.10348198641531,7.891311512337134,10.457608886725,12.95760495421729,0.8054231118175297,5.03389444885956,3.7354181554244,13.834882057127407,35.6483,173.89414634146343
15,4.6149284999999995,7.374691884015675,4.10348198641531,7.891311512337134,10.457608886725,12.95760495421729,0.8054231118175297,5.03389444885956,3.7354181554244,13.834882057127407,35.6483,173.89414634146343
16,4.6149284999999995,7.374691884015675,4.10348198641531,7.891311512337134,10.457608886725,12.95760495421729,0.8054231118175297,5.03389444885956,3.7354181554244,13.834882057127407,35.6483,173.89414634146343
17,4.6149284999999995,7.374691884015675,4.10348198641531,7.891311512337134,10.457608886725,12.95760495421729,0.8054231118175297,5.03389444885956,3.7354181554244,13.834882057127407,35.6483,173.89414634146343
18,4.6149284999999995,7.374691884015675,4.10348198641531,7.891311512337134,10.457608886725,12.95760495421729,0.8054231118175297,5.03389444885956,3.7354181554244,13.834882057127407,35.6483,173.89414634146343
