Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulpomag (K Mag) (Lbs),Admin_Sulpomag (K Mag)_Cambios,Sin Calcio,Admin_Sulpomag (K Mag)_Cambios_1,Sin Boro,Admin_Sulpomag (K Mag)_Cambios_2,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39449,,58.87814937547046,,41.55890869565218,,24.85069700308294,,35.27358980977381,,0.001349642502500292,,0.27425548149999984,,20.019999999999996,,766.6608648233027
2,31,39479,,60.84075435465281,,42.94420565217391,,25.67905356985237,,36.44937613676627,,0.0013946305859169686,,0.6127440318999997,,20.019999999999996,,790.3476936507461
3,62,39510,,58.87814937547046,,41.55890869565218,,24.85069700308294,,35.27358980977381,,0.001349642502500292,,0.9481741268999995,,20.019999999999996,,766.6608648233027
4,92,39540,,60.84075435465281,,42.94420565217391,,25.67905356985237,,36.44937613676627,,0.0013946305859169686,,1.1062023973,,20.019999999999996,,790.3476936507461
5,123,39571,,58.87814937547046,,41.55890869565218,,24.85069700308294,,35.27358980977381,,0.001349642502500292,,1.0705184489999997,,20.019999999999996,,766.6608648233027
6,153,39601,,60.84075435465281,,42.94420565217391,,25.67905356985237,,36.44937613676627,,0.0013946305859169686,,1.1062023973,,20.019999999999996,,790.3476936507461
7,184,39632,,58.87814937547046,,41.55890869565218,,24.85069700308294,,35.27358980977381,,0.001349642502500292,,1.0705184489999997,,20.019999999999996,,766.6608648233027
8,214,39662,,60.84075435465281,,42.94420565217391,,25.67905356985237,,36.44937613676627,,0.0013946305859169686,,1.1062023973,,20.019999999999996,,790.3476936507461
9,245,39693,,58.87814937547046,,41.55890869565218,,24.85069700308294,,35.27358980977381,,0.001349642502500292,,1.0705184489999997,,20.019999999999996,,766.6608648233027
10,275,39723,,60.84075435465281,,42.94420565217391,,25.67905356985237,,36.44937613676627,,0.0013946305859169686,,1.1062023973,,20.019999999999996,,790.3476936507461
11,306,39754,,58.87814937547046,,41.55890869565218,,24.85069700308294,,35.27358980977381,,0.001349642502500292,,1.0705184489999997,,20.019999999999996,,766.6608648233027
12,336,39784,,56.91554439628811,,40.173611739130436,,24.022340436313506,,34.09780348278135,,0.0013046544190836156,,1.0348345006999997,,20.019999999999996,,742.9740359958594
