Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,MAP 12-61-0 (Lbs),Admin_MAP 12-61-0_Cambios,Sulfato de Potasio (Lbs),Admin_Sulfato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación,Columna_19
1,3,37791,,0.0,,4.005414850129197,,9.394518466666662,,11.482189237037035,,18.61976633033032,,87.03377609756097,,20.019999999999996,,253.4411230243213,
2,10,37798,,2.6539301436412692e-15,,5.722021214470284,,13.420740666666662,,16.40312748148148,,26.599666186186177,,126.82084048780486,,20.019999999999996,,349.69633241604095,
3,17,37805,,0.0,,8.726082352067182,,20.46662951666666,,25.014769409259255,,40.56449093393393,,186.50070463414636,,20.019999999999996,,517.8286078977942,
4,24,37812,,0.0,,10.013537125322994,,23.48629616666666,,28.705473092592584,,46.54941582582582,,208.88037902439024,,20.019999999999996,,589.7842592262667,
5,31,37819,,0.0,,12.588446671834623,,29.525629466666654,,36.086880459259255,,58.51926560960959,,246.18130121951214,,20.019999999999996,,733.4598756031145,
6,38,37826,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,295.91586414634145,,20.019999999999996,,925.0273641055779,
7,45,37833,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,325.7559182926829,,20.019999999999996,,925.9703098166023,
8,52,37840,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,400.3560536585365,,20.019999999999996,,928.3276740941633,
9,59,37847,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,415.2763248780487,,20.019999999999996,,928.7991546646998,
10,66,37854,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,504.7979521951218,,20.019999999999996,,931.6280380879193,
11,73,37861,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,504.7979521951218,,20.019999999999996,,931.6280380879193,
12,80,37868,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,564.4780604878049,,20.019999999999996,,933.5139295099682,
13,87,37875,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,609.2381417073171,,20.019999999999996,,934.9283480765048,
14,94,37882,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,609.2381417073171,,20.019999999999996,,934.9283480765048,
15,101,37889,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,609.2381417073171,,20.019999999999996,,934.9283480765048,
16,108,37896,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,609.2381417073171,,20.019999999999996,,934.9283480765048,
17,115,37903,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,609.2381417073171,,20.019999999999996,,934.9283480765048,
18,122,37910,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,609.2381417073171,,20.019999999999996,,934.9283480765048,
19,129,37917,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,609.2381417073171,,20.019999999999996,,934.9283480765048,
20,136,37924,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,609.2381417073171,,20.019999999999996,,934.9283480765048,
21,143,37931,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,609.2381417073171,,20.019999999999996,,934.9283480765048,
22,150,37938,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,609.2381417073171,,20.019999999999996,,934.9283480765048,
23,157,37945,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,609.2381417073171,,20.019999999999996,,934.9283480765048,
24,164,37952,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,609.2381417073171,,20.019999999999996,,934.9283480765048,
25,171,37959,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,609.2381417073171,,20.019999999999996,,934.9283480765048,
26,178,37966,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,609.2381417073171,,20.019999999999996,,934.9283480765048,
27,185,37973,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,609.2381417073171,,20.019999999999996,,934.9283480765048,
28,192,37980,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,609.2381417073171,,20.019999999999996,,934.9283480765048,
29,199,37987,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,609.2381417073171,,20.019999999999996,,934.9283480765048,
30,206,37994,,0.0,,16.02165940051679,,37.57807386666665,,45.92875694814814,,74.47906532132129,,609.2381417073171,,20.019999999999996,,934.9283480765048,OJO
31,213,38001,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
