Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Sin Boro,Admin_Sulfato de Magnesio_Cambios_2,Sin Melaza,Admin_Sulfato de Magnesio_Cambios_3,Admin_Costo / Aplicación
1,3,39451,,37.93548738185256,,6.504323913043477,,26.066039999999997,,25.093526441896284,,1.8621380874096e-12,,0.017841924099999996,,0.0,,766.587103400997
2,10,39458,,37.93548738185256,,6.504323913043477,,26.066039999999997,,25.093526441896284,,1.8621380874096e-12,,0.025998272299999996,,0.0,,766.587103400997
3,17,39465,,37.93548738185256,,6.504323913043477,,26.066039999999997,,25.093526441896284,,1.8621380874096e-12,,0.03823264445,,0.0,,766.587103400997
4,24,39472,,37.93548738185256,,6.504323913043477,,33.098065,,31.863189393291112,,2.3645006090706007e-12,,0.0428204777,,0.0,,885.816393068762
5,31,39479,,10.838710680529301,,1.858378260869565,,10.260250000000001,,9.87744416395687,,7.329844622100001e-13,,0.0122344222,,0.0,,266.7166025531051
