Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O,Columna_12
,1.0,1,1.9307716206019099,0.8136207321274761,2.3526426061330143,0.4026568914453874,1.4005916647813492,5.0926,2.759563180513851,0.4,0.5,
,2.0,1,1.9307716206019099,0.8136207321274761,2.3526426061330143,0.4026568914453874,1.4005916647813492,5.0926,2.759563180513851,0.4,0.5,
,3.0,1,1.9307716206019099,0.8136207321274761,2.3526426061330143,0.4026568914453874,1.4005916647813492,5.0926,2.759563180513851,0.4,0.5,
,4.0,1,1.9307716206019099,0.8136207321274761,2.3526426061330143,0.4026568914453874,1.4005916647813492,5.0926,2.759563180513851,0.4,0.5,
,5.0,1,1.9307716206019099,0.8136207321274761,2.3526426061330143,0.4026568914453874,1.4005916647813492,5.0926,2.759563180513851,0.4,0.5,
,6.0,1,1.9307716206019099,0.8136207321274761,2.3526426061330143,0.4026568914453874,1.4005916647813492,5.0926,2.759563180513851,0.4,0.5,
,7.0,1,1.9307716206019099,0.8136207321274761,2.3526426061330143,0.4026568914453874,1.4005916647813492,5.0926,2.759563180513851,0.4,0.5,
,8.0,2,1.9307716206019099,0.8136207321274761,2.3526426061330143,0.4026568914453874,1.4005916647813492,5.0926,2.759563180513851,0.4,0.5,
,9.0,2,1.9307716206019099,0.8136207321274761,2.3526426061330143,0.4026568914453874,1.4005916647813492,5.0926,2.759563180513851,0.4,0.5,
,10.0,2,1.9307716206019099,0.8136207321274761,2.3526426061330143,0.4026568914453874,1.4005916647813492,5.0926,2.759563180513851,0.4,0.5,
,11.0,2,1.9307716206019099,0.8136207321274761,2.3526426061330143,0.4026568914453874,1.4005916647813492,9.1667,2.759563180513851,0.4,0.5,
,12.0,2,1.9307716206019099,0.8136207321274761,2.3526426061330143,0.4026568914453874,1.4005916647813492,9.1667,2.759563180513851,0.4,0.5,
,13.0,2,1.9307716206019099,0.8136207321274761,2.3526426061330143,0.4026568914453874,1.4005916647813492,9.1667,2.759563180513851,0.4,0.5,
,14.0,2,1.9307716206019099,0.8136207321274761,2.3526426061330143,0.4026568914453874,1.4005916647813492,9.1667,2.759563180513851,0.4,0.5,
,15.0,3,1.9307716206019099,0.8136207321274761,2.3526426061330143,0.4026568914453874,1.4005916647813492,9.1667,2.759563180513851,0.4,0.5,
,16.0,3,3.3788503360533415,1.4238362812230834,4.117124560732776,0.704649560029428,2.4510354133673617,9.1667,2.7595631805138496,0.4,0.5,
,17.0,3,3.3788503360533415,1.4238362812230834,4.117124560732776,0.704649560029428,2.4510354133673617,9.1667,2.7595631805138496,0.4,0.5,
,18.0,3,3.3788503360533415,1.4238362812230834,4.117124560732776,0.704649560029428,2.4510354133673617,12.2222,2.7595631805138496,0.4,0.5,
,19.0,3,3.3788503360533415,1.4238362812230834,4.117124560732776,0.704649560029428,2.4510354133673617,12.2222,2.7595631805138496,0.4,0.5,
,20.0,3,3.3788503360533415,1.4238362812230834,4.117124560732776,0.704649560029428,2.4510354133673617,12.2222,2.7595631805138496,0.4,0.5,Este cambio de relacion se debe hacer cuando las guias cubran las camas
,21.0,3,3.4323578578578573,1.7444197604166665,6.9718133333333325,1.1932321030059534,4.150508716293333,12.2222,1.655435267960268,0.4,0.5,
,22.0,4,3.4323578578578573,1.7444197604166665,6.9718133333333325,1.1932321030059534,4.150508716293333,12.2222,1.655435267960268,0.4,0.5,
,23.0,4,3.4323578578578573,1.7444197604166665,6.9718133333333325,1.1932321030059534,4.150508716293333,12.2222,1.655435267960268,0.4,0.5,
,24.0,4,3.4323578578578573,1.7444197604166665,6.9718133333333325,1.1932321030059534,4.150508716293333,12.2222,1.655435267960268,0.4,0.5,
,25.0,4,3.4323578578578573,1.7444197604166665,6.9718133333333325,1.1932321030059534,4.150508716293333,12.2222,1.655435267960268,0.4,0.5,
