Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sin Magnecio,Sin Magnecio (Cambios),Sin Calcio,Sin Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39480,,4.291112655119864,,1.0642026520673233,,3.260605931259842,,3.013500394607048e-05,,0.00010482084435091291,,24.866793170731707,,20.019999999999996,,96.56181825069052
2,8,39487,,4.291112655119864,,1.0642026520673233,,3.260605931259842,,3.013500394607048e-05,,0.00010482084435091291,,24.866793170731707,,20.019999999999996,,96.56181825069052
3,15,39494,,5.915641514608175,,1.5963039781009853,,4.890908896889763,,4.520250591910573e-05,,0.0001572312665263694,,44.76032536585365,,20.019999999999996,,115.00297155473598
4,22,39501,,7.887522019477566,,2.1284053041346467,,6.521211862519684,,6.027000789214096e-05,,0.00020964168870182581,,59.680108292682924,,20.019999999999996,,134.6519490518431
5,29,39508,BaZam,7.887522019477566,,2.1284053041346467,,6.521211862519684,,6.027000789214096e-05,,0.00020964168870182581,,59.680108292682924,,20.019999999999996,1.001,515.0319490518431
6,36,39515,,10.7892280930731,,3.1926079562019707,,9.781817793779526,,9.040501183821145e-05,,0.0003144625330527388,,84.54738975609757,,20.019999999999996,,169.53069017906745
7,43,39522,,10.7892280930731,,3.1926079562019707,,9.781817793779526,,9.040501183821145e-05,,0.0003144625330527388,,84.54738975609757,,20.019999999999996,,169.53069017906745
8,50,39529,,14.385637457430807,,4.256810608269293,,13.042423725039368,,0.00012054001578428192,,0.00041928337740365163,,114.387443902439,,20.019999999999996,,207.4218905411956
9,57,39536,TricoZam,13.690934166668642,,4.256810608269293,,13.042423725039368,,0.00012054001578428192,,0.00041928337740365163,,114.387443902439,,20.019999999999996,1.001,584.9883422136088
10,64,39543,,21.70862807725816,,7.094684347115491,,20.831649005271206,,0.0001925291918776725,,0.000669688727797499,,144.2279863414634,,20.019999999999996,,292.80027457654603
11,71,39550,,18.379841475689464,,7.094684347115491,,20.831649005271206,,0.0001925291918776725,,0.000669688727797499,,144.2279863414634,,20.019999999999996,,279.31868884019275
12,78,39557,,16.160650407977,,7.094684347115491,,20.831649005271206,,0.0001925291918776725,,0.000669688727797499,,144.2279863414634,,20.019999999999996,,270.3309650159573
13,85,39564,,15.051054874120766,,7.094684347115491,,20.831649005271206,,0.0001925291918776725,,0.000669688727797499,,174.06804048780486,,20.019999999999996,,267.0307052696932
