Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sin Magnecio,Admin_Kcl Soluble_Cambios_1,Sin Calcio,Admin_Kcl Soluble_Cambios_2,Sin Boro,Admin_Kcl Soluble_Cambios_3,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,7,39053,,0.0,,53.08129293124048,,12.694604379273482,,0.00011406637838595218,,0.00031741251113458923,,0.03568384819999999,,20.019999999999996,,268.37992156262345
2,14,39060,,0.0,,53.08129293124048,,12.694604379273482,,0.00011406637838595218,,0.00031741251113458923,,0.05199654459999999,,20.019999999999996,,268.37992156262345
3,21,39067,,0.0,,61.10969538273597,,14.87038463687443,,0.00013361668233661367,,0.00037181514193809485,,0.0764652889,,20.019999999999996,,302.27130252840175
4,28,39074,,7.838306587199438,,62.44776245798522,,26.83912110251872,,0.0002411608311500215,,0.000671078244841165,,0.0856409554,,20.019999999999996,,371.67937828023315
5,35,39081,,38.00831008838589,,56.87248297778002,,51.38150422275703,,0.0004616845021402571,,0.0012847294641056932,,0.10093433349999999,,20.019999999999996,,530.2520694580442
6,42,39088,,58.738936697036834,,38.650326605743025,,63.47131997863322,,0.0005703165994805873,,0.0015870200013746304,,0.12132550429999997,,20.019999999999996,,575.4892694871191
7,49,39095,,60.65204378034071,,38.650326605743025,,67.82336675604489,,0.0006094215766531027,,0.001695837421352589,,0.13355992649999998,,20.019999999999996,,596.2168604885608
8,56,39102,,62.08687409281862,,38.650326605743025,,71.08740183910365,,0.0006387503095324893,,0.001777450486336058,,0.16414598199999997,,20.019999999999996,,611.762553739642
9,63,39109,,59.72327465592443,,38.650326605743025,,71.08740183910365,,0.0006387503095324893,,0.001777450486336058,,0.17026329319999997,,20.019999999999996,,604.4353954852701
10,70,39116,,58.83743286562423,,32.86039828487067,,71.08740183910365,,0.0006387503095324893,,0.001777450486336058,,0.20696716039999993,,20.019999999999996,,582.5825224764607
11,77,39123,,57.38008307895351,,30.54442695652173,,71.08740183910365,,0.0006387503095324893,,0.001777450486336058,,0.20696716039999993,,20.019999999999996,,570.42203275423
12,84,39130,,54.22861716309457,,30.54442695652173,,71.08740183910365,,0.0006387503095324893,,0.001777450486336058,,0.23143600479999996,,20.019999999999996,,560.6524884150673
13,91,39137,,54.22861716309457,,30.54442695652173,,71.08740183910365,,0.0006387503095324893,,0.001777450486336058,,0.24978763809999996,,20.019999999999996,,560.6524884150673
14,98,39144,,54.22861716309457,,30.54442695652173,,71.08740183910365,,0.0006387503095324893,,0.001777450486336058,,0.24978763809999996,,20.019999999999996,,560.6524884150673
15,105,39151,,54.22861716309457,,30.54442695652173,,71.08740183910365,,0.0006387503095324893,,0.001777450486336058,,0.24978763809999996,,20.019999999999996,,560.6524884150673
16,112,39158,,54.22861716309457,,30.54442695652173,,71.08740183910365,,0.0006387503095324893,,0.001777450486336058,,0.24978763809999996,,20.019999999999996,,560.6524884150673
17,119,39165,,54.22861716309457,,30.54442695652173,,71.08740183910365,,0.0006387503095324893,,0.001777450486336058,,0.24978763809999996,,20.019999999999996,,560.6524884150673
18,126,39172,,54.22861716309457,,30.54442695652173,,71.08740183910365,,0.0006387503095324893,,0.001777450486336058,,0.24978763809999996,,20.019999999999996,,560.6524884150673
19,133,39179,,54.22861716309457,,30.54442695652173,,71.08740183910365,,0.0006387503095324893,,0.001777450486336058,,0.24978763809999996,,20.019999999999996,,560.6524884150673
20,140,39186,,54.22861716309457,,30.54442695652173,,71.08740183910365,,0.0006387503095324893,,0.001777450486336058,,0.24978763809999996,,20.019999999999996,,560.6524884150673
21,147,39193,,49.50141828930615,,30.54442695652173,,71.08740183910365,,0.0006387503095324893,,0.001777450486336058,,0.24978763809999996,,20.019999999999996,,545.9981719063231
22,154,39200,,42.447419798512456,,23.289135434782608,,60.41807956350832,,0.0005428819456631322,,0.0015106775901967979,,0.24978763809999996,,20.019999999999996,,463.9126188260995
23,161,39207,,42.447419798512456,,23.289135434782608,,60.41807956350832,,0.0005428819456631322,,0.0015106775901967979,,0.24978763809999996,,20.019999999999996,,463.9126188260995
24,168,39214,,42.447419798512456,,23.289135434782608,,60.41807956350832,,0.0005428819456631322,,0.0015106775901967979,,0.24978763809999996,,20.019999999999996,,463.9126188260995
25,175,39221,,42.447419798512456,,23.289135434782608,,60.41807956350832,,0.0005428819456631322,,0.0015106775901967979,,0.24978763809999996,,20.019999999999996,,463.9126188260995
26,182,39228,,42.447419798512456,,23.289135434782608,,60.41807956350832,,0.0005428819456631322,,0.0015106775901967979,,0.24978763809999996,,20.019999999999996,,463.9126188260995
27,189,39235,,42.447419798512456,,23.289135434782608,,60.41807956350832,,0.0005428819456631322,,0.0015106775901967979,,0.24978763809999996,,20.019999999999996,,463.9126188260995
28,196,39242,,42.447419798512456,,23.289135434782608,,60.41807956350832,,0.0005428819456631322,,0.0015106775901967979,,0.24978763809999996,,20.019999999999996,,463.9126188260995
29,203,39249,,42.447419798512456,,23.289135434782608,,60.41807956350832,,0.0005428819456631322,,0.0015106775901967979,,0.24978763809999996,,20.019999999999996,,463.9126188260995
30,210,39256,,42.447419798512456,,23.289135434782608,,60.41807956350832,,0.0005428819456631322,,0.0015106775901967979,,0.24978763809999996,,20.019999999999996,,463.9126188260995
