Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39815,,0.8846295816161883,,0.5051687811325818,,0.7751444249245542,,0.49749998748380353,,2.76878643034236e-05,,24.866793170731707,,20.019999999999996,,75.26309383413717
2,8,39822,,0.8846295816161883,,0.5051687811325818,,0.7751444249245542,,0.49749998748380353,,2.76878643034236e-05,,24.866793170731707,,20.019999999999996,,75.26309383413717
3,15,39829,,1.548101767828329,,0.8840453669820183,,1.35650274361797,,0.8706249780966563,,4.845376253099132e-05,,44.76032536585365,,20.019999999999996,,89.71815170242297
4,22,39836,,2.2115739540404697,,1.2629219528314548,,1.9378610623113852,,1.2437499687095088,,6.921966075855901e-05,,59.680108292682924,,20.019999999999996,,103.97425959997707
5,29,39843,,2.2115739540404697,,1.2629219528314548,,1.9378610623113852,,1.2437499687095088,,6.921966075855901e-05,,59.680108292682924,,20.019999999999996,,103.97425959997707
6,36,39850,,3.5385183264647533,,2.020675124530327,,3.1005776996982166,,1.9899999499352141,,0.0001107514572136944,,84.54738975609757,,20.019999999999996,,132.28758401947556
7,43,39857,,3.5385183264647533,,2.020675124530327,,3.1005776996982166,,1.9899999499352141,,0.0001107514572136944,,84.54738975609757,,20.019999999999996,,132.28758401947556
8,50,39864,,4.865462698889034,,2.7784282962291997,,4.263294337085047,,2.736249931160919,,0.0001522832536688298,,114.387443902439,,20.019999999999996,,160.79981934629103
9,57,39871,,4.865462698889034,,2.7784282962291997,,4.263294337085047,,2.736249931160919,,0.0001522832536688298,,114.387443902439,,20.019999999999996,,160.79981934629103
10,64,39878,,6.192407071313316,,3.536181467928073,,5.42601097447188,,3.482499912386625,,0.00019381505012396527,,144.2279863414634,,20.019999999999996,,189.3120742048139
11,71,39885,,6.192407071313316,,3.536181467928073,,5.42601097447188,,3.482499912386625,,0.00019381505012396527,,144.2279863414634,,20.019999999999996,,189.3120742048139
12,78,39892,,6.192407071313316,,3.536181467928073,,5.42601097447188,,3.482499912386625,,0.00019381505012396527,,144.2279863414634,,20.019999999999996,,189.3120742048139
13,85,39899,,7.5193514437376,,4.293934639626945,,6.58872761185871,,4.2287498936123304,,0.00023534684657910065,,174.06804048780486,,20.019999999999996,,217.8243095316294
14,92,39906,,7.5193514437376,,4.293934639626945,,6.58872761185871,,4.2287498936123304,,0.00023534684657910065,,174.06804048780486,,20.019999999999996,,217.8243095316294
15,99,39913,,7.5193514437376,,4.293934639626945,,6.58872761185871,,4.2287498936123304,,0.00023534684657910065,,174.06804048780486,,20.019999999999996,,217.8243095316294
16,106,39920,,7.5193514437376,,4.293934639626945,,6.58872761185871,,4.2287498936123304,,0.00023534684657910065,,174.06804048780486,,20.019999999999996,,217.8243095316294
17,113,39927,,7.5193514437376,,4.293934639626945,,6.58872761185871,,4.2287498936123304,,0.00023534684657910065,,174.06804048780486,,20.019999999999996,,217.8243095316294
18,120,39934,,7.5193514437376,,4.293934639626945,,6.58872761185871,,4.2287498936123304,,0.00023534684657910065,,174.06804048780486,,20.019999999999996,,217.8243095316294
19,127,39941,,7.5193514437376,,4.293934639626945,,6.58872761185871,,4.2287498936123304,,0.00023534684657910065,,174.06804048780486,,20.019999999999996,,217.8243095316294
20,134,39948,,7.5193514437376,,4.293934639626945,,6.58872761185871,,4.2287498936123304,,0.00023534684657910065,,174.06804048780486,,20.019999999999996,,217.8243095316294
21,141,39955,,7.5193514437376,,4.293934639626945,,6.58872761185871,,4.2287498936123304,,0.00023534684657910065,,174.06804048780486,,20.019999999999996,,217.8243095316294
22,148,39962,,7.5193514437376,,4.293934639626945,,6.58872761185871,,4.2287498936123304,,0.00023534684657910065,,174.06804048780486,,20.019999999999996,,217.8243095316294
23,155,39969,,7.5193514437376,,4.293934639626945,,6.58872761185871,,4.2287498936123304,,0.00023534684657910065,,174.06804048780486,,20.019999999999996,,217.8243095316294
24,162,39976,,5.680509846347569,,3.4351477117015556,,7.028602052351167,,4.511068286937216,,0.00025105899444120383,,174.06804048780486,,20.019999999999996,,209.7094441616651
25,169,39983,,5.680509846347569,,3.4351477117015556,,7.028602052351167,,4.511068286937216,,0.00025105899444120383,,174.06804048780486,,20.019999999999996,,209.7094441616651
26,176,39990,,5.680509846347569,,3.4351477117015556,,7.028602052351167,,4.511068286937216,,0.00025105899444120383,,174.06804048780486,,20.019999999999996,,209.7094441616651
27,183,39997,,5.680509846347569,,3.4351477117015556,,7.028602052351167,,4.511068286937216,,0.00025105899444120383,,174.06804048780486,,20.019999999999996,,209.7094441616651
28,190,40004,,5.680509846347569,,3.4351477117015556,,7.028602052351167,,4.511068286937216,,0.00025105899444120383,,174.06804048780486,,20.019999999999996,,209.7094441616651
29,197,40011,,5.680509846347569,,3.4351477117015556,,7.028602052351167,,4.511068286937216,,0.00025105899444120383,,174.06804048780486,,20.019999999999996,,209.7094441616651
